"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"강원도 강릉시 강동면 모전리","4**","단독","8m미만","158.95","615","202012","24","28,414","2017","범울재길",""
"강원도 강릉시 강동면 상시동리","1**","단독","8m미만","101.88","326","202010","21","11,500","2011","와천로",""
"강원도 강릉시 강동면 상시동리","2**","단독","8m미만","117.7","562","202004","3","17,000","2005","시동1길",""
"강원도 강릉시 강동면 상시동리","3**","단독","8m미만","96.48","579","202006","18","16,800","1997","독송길",""
"강원도 강릉시 강동면 상시동리","1**","단독","8m미만","162.2","670","202012","16","25,528","2005","와천로",""
"강원도 강릉시 강동면 안인리","3**","단독","8m미만","99.1","521","202011","30","17,700","2012","원장봉길",""
"강원도 강릉시 강동면 안인진리","7*","단독","8m미만","83.6","328","202007","17","4,500","1994","갯목길",""
"강원도 강릉시 강동면 언별리","1***","다가구","8m미만","97.85","572","202010","5","27,000","2014","단경로",""
"강원도 강릉시 강동면 언별리","1**","단독","12m미만","93.6","382","202102","5","14,400","2017","윗장작골길",""
"강원도 강릉시 강동면 임곡리","4**","단독","8m미만","78.88","598","202101","7","20,700","2012","임곡로",""
"강원도 강릉시 강동면 정동진리","2**","다가구","12m미만","230.04","292","202003","1","26,850","2004","헌화로","20200330"
"강원도 강릉시 강동면 정동진리","2**","다가구","12m미만","230.04","292","202003","1","28,500","2004","헌화로",""
"강원도 강릉시 강동면 정동진리","4**","단독","12m미만","56","41","202008","13","2,000","1919","분소골길",""
"강원도 강릉시 강동면 정동진리","2**","단독","8m미만","82.19","196","202007","15","12,000","1982","정동1길",""
"강원도 강릉시 강동면 정동진리","1**","단독","8m미만","66.88","200","202005","8","8,100","1981","헌화로","20200528"
"강원도 강릉시 강동면 정동진리","1**","단독","8m미만","66.88","200","202005","8","8,100","1981","헌화로",""
"강원도 강릉시 강동면 정동진리","4**","단독","8m미만","98.5","221","202009","18","7,000","2003","분소골길",""
"강원도 강릉시 강동면 정동진리","1**","단독","12m미만","211.51","438","202005","8","42,900","2003","헌화로",""
"강원도 강릉시 강동면 정동진리","1**","단독","12m미만","211.51","438","202005","8","42,900","null","헌화로","20200528"
"강원도 강릉시 강동면 정동진리","2**","단독","8m미만","136.45","515","202011","30","25,000","1999","헌화로",""
"강원도 강릉시 강동면 정동진리","2**","단독","8m미만","136.45","515","202011","30","25,000","1981","헌화로",""
"강원도 강릉시 강동면 하시동리","4**","단독","8m미만","59.4","185","202008","26","1,100","1995","시동1길",""
"강원도 강릉시 강동면 하시동리","9**","단독","8m미만","92.64","601","202005","11","25,000","2012","시동윗길",""
"강원도 강릉시 강문동","1**","다가구","12m미만","200.88","100","202008","7","63,000","2008","창해로",""
"강원도 강릉시 강문동","1**","단독","12m미만","26.44","80","202004","16","10,000","1968","창해로",""
"강원도 강릉시 강문동","1**","단독","8m미만","31.93","136","202102","4","32,800","1925","창해로362번길",""
"강원도 강릉시 강문동","1**","단독","12m미만","75.92","149","202005","13","45,000","1919","창해로",""
"강원도 강릉시 강문동","2**","단독","25m미만","398.14","565","202009","4","149,000","2018","난설헌로",""
"강원도 강릉시 견소동","2**","단독","12m미만","35.6","81","202003","20","28,000","1971","창해로",""
"강원도 강릉시 견소동","2**","단독","12m미만","77.67","133","202012","24","52,000","2009","창해로",""
"강원도 강릉시 교동","9**","다가구","8m미만","217.08","124","202008","27","18,000","1998","골말길",""
"강원도 강릉시 교동","2**","다가구","8m미만","56.46","159","202004","21","7,800","1983","명륜로",""
"강원도 강릉시 교동","7**","다가구","12m미만","534.91","194","202010","16","105,000","2014","율곡로2953번길","20201228"
"강원도 강릉시 교동","9**","다가구","12m미만","268.23","195.7","202010","9","60,300","2017","원대로8번길",""
"강원도 강릉시 교동","1***","다가구","12m미만","329.25","200.8","202008","4","80,000","2001","원대로",""
