"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명"
"강원도 강릉시 강동면 안인리","5*","8m미만","79.3","월세","202007","5","300","40","null","null"
"강원도 강릉시 강동면 안인리","3**","8m미만","167.62","월세","202005","9","2,000","70","2011","원장봉길"
"강원도 강릉시 강동면 안인리","3**","8m미만","167.62","월세","202005","9","2,000","70","2011","원장봉길"
"강원도 강릉시 강동면 임곡리","2**","8m미만","45.7","월세","202005","31","100","10","null","임곡로"
"강원도 강릉시 강동면 하시동리","3**","8m미만","50","전세","202010","22","2,500","0","1998","시동길"
"강원도 강릉시 강동면 하시동리","9**","8m미만","91.56","전세","202003","13","7,000","0","2002","시동1길"
"강원도 강릉시 강문동","2**","8m미만","77.29","월세","202006","10","1,000","125","1930","창해로370번길"
"강원도 강릉시 강문동","1**","12m미만","147.06","월세","202010","24","1,000","175","2008","창해로"
"강원도 강릉시 견소동","2**","8m미만","30","전세","202008","27","6,000","0","2019","경강로2533번길"
"강원도 강릉시 교동","9**","12m미만","16.52","전세","202006","7","4,500","0","2016","원대로14번길"
"강원도 강릉시 교동","8**","8m미만","19","월세","202008","22","100","27","1993","화부산로8번길"
"강원도 강릉시 교동","1***","12m미만","20","월세","202012","20","20","33","2004","하슬라로206번길"
"강원도 강릉시 교동","9**","12m미만","20","전세","202006","20","400","0","1997","화부산로8번길"
"강원도 강릉시 교동","1***","12m미만","21","월세","202102","6","1,000","55","2004","하슬라로232번길"
"강원도 강릉시 교동","1***","12m미만","21","월세","202102","27","30","30","2002","하슬라로232번길"
"강원도 강릉시 교동","1***","12m미만","22","전세","202003","7","7,000","0","2014","원대로143번길"
"강원도 강릉시 교동","1***","12m미만","22","전세","202005","11","7,000","0","2014","원대로143번길"
"강원도 강릉시 교동","1***","12m미만","23","월세","202002","29","200","32","2003","율곡초교길43번길"
"강원도 강릉시 교동","1***","12m미만","23","전세","202102","23","5,000","0","2004","경포로"
"강원도 강릉시 교동","8**","12m미만","23.14","월세","202011","5","900","10","1981","옛강일길"
"강원도 강릉시 교동","9**","12m미만","24","월세","202011","2","1,700","21","2016","원대로14번길"
"강원도 강릉시 교동","1***","12m미만","24","월세","202008","26","300","33","2004","하슬라로232번길"
"강원도 강릉시 교동","1***","12m미만","24","전세","202006","26","3,500","0","2004","율곡초교길"
"강원도 강릉시 교동","9**","12m미만","24","전세","202005","30","4,000","0","2016","원대로14번길"
"강원도 강릉시 교동","1***","12m미만","24.02","월세","202003","17","200","35","2002","율곡초교길43번길"
"강원도 강릉시 교동","1***","12m미만","24.18","월세","202011","6","100","38","2004","정원로"
"강원도 강릉시 교동","1***","25m미만","24.8","월세","202101","28","200","38","2013","원대로143번길"
"강원도 강릉시 교동","8**","25m미만","25","월세","202101","2","1,700","10","null","임영로"
"강원도 강릉시 교동","1***","12m미만","25","월세","202101","21","3,500","10","2012","원대로179번길"
"강원도 강릉시 교동","9**","8m미만","25","월세","202006","22","200","35","2015","원대로26번길"
"강원도 강릉시 교동","1***","12m미만","25","월세","202012","26","300","40","2016","율곡초교길47번길"
