"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분","해제사유발생일"
"강원도 강릉시 내곡동","296-1","강릉 블루밍 더 베스트","49.967","19,193","18","202006","1","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","94.3894","38,800","2","202102","1","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","94.4077","40,900","3","202102","1","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","84.9494","34,900","3","202102","2","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","94.3894","38,600","4","202102","2","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","76.9454","36,250","22","202102","3","분","20210308"
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","76.9454","34,600","14","202102","4","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","74.9843","36,300","11","202102","6","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","84.9677","37,300","11","202102","6","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","76.9454","35,900","4","202102","7","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","84.9494","38,900","17","202102","8","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","74.9843","33,200","9","202102","8","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","84.9494","37,700","9","202102","9","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","84.9494","37,750","12","202102","10","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","84.9494","35,000","2","202102","10","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","74.9843","33,900","5","202102","14","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","84.9677","36,500","6","202102","17","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","84.9677","4,100","6","202102","17","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","84.9494","38,100","5","202102","18","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","74.9843","32,000","3","202102","20","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","84.9494","39,200","5","202102","22","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","74.9843","33,900","14","202102","23","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","84.9494","38,900","20","202102","24","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","74.9843","33,200","13","202102","25","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","84.9494","34,500","1","202102","27","분",""
"강원도 강릉시 내곡동","96","강릉자이 파인베뉴","76.9454","35,500","21","202102","27","분",""
"강원도 강릉시 송정동","1065","강릉 송정 신원아침도시","75.9722","24,094","2","202005","31","분",""
"강원도 강릉시 송정동","1065","강릉 송정 신원아침도시","75.9722","25,215","10","202006","4","분","20200702"
"강원도 강릉시 송정동","1065","강릉 송정 신원아침도시","75.9722","25,215","10","202006","4","분",""
"강원도 강릉시 송정동","1065","강릉 송정 신원아침도시","84.9522","28,016","2","202006","10","분",""
"강원도 강릉시 송정동","1065","강릉 송정 신원아침도시","84.9522","29,904","4","202006","13","분",""
"강원도 강릉시 송정동","1065","강릉 송정 신원아침도시","75.9722","26,044","14","202006","17","분",""
"강원도 강릉시 송정동","1065","강릉 송정 신원아침도시","109.495","38,272","9","202006","19","분",""
"강원도 강릉시 송정동","1065","강릉 송정 신원아침도시","109.495","38,122","4","202006","20","분",""
"강원도 강릉시 송정동","1065","강릉 송정 신원아침도시","75.9722","26,844","5","202007","7","분",""
"강원도 강릉시 송정동","1065","강릉 송정 신원아침도시","75.9722","24,450","5","202007","8","분",""
