"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"강원도 강릉시 강동면 모전리","일반","7**","윗장작골길","계획관리","제2종근린생활","8m미만","490.04","8323.00","10,000","null","202007","30"," ","1998",""
"강원도 강릉시 강동면 정동진리","일반","4*","헌화로","계획관리","제1종근린생활","12m미만","98.25","102.00","17,000","null","202005","22"," ","1998",""
"강원도 강릉시 강동면 정동진리","일반","1*","헌화로","계획관리","제1종근린생활","12m미만","558.55","409.00","62,000","null","202011","24"," ","1999",""
"강원도 강릉시 강문동","일반","1**","초당순두부길","자연녹지","제2종근린생활","12m미만","63.92","340.00","66,853","null","202003","12"," ","1998",""
"강원도 강릉시 강문동","집합","*","창해로","계획관리","숙박","12m미만","27.45"," ","20,000","14","202004","11"," ","2018",""
"강원도 강릉시 강문동","집합","2**","해안로","계획관리","숙박","25m이상","26.55"," ","21,000","4","202004","29"," ","2018",""
"강원도 강릉시 강문동","집합","2**","창해로","계획관리","제1종근린생활","12m미만","88.42"," ","42,041","null","202007","15"," ","1981",""
"강원도 강릉시 강문동","집합","2**","해안로","계획관리","숙박","25m이상","23.59"," ","16,000","17","202007","28"," ","2018",""
"강원도 강릉시 강문동","집합","2**","해안로","계획관리","숙박","25m이상","23.82"," ","21,000","14","202008","6"," ","2018",""
"강원도 강릉시 강문동","집합","2**","-","계획관리","제1종근린생활","12m미만","33.16"," ","21,500","null","202008","10"," ","1981",""
