"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"강원도 강릉시 견소동","202","0202","0000","송정한신","월세","39.08","202003","1","500","40","13","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","월세","59.8","202003","18","1,000","50","1","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","59.8","202003","23","11,000","0","15","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","84.945","202003","27","14,000","0","10","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","59.8","202003","30","12,000","0","9","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","84.945","202004","1","13,500","0","2","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","월세","59.8","202004","29","1,000","50","8","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","월세","84.945","202004","30","2,000","50","15","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","84.945","202005","6","1,400","0","13","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","84.945","202005","13","15,000","0","11","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","월세","59.8","202005","19","5,000","23","12","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","84.945","202005","20","15,500","0","5","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","39.08","202006","3","8,000","0","3","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","84.945","202006","17","15,000","0","11","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","월세","59.8","202007","1","1,000","45","13","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","39.08","202007","6","9,000","0","11","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","84.945","202007","13","15,000","0","1","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","116.175","202007","13","16,000","0","13","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","월세","59.8","202008","6","1,000","40","12","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","39.08","202008","11","4,000","0","7","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","월세","59.8","202008","16","1,000","50","1","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","59.8","202009","3","12,500","0","15","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","월세","84.93","202009","3","1,000","65","14","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","84.93","202009","11","15,000","0","4","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","월세","39.08","202009","28","500","40","9","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","43.38","202010","13","6,825","0","7","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","39.08","202010","14","8,000","0","4","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","84.945","202010","26","15,000","0","8","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","84.945","202011","11","15,000","0","11","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","43.38","202011","20","9,000","0","9","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","39.08","202011","21","9,000","0","4","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","59.8","202012","17","12,000","0","7","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","84.945","202012","23","18,000","0","13","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","39.08","202101","5","9,500","0","3","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","39.08","202101","5","9,500","0","3","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","84.945","202101","23","18,000","0","13","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","전세","84.93","202102","2","18,000","0","7","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","월세","39.08","202102","18","1,000","35","7","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","월세","59.8","202102","22","3,500","35","1","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","월세","59.8","202102","25","1,000","45","14","1997","경강로2539번길 8"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","월세","84.99","202003","15","1,000","70","6","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202003","16","20,000","0","8","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202003","23","20,000","0","4","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","월세","59.99","202003","27","2,000","50","1","2005","경강로2539번길 23"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","59.99","202004","8","15,500","0","11","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","월세","84.99","202004","10","14,000","35","9","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","59.99","202004","14","16,300","0","7","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","59.99","202004","23","15,000","0","7","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202004","25","22,000","0","13","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202005","8","19,000","0","3","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202005","9","20,000","0","4","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","전세","84.99","202005","12","20,000","0","5","2005","경강로2539번길 22"
