"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"강원도 강릉시 교동","192-102","0192","0102","교동","월세","74.595","202006","20","1,000","35","2","1982","율곡로 2912-1"
"강원도 강릉시 교동","941-9","0941","0009","교동맨션","전세","84.24","202006","20","12,000","0","2","1984","원대로8번길 42"
"강원도 강릉시 교동","834-1","0834","0001","대동","전세","53.23","202003","18","2,800","0","1","1983","옛강일길 30"
"강원도 강릉시 교동","834-1","0834","0001","대동","월세","53.23","202006","5","5,000","10","2","1983","옛강일길 30"
"강원도 강릉시 교동","303-1","0303","0001","이화","월세","56.79","202004","23","500","45","2","1984","율곡로2968번안길 2"
"강원도 강릉시 교동","303-1","0303","0001","이화","전세","56.79","202008","12","6,500","0","1","1984","율곡로2968번안길 2"
"강원도 강릉시 교동","303-1","0303","0001","이화","월세","56.79","202009","14","500","40","3","1984","율곡로2968번안길 2"
"강원도 강릉시 교동","303-1","0303","0001","이화","전세","56.79","202010","19","8,000","0","1","1984","율곡로2968번안길 2"
"강원도 강릉시 교동","303-1","0303","0001","이화","전세","56.79","202010","19","8,000","0","1","1984","율곡로2968번안길 2"
"강원도 강릉시 교동","303-1","0303","0001","이화","전세","56.79","202011","2","8,000","0","2","1984","율곡로2968번안길 2"
"강원도 강릉시 교동","303-1","0303","0001","이화","월세","56.79","202011","6","500","40","2","1984","율곡로2968번안길 2"
"강원도 강릉시 교동","303-1","0303","0001","이화","전세","56.79","202011","25","5,000","0","2","1984","율곡로2968번안길 2"
"강원도 강릉시 교동","303-1","0303","0001","이화","전세","56.79","202101","20","5,500","0","3","1984","율곡로2968번안길 2"
"강원도 강릉시 교동","303-1","0303","0001","이화","전세","56.79","202101","23","7,500","0","1","1984","율곡로2968번안길 2"
"강원도 강릉시 교동","303-1","0303","0001","이화","전세","56.79","202101","26","5,000","0","3","1984","율곡로2968번안길 2"
"강원도 강릉시 교동","303-1","0303","0001","이화","전세","56.79","202102","2","6,000","0","3","1984","율곡로2968번안길 2"
"강원도 강릉시 교동","303-1","0303","0001","이화","전세","56.79","202102","26","5,000","0","1","1984","율곡로2968번안길 2"
"강원도 강릉시 교동","972-2","0972","0002","한일","전세","52.2","202009","12","3,000","0","2","1981","원대로30번길 15-6"
"강원도 강릉시 교동","254-12","0254","0012","한진","월세","72.075","202005","12","1,000","35","2","1982","명륜로 69"
"강원도 강릉시 교동","254-12","0254","0012","한진","월세","72.075","202102","16","1,000","35","2","1982","명륜로 69"
"강원도 강릉시 구정면 학산리","641-106","0641","0106","학산로얄빌라","전세","84.75","202102","17","12,000","0","4","2015","구정옥봉길 150-9"
"강원도 강릉시 내곡동","443-19","0443","0019","0443-0019","월세","70.2","202004","7","8,000","10","1","2004","강변로172번안길 12-2"
"강원도 강릉시 내곡동","443-19","0443","0019","0443-0019","전세","70.2","202004","28","8,000","0","1","2004","강변로172번안길 12-2"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","전세","49.57","202003","16","7,000","0","4","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","월세","30.59","202004","8","500","27","3","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","전세","30.59","202005","4","4,000","0","4","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","월세","30.59","202005","4","4,000","3","4","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","전세","30.59","202006","2","4,000","0","1","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","전세","49.57","202006","9","3,000","0","4","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","전세","30.59","202007","8","5,200","0","1","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","전세","30.59","202007","8","4,700","0","1","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","월세","30.59","202007","22","300","30","2","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","월세","30.59","202011","2","200","25","3","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","월세","30.59","202011","9","300","25","2","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","전세","30.59","202011","11","4,000","0","1","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","전세","30.59","202011","14","5,100","0","4","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","월세","49.57","202011","25","500","40","1","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","월세","49.57","202012","23","500","35","3","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","전세","30.59","202012","23","4,000","0","4","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","전세","30.59","202101","29","4,000","0","2","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","전세","30.59","202102","3","5,500","0","3","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","전세","30.59","202102","19","4,200","0","4","1997","범일로 528"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","전세","30.59","202102","19","4,200","0","4","1997","범일로 528"
"강원도 강릉시 내곡동","135-2","0135","0002","해림","월세","37.68","202005","12","2,000","10","3","1987","남산초교길 57"
"강원도 강릉시 내곡동","135-2","0135","0002","해림","월세","37.68","202005","12","2,000","10","3","1987","남산초교길 57"
"강원도 강릉시 내곡동","135-2","0135","0002","해림","전세","37.68","202006","5","3,000","0","2","1987","남산초교길 57"
"강원도 강릉시 내곡동","135-2","0135","0002","해림","월세","37.68","202006","29","300","30","4","1987","남산초교길 57"
"강원도 강릉시 노암동","593-11","0593","0011","(593-11)","전세","72.21","202009","8","16,000","0","2","2018","남부로136번길 7"
"강원도 강릉시 노암동","639-22","0639","0022","남산","전세","53.46","202003","12","6,000","0","2","1986","남산길 32"
"강원도 강릉시 노암동","639-22","0639","0022","남산","전세","53.46","202003","12","6,000","0","2","1986","남산길 32"
"강원도 강릉시 노암동","315","0315","0000","노암","전세","65.88","202006","23","2,300","0","2","1981","노암길 40"
"강원도 강릉시 노암동","277-1","0277","0001","노암연립","월세","83.4","202006","29","500","50","1","1979","강변로312번길 16"
"강원도 강릉시 노암동","245-24","0245","0024","더힐","전세","50","202006","9","14,500","0","3","2018","율곡로2747번길 5"
"강원도 강릉시 노암동","245-24","0245","0024","더힐","전세","36.01","202011","23","12,000","0","2","2018","율곡로2747번길 5"
"강원도 강릉시 노암동","245-24","0245","0024","더힐","전세","45.75","202101","6","14,000","0","4","2018","율곡로2747번길 5"
"강원도 강릉시 노암동","245-24","0245","0024","더힐","전세","45.75","202101","8","14,000","0","5","2018","율곡로2747번길 5"
"강원도 강릉시 노암동","267-8","0267","0008","성덕주택(금모래)","월세","49.14","202006","30","200","35","1","1983","강변로312번길 3"
"강원도 강릉시 대전동","565-3","0565","0003","다올캐슬타운","월세","93.52","202004","27","4,000","50","2","2019","과학단지로21번길 5-30"
"강원도 강릉시 사천면 사천진리","24-5","0024","0005","선경","전세","49.65","202005","1","4,500","0","2","1995","진리해변길 36"
"강원도 강릉시 사천면 사천진리","54-9","0054","0009","하평빌2","월세","66.44","202007","29","8,000","25","4","2017","공회당길 8"
"강원도 강릉시 송정동","17-12","0017","0012","(17-12)","전세","78.4","202008","12","15,000","0","5","2014","팔송길 30"
"강원도 강릉시 송정동","210","0210","0000","(210-0)","월세","58.15","202008","21","3,000","50","2","2015","팔송길15번길 17-1"
"강원도 강릉시 송정동","216-1","0216","0001","소라A단지","월세","56.34","202009","29","3,000","30","1","1986","송정길 15"
"강원도 강릉시 송정동","216-1","0216","0001","소라A단지","월세","56.34","202010","29","1,000","45","2","1986","송정길 15"
"강원도 강릉시 송정동","216-1","0216","0001","소라A단지","전세","56.34","202101","21","5,000","0","2","1986","송정길 15"
"강원도 강릉시 송정동","110-42","0110","0042","송정","전세","68.39","202101","27","7,000","0","2","1980","팔송길18번길 7"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","67.18","202003","7","21,000","0","5","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","68.22","202003","10","17,000","0","2","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","68.22","202003","10","17,000","0","2","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","71.03","202003","17","20,000","0","2","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","71.03","202004","6","19,000","0","4","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","68.22","202004","9","15,000","0","4","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","71.03","202006","19","19,000","0","2","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","71.03","202007","6","20,000","0","4","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","71.03","202007","19","24,000","0","5","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","71.03","202008","21","22,000","0","3","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","39-4","0039","0004","해당화","월세","39.64","202011","18","200","25","2","1979","해안로 91"
"강원도 강릉시 송정동","110-81","0110","0081","화이트캐슬","전세","84.69","202003","17","19,000","0","1","2017","경강로 2531"
"강원도 강릉시 연곡면 영진리","357-30","0357","0030","ES프라우드","월세","49.8618","202004","14","2,000","50","5","2016","영진길 33"
"강원도 강릉시 연곡면 영진리","353-71","0353","0071","동방 이스트빌(109~111동)","월세","71.12","202009","8","4,000","25","4","2015","연주로 162"
