"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"강원도 강릉시 교동","1883-6","1883","6","(1883-6)","32.99","202003","4","15,977","9","2019","솔올로5번길 47",""
"강원도 강릉시 교동","1883-6","1883","6","(1883-6)","33.54","202003","5","16,318","9","2019","솔올로5번길 47",""
"강원도 강릉시 교동","1883-6","1883","6","(1883-6)","32.99","202003","5","15,466","9","2019","솔올로5번길 47",""
"강원도 강릉시 교동","140-16","140","16","강릉역 블루핀","22","202008","3","11,948","9","2020","강릉대로 285","20201229"
"강원도 강릉시 교동","140-16","140","16","강릉역 블루핀","22","202008","12","12,310","11","2020","강릉대로 285",""
"강원도 강릉시 교동","140-16","140","16","강릉역 블루핀","22","202008","19","11,889","8","2020","강릉대로 285",""
"강원도 강릉시 교동","140-16","140","16","강릉역 블루핀","22","202010","30","11,000","10","2020","강릉대로 285",""
"강원도 강릉시 교동","140-16","140","16","강릉역 블루핀","22","202012","23","10,938","7","2020","강릉대로 285",""
"강원도 강릉시 교동","140-16","140","16","강릉역 블루핀","22","202012","23","10,826","4","2020","강릉대로 285",""
"강원도 강릉시 교동","140-16","140","16","강릉역 블루핀","22","202012","23","10,938","8","2020","강릉대로 285",""
"강원도 강릉시 교동","140-16","140","16","강릉역 블루핀","22","202012","23","10,826","4","2020","강릉대로 285",""
"강원도 강릉시 교동","140-16","140","16","강릉역 블루핀","22","202012","23","10,826","4","2020","강릉대로 285",""
"강원도 강릉시 교동","140-16","140","16","강릉역 블루핀","22","202012","23","10,938","8","2020","강릉대로 285",""
"강원도 강릉시 교동","140-16","140","16","강릉역 블루핀","22","202012","23","10,882","5","2020","강릉대로 285",""
"강원도 강릉시 교동","140-16","140","16","강릉역 블루핀","22","202012","23","10,882","5","2020","강릉대로 285",""
"강원도 강릉시 교동","140-16","140","16","강릉역 블루핀","22","202012","23","10,882","5","2020","강릉대로 285",""
"강원도 강릉시 교동","140-16","140","16","강릉역 블루핀","22","202012","23","10,938","7","2020","강릉대로 285",""
"강원도 강릉시 교동","140-16","140","16","강릉역 블루핀","22","202012","23","10,826","4","2020","강릉대로 285",""
"강원도 강릉시 교동","140-16","140","16","강릉역 블루핀","22","202012","23","10,938","8","2020","강릉대로 285",""
"강원도 강릉시 교동","140-16","140","16","강릉역 블루핀","22","202012","23","10,938","7","2020","강릉대로 285",""
"강원도 강릉시 교동","140-16","140","16","강릉역 블루핀","22","202012","23","10,938","3","2020","강릉대로 285",""
"강원도 강릉시 교동","140-16","140","16","강릉역 블루핀","22","202012","28","13,273","17","2020","강릉대로 285",""
