"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"강원도 강릉시 교동","1883-6","1883","0006","(1883-6)","월세","33.54","202008","28","500","65","9","2019","솔올로5번길 47"
"강원도 강릉시 교동","1883-6","1883","0006","(1883-6)","월세","32.99","202102","18","500","60","9","2019","솔올로5번길 47"
"강원도 강릉시 교동","140-16","0140","0016","강릉역 블루핀","전세","22","202006","3","8,000","0","9","2020","강릉대로 285"
"강원도 강릉시 교동","140-16","0140","0016","강릉역 블루핀","전세","22","202006","4","8,000","0","15","2020","강릉대로 285"
"강원도 강릉시 교동","140-16","0140","0016","강릉역 블루핀","전세","22","202006","11","8,000","0","5","2020","강릉대로 285"
"강원도 강릉시 교동","140-16","0140","0016","강릉역 블루핀","전세","22","202006","30","8,000","0","11","2020","강릉대로 285"
"강원도 강릉시 교동","140-16","0140","0016","강릉역 블루핀","전세","22","202007","4","8,000","0","13","2020","강릉대로 285"
"강원도 강릉시 교동","140-16","0140","0016","강릉역 블루핀","전세","22","202007","14","7,700","0","5","2020","강릉대로 285"
"강원도 강릉시 교동","140-16","0140","0016","강릉역 블루핀","월세","22","202007","15","500","50","8","2020","강릉대로 285"
"강원도 강릉시 교동","140-16","0140","0016","강릉역 블루핀","전세","22","202007","15","7,500","0","3","2020","강릉대로 285"
