"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분","해제사유발생일"
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","31,380","19","202007","14","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","29,730","9","202007","24","분","20200728"
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","31,380","12","202007","29","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","31,380","11","202008","4","분","20200806"
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","31,380","11","202008","4","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","31,380","11","202008","4","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","29,730","9","202011","16","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","29,880","17","202012","14","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","31,380","10","202101","14","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","29,680","18","202101","19","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","31,380","11","202101","24","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","31,880","17","202101","25","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","31,380","14","202101","28","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","29,860","4","202101","28","분","20210129"
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","30,160","4","202101","28","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","30,620","7","202101","28","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","30,600","16","202102","1","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","29,430","2","202102","1","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","31,580","13","202102","2","분","20210223"
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","29,830","8","202102","2","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","30,130","17","202102","2","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","30,460","10","202102","6","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","30,620","9","202102","8","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","29,730","9","202102","10","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","29,730","5","202102","15","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","31,120","7","202102","15","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","30,229","7","202102","16","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","28,839","8","202102","18","분",""
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","32,830","16","202102","20","분","20210312"
"경기도 가평군 가평읍 읍내리","870-2","가평 코아루","84.7532","32,830","16","202102","20","분","20210317"
