"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","40.5"," ","4,000","2","202004","3"," ","2004",""
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","26.1"," ","3,737","1","202008","13"," ","2004",""
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","26.1"," ","3,737","2","202008","19"," ","2004",""
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","26.1"," ","3,300","2","202008","31"," ","2004",""
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","26.1"," ","3,737","3","202009","4"," ","2004",""
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","26.1"," ","3,737","3","202009","8"," ","2004",""
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","26.1"," ","3,737","3","202010","5"," ","2004",""
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","26.1"," ","3,737","1","202010","5"," ","2004",""
"경기도 가평군 가평읍 금대리","일반","4*","-","계획관리","제2종근린생활","8m미만","445.36","2829.00","108,930","null","202010","13"," ","2005",""
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","40.5"," ","3,780","1","202010","26"," ","2004","20201027"
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","40.5"," ","3,814","1","202010","27"," ","2004",""
"경기도 가평군 가평읍 금대리","집합","6**","북한강변로","계획관리","숙박","-","153.53"," ","55,700","1","202011","2"," ","2020",""
"경기도 가평군 가평읍 금대리","집합","6**","북한강변로","계획관리","숙박","-","174.63"," ","64,100","1","202011","2"," ","2020",""
"경기도 가평군 가평읍 금대리","집합","6**","북한강변로","계획관리","숙박","-","154.65"," ","55,700","1","202011","2"," ","2020",""
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","26.1"," ","4,200","3","202011","10"," ","2004",""
"경기도 가평군 가평읍 금대리","일반","7*","북한강변로","계획관리","제2종근린생활","12m미만","157.74","296.00","27,500","null","202011","26"," ","2008",""
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","26.1"," ","2,350","2","202012","5"," ","2004",""
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","26.1"," ","2,350","2","202012","5"," ","2004",""
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","40.5"," ","2,800","2","202012","5"," ","2004",""
"경기도 가평군 가평읍 금대리","집합","4*","-","계획관리","숙박","8m미만","26.1"," ","1,000","1","202012","5"," ","2004",""
