"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202003","1","47,000","5","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","75.94","202003","7","45,000","10","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202003","7","48,500","26","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202003","14","50,000","5","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202003","21","50,000","27","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","57.92","202004","3","34,900","21","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","57.92","202004","16","35,000","25","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","57.92","202004","18","40,000","12","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","57.92","202005","9","40,000","25","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","57.92","202006","20","38,000","4","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","75.94","202006","22","48,300","23","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202006","23","58,000","19","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","75.94","202007","7","51,800","12","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","75.94","202007","8","52,000","26","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","75.94","202007","16","53,000","23","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202007","30","60,000","21","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202008","1","60,000","5","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202008","2","58,000","9","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202008","8","64,500","17","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202008","15","56,400","4","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","75.94","202008","31","60,000","13","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202009","5","59,250","23","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202009","12","60,000","9","2019","덕수천2로 150","20200928"
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","75.94","202009","21","63,000","26","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","75.94","202009","25","54,700","11","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202010","21","68,000","22","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202010","29","65,000","6","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","57.92","202011","1","40,700","6","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202011","12","65,000","10","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","57.92","202011","25","48,700","20","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202012","5","65,400","4","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202012","5","65,400","4","2019","덕수천2로 150","20210223"
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202012","12","70,000","5","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","57.92","202012","13","48,200","6","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","75.94","202012","13","60,000","26","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202012","18","68,500","7","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","75.94","202012","19","63,500","22","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","57.92","202012","19","50,300","25","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","75.94","202012","19","63,500","27","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202012","26","69,900","11","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202012","31","70,000","20","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202101","2","70,000","3","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202101","2","70,000","14","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202101","2","70,000","4","2019","덕수천2로 150","20210113"
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","57.92","202101","3","53,400","21","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202101","5","70,000","4","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202101","6","70,000","9","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202101","6","67,000","8","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","57.92","202101","6","50,500","4","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","57.92","202101","6","53,000","16","2019","덕수천2로 150","20210201"
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","75.94","202101","8","73,000","20","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202101","9","67,000","11","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202101","9","65,000","9","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","82.76","202101","13","72,000","27","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","75.94","202101","14","70,000","14","2019","덕수천2로 150","20210125"
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","75.94","202101","14","70,000","14","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","57.92","202101","16","53,000","16","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","57.92","202101","18","55,000","12","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","57.92","202102","20","55,000","12","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368-2","368","2","e편한세상 시티 삼송2차","57.92","202102","24","60,000","23","2019","덕수천2로 150",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","82.76","202002","29","39,575","18","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","57.92","202003","2","35,000","13","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202003","3","47,000","20","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","82.76","202003","6","50,000","19","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.94","202003","7","45,000","26","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","57.92","202003","13","40,000","5","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202003","14","43,000","21","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","82.76","202003","20","51,700","10","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202003","26","41,500","1","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202004","7","43,000","2","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202004","11","45,800","10","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.94","202004","15","50,500","23","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","57.92","202004","18","34,750","2","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202004","18","45,000","7","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","57.92","202005","5","37,000","8","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202005","6","45,500","5","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","57.92","202005","9","35,700","5","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","57.92","202005","15","34,500","26","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","57.92","202005","18","34,500","21","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","82.76","202005","19","53,000","18","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.94","202005","30","48,300","26","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.94","202006","13","52,000","13","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202006","13","51,000","16","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202006","13","52,000","19","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202006","19","50,000","5","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","82.76","202006","29","58,000","8","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202007","4","51,000","9","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","82.76","202007","5","52,000","4","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202007","5","52,000","25","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202007","6","55,600","26","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","57.92","202007","9","42,500","17","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202007","10","55,000","11","2019","동송로 23-28","20200727"
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202007","10","55,000","11","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202007","11","55,000","14","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202007","18","55,500","9","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202007","18","52,800","25","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202007","18","52,000","27","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","82.76","202007","21","58,000","27","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","57.92","202007","25","40,000","10","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","82.76","202007","28","60,000","14","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","82.76","202007","28","55,000","14","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","57.92","202008","1","40,000","15","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","82.76","202008","4","43,000","19","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202008","6","53,000","3","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202008","7","51,500","1","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.94","202008","8","61,500","24","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202008","12","53,000","8","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","82.76","202008","15","57,700","7","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.94","202008","15","54,000","4","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","82.76","202008","15","57,700","7","2019","동송로 23-28","20201103"
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202008","16","58,000","26","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","82.76","202008","16","55,000","15","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","57.92","202008","19","42,000","25","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","82.76","202008","22","58,000","13","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.94","202008","22","53,000","20","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","57.92","202008","27","46,000","12","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","82.76","202008","29","69,000","14","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","57.92","202009","10","49,000","11","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","82.76","202009","16","65,000","8","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","82.76","202009","18","64,500","6","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","82.76","202009","24","65,000","19","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202010","4","57,500","8","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","57.92","202010","15","44,800","12","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","57.92","202010","17","49,100","18","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","57.92","202010","17","44,500","6","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.93","202010","17","55,500","7","2019","동송로 23-28",""
"경기도 고양덕양구 동산동","368","368","0","e편한세상 시티 삼송3차","75.94","202010","23","56,000","9","2019","동송로 23-28",""
