"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"경상남도 거제시 거제면 남동리","1**","단독","8m미만","29.75","119","202011","13","5,700","1965","읍내로7안길",""
"경상남도 거제시 거제면 내간리","8**","단독","8m미만","102.35","185","202006","8","7,000","1998","송곡1길",""
"경상남도 거제시 거제면 내간리","2*","단독","8m미만","39.67","205","202006","9","5,000","1970","내간1길",""
"경상남도 거제시 거제면 내간리","7**","단독","8m미만","39.67","231","202012","6","6,800","1935","송곡1길",""
"경상남도 거제시 거제면 내간리","7**","단독","8m미만","39.67","231","202003","10","6,000","1935","송곡1길",""
"경상남도 거제시 거제면 내간리","7**","단독","8m미만","39.67","231","202004","23","6,600","1935","송곡1길",""
"경상남도 거제시 거제면 내간리","2**","단독","8m미만","33.06","235","202003","7","6,000","1935","내간2길",""
"경상남도 거제시 거제면 내간리","3**","단독","8m미만","52.9","255","202102","1","4,600","1964","내간2길",""
"경상남도 거제시 거제면 내간리","6**","단독","8m미만","202.61","391","202011","22","17,500","2011","내간2길",""
"경상남도 거제시 거제면 내간리","9**","단독","8m미만","145.19","637","202009","13","32,970","2017","거제남서로",""
