"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명"
"경상남도 거제시 거제면 남동리","7*","8m미만","23.04","월세","202007","3","200","25","2014","읍내로9길"
"경상남도 거제시 거제면 남동리","2*","12m미만","35.96","월세","202005","19","0","20","2001","거제남서로"
"경상남도 거제시 거제면 남동리","8*","8m미만","36.36","월세","202002","29","300","25","2008","읍내로9길"
"경상남도 거제시 거제면 남동리","2*","8m미만","59.88","월세","202101","10","500","20","2009","읍내로3길"
"경상남도 거제시 거제면 남동리","2*","8m미만","62","월세","202012","24","500","20","2007","읍내로7안길"
"경상남도 거제시 거제면 남동리","3*","8m미만","69.36","월세","202010","13","0","10","null","읍내로7안길"
"경상남도 거제시 거제면 남동리","*","8m미만","89.78","월세","202012","22","0","40","2011","읍내로7길"
"경상남도 거제시 거제면 동상리","4**","12m미만","66","월세","202102","26","500","30","2014","읍내로"
"경상남도 거제시 거제면 동상리","5**","8m미만","66.11","월세","202003","31","500","30","1997","읍내로"
"경상남도 거제시 거제면 동상리","1**","12m미만","103.5","월세","202010","12","0","20","1996","동상명진길"
"경상남도 거제시 거제면 서상리","2**","8m미만","10.9","월세","202003","4","15","10","1935","기성로8길"
"경상남도 거제시 거제면 서상리","2**","12m미만","47.44","월세","202007","26","200","26","2016","기성로"
"경상남도 거제시 거제면 서상리","2**","8m미만","64.18","월세","202007","17","50","10","1935","기성로8길"
"경상남도 거제시 거제면 서상리","2**","8m미만","71.85","월세","202012","16","200","17","1985","기성로"
"경상남도 거제시 거제면 서상리","1**","8m미만","97.8","월세","202007","3","1,700","60","2015","동상3길"
"경상남도 거제시 거제면 서상리","1**","12m미만","133.02","전세","202006","20","20,000","0","2016","서정1길"
"경상남도 거제시 거제면 서정리","7**","-","23","월세","202003","20","1,500","10","2007","null"
"경상남도 거제시 거제면 서정리","7**","12m미만","23","월세","202003","20","1,500","10","2007","읍내로13길"
"경상남도 거제시 거제면 서정리","6**","8m미만","29.02","월세","202005","22","200","20","2005","기성로5길"
