"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"경상남도 거제시 거제면 법동리","일반","5**","거제남서로","계획관리","제1종근린생활","12m미만","73.72","435.00","9,500","null","202007","3"," ","1996",""
"경상남도 거제시 거제면 법동리","일반","2**","산달1길","계획관리","기타","8m미만","425.22","4834.00","55,475","null","202010","21"," ","1964","20201023"
"경상남도 거제시 거제면 법동리","일반","2**","산달1길","계획관리","기타","8m미만","425.22","4834.00","55,525","null","202010","21"," ","1964",""
"경상남도 거제시 거제면 서정리","일반","3**","-","계획관리","제2종근린생활","8m미만","126.16","660.00","27,480","null","202003","13"," ","2016",""
"경상남도 거제시 거제면 옥산리","일반","산*","-","계획관리","숙박","8m미만","2763.57","8847.00","388,740","null","202011","20"," ","2014",""
"경상남도 거제시 고현동","일반","9**","거제중앙로26길","일반상업","숙박","8m미만","730.94","224.70","106,900","null","202003","10"," ","1997",""
"경상남도 거제시 고현동","일반","1**","고현로8길","일반상업","제2종근린생활","12m미만","755.03","521.00","200,000","null","202003","13"," ","2004",""
"경상남도 거제시 고현동","집합","9**","중곡로","제2종일반주거","제2종근린생활","25m이상","186.9"," ","21,000","2","202003","24"," ","2001",""
"경상남도 거제시 고현동","집합","9**","거제중앙로","일반상업","판매","25m미만","13.02"," ","18,800","null","202004","10"," ","1996",""
"경상남도 거제시 고현동","집합","9**","고현로13길","제2종일반주거","제1종근린생활","12m미만","32.1"," ","18,000","1","202005","11"," ","1989",""
"경상남도 거제시 고현동","집합","9**","서문로","일반상업","제2종근린생활","25m미만","197.47"," ","38,700","2","202005","15"," ","1994",""
"경상남도 거제시 고현동","일반","4**","거제중앙로9길","제2종일반주거","제2종근린생활","25m미만","123.88","212.00","47,500","null","202005","28"," ","2018",""
"경상남도 거제시 고현동","집합","9**","거제중앙로","준주거","판매","12m미만","118.28"," ","40,112","2","202006","11"," ","2010",""
"경상남도 거제시 고현동","집합","9**","거제중앙로","준주거","제1종근린생활","12m미만","188.35"," ","63,888","2","202006","11"," ","2010",""
"경상남도 거제시 고현동","집합","3*","고현로","일반상업","제1종근린생활","25m미만","21.7"," ","11,200","1","202006","27"," ","1998",""
"경상남도 거제시 고현동","집합","9**","고현로13길","제2종일반주거","제2종근린생활","12m미만","31.5"," ","16,000","1","202006","30"," ","1989",""
"경상남도 거제시 고현동","집합","9**","거제중앙로","준주거","제2종근린생활","12m미만","34.67"," ","21,000","1","202007","1"," ","2012",""
"경상남도 거제시 고현동","집합","9**","거제중앙로","준주거","제2종근린생활","12m미만","59.18"," ","21,500","1","202007","1"," ","2012",""
"경상남도 거제시 고현동","일반","9**","중곡1로","제2종일반주거","제2종근린생활","12m미만","656.55","330.10","103,940","null","202007","17"," ","2006",""
"경상남도 거제시 고현동","일반","1***","-","제2종일반주거","제1종근린생활","25m미만","224.72","520.00","116,700","null","202007","29"," ","1997","20200824"
"경상남도 거제시 고현동","일반","1***","거제대로","제2종일반주거","제1종근린생활","25m미만","224.72","520.00","116,700","null","202008","24"," ","1997",""
"경상남도 거제시 고현동","일반","5**","-","제1종일반주거","제2종근린생활","-","163.28","383.00","31,571","null","202009","23"," ","2020",""
"경상남도 거제시 고현동","집합","9**","서문로3길","제2종일반주거","제1종근린생활","12m미만","40.5"," ","23,000","null","202009","24"," ","1991",""
"경상남도 거제시 고현동","집합","9**","거제중앙로","일반상업","판매","25m미만","9.61"," ","3,900","null","202010","26"," ","1996",""
"경상남도 거제시 고현동","집합","9**","거제중앙로","일반상업","판매","25m미만","9.72"," ","3,900","null","202010","26"," ","1996",""
"경상남도 거제시 고현동","일반","1***","중곡로3길","제2종일반주거","제2종근린생활","12m미만","89.88","152.00","32,000","null","202010","31"," ","2017",""
"경상남도 거제시 고현동","집합","9**","거제중앙로","일반상업","판매","25m미만","6.81"," ","3,700","null","202011","4"," ","1996",""
"경상남도 거제시 고현동","일반","9**","중곡로7길","제2종일반주거","제2종근린생활","12m미만","386.55","226.90","52,000","null","202011","12"," ","2002","20210122"
"경상남도 거제시 고현동","일반","9**","중곡로7길","제2종일반주거","제2종근린생활","12m미만","386.55","226.90","52,000","null","202011","12"," ","2002",""
"경상남도 거제시 고현동","집합","1***","중곡로","제2종일반주거","제2종근린생활","25m미만","75.32"," ","7,900","2","202011","26"," ","1997",""
"경상남도 거제시 고현동","집합","1***","중곡로","제2종일반주거","제1종근린생활","25m미만","27.71"," ","7,300","2","202011","27"," ","1993",""
"경상남도 거제시 고현동","집합","9**","거제중앙로","일반상업","기타","25m미만","192.63"," ","64,000","null","202012","3"," ","1994",""
"경상남도 거제시 고현동","집합","9**","거제중앙로","일반상업","기타","25m미만","209.61"," ","50,000","null","202012","6"," ","1992",""
"경상남도 거제시 고현동","집합","9**","중곡1로","제2종일반주거","제2종근린생활","12m미만","132.08"," ","28,800","1","202012","22"," ","2002",""
"경상남도 거제시 고현동","집합","9**","중곡1로","제2종일반주거","제2종근린생활","12m미만","272.25"," ","31,200","2","202012","22"," ","2002",""
"경상남도 거제시 고현동","집합","9**","중곡1로","제2종일반주거","제2종근린생활","12m미만","65.41"," ","14,400","1","202012","22"," ","2002",""
"경상남도 거제시 고현동","집합","9**","중곡1로","제2종일반주거","제2종근린생활","12m미만","65.41"," ","14,400","1","202012","22"," ","2002",""
"경상남도 거제시 고현동","집합","1***","중곡로2길","제2종일반주거","제2종근린생활","25m미만","40.8"," ","14,900","1","202101","6"," ","2004",""
"경상남도 거제시 고현동","집합","1***","중곡로2길","제2종일반주거","제2종근린생활","25m미만","60.8"," ","6,300","2","202101","27"," ","1997",""
"경상남도 거제시 고현동","집합","1***","중곡로2길","제2종일반주거","제1종근린생활","25m미만","40.8"," ","14,500","1","202102","2"," ","2004",""
"경상남도 거제시 고현동","집합","1***","중곡로","제2종일반주거","교육연구","25m미만","238.58"," ","45,000","null","202102","15"," ","1997",""
"경상남도 거제시 고현동","집합","1***","중곡로","제2종일반주거","교육연구","25m미만","233.63"," ","45,000","null","202102","15"," ","1997",""
"경상남도 거제시 고현동","일반","1***","중곡1로","준주거","제2종근린생활","25m미만","259.8","439.90","133,000","null","202102","22"," ","2014",""
