"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"경상남도 거제시 거제면 서정리","737","0737","0000","흥진주택","53.88","66.25","202012","2","5,150","3","1987","읍내로13길 33-2",""
"경상남도 거제시 고현동","822-18","0822","0018","계룡(B)","49.395","46","202004","13","6,000","1","1983","고현로 85-2",""
"경상남도 거제시 고현동","961-115","0961","0115","고려빌라","65.88","86.9","202012","28","10,050","3","1985","서문로6길 16",""
"경상남도 거제시 고현동","44-1","0044","0001","고현연립(44-1)","51.24","36.26","202005","11","3,500","1","1982","거제중앙로20길 13",""
"경상남도 거제시 고현동","427","0427","0000","국민주택(1동)","47.61","78.28","202003","25","5,500","1","1984","거제중앙로8길 9",""
"경상남도 거제시 고현동","427","0427","0000","국민주택(1동)","47.61","78.28","202101","11","5,000","1","1984","거제중앙로8길 9",""
"경상남도 거제시 고현동","427","0427","0000","국민주택(1동)","47.61","78.28","202101","20","5,700","3","1984","거제중앙로8길 9",""
"경상남도 거제시 고현동","756-5","0756","0005","대일(1)","34.92","37.58","202005","12","6,000","2","1982","고현로4길 5",""
"경상남도 거제시 고현동","756-5","0756","0005","대일(1)","34.92","37.58","202012","3","3,000","3","1982","고현로4길 5",""
"경상남도 거제시 고현동","756-5","0756","0005","대일(1)","34.92","37.62","202012","5","5,000","1","1982","고현로4길 5",""
"경상남도 거제시 고현동","756-5","0756","0005","대일(1)","34.92","37.58","202012","5","5,000","2","1982","고현로4길 5",""
"경상남도 거제시 고현동","755-29","0755","0029","대일(2)","34.92","37.91","202004","22","4,500","2","1982","고현로4길 5",""
"경상남도 거제시 고현동","748-1","0748","0001","덕산(가)","59.76","53.05","202102","18","5,750","1","1983","거제중앙로19길 29",""
"경상남도 거제시 고현동","91","0091","0000","동해맨션","61.78","54","202006","2","5,000","1","1984","거제중앙로20길 12",""
"경상남도 거제시 고현동","418-6","0418","0006","방주5차전원빌라","75.38","53.38","202007","9","7,500","2","2001","계룡로2길 63",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","59.92","109.7","202003","30","7,600","2","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","84.92","150.54","202007","15","13,950","3","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","59.92","109.7","202008","24","8,300","1","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","76.57","136.9","202010","15","10,100","1","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","84.92","150.54","202011","17","12,500","4","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","59.92","109.7","202011","30","8,100","3","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","84.92","150.54","202011","30","12,600","2","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","76.57","136.9","202012","8","11,500","2","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","84.92","150.54","202101","16","13,000","2","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","84.92","150.54","202102","23","15,500","1","2000","계룡로11길 17-17",""
"경상남도 거제시 고현동","855-3","0855","0003","서린","43.02","44","202008","7","6,500","3","1982","거제중앙로25길 47-5",""
"경상남도 거제시 고현동","987-10","0987","0010","세림주택","80.37","48.24","202012","22","8,400","4","2002","중곡1로 90-1",""
"경상남도 거제시 고현동","987-10","0987","0010","세림주택","47.7","31.19","202012","22","4,800","3","2002","중곡1로 90-1",""
"경상남도 거제시 고현동","987-10","0987","0010","세림주택","47.7","31.19","202012","22","4,800","3","2002","중곡1로 90-1",""
"경상남도 거제시 고현동","987-10","0987","0010","세림주택","27.54","18","202012","22","3,600","3","2002","중곡1로 90-1",""
"경상남도 거제시 고현동","987-10","0987","0010","세림주택","47.7","31.19","202012","22","4,800","3","2002","중곡1로 90-1",""
"경상남도 거제시 고현동","987-10","0987","0010","세림주택","47.7","31.19","202012","22","4,800","3","2002","중곡1로 90-1",""
"경상남도 거제시 고현동","1087","1087","0000","신원아침도시헤리티지(203동)","93.1","79.53","202101","13","26,000","4","2014","계룡로9길 21-3",""
"경상남도 거제시 고현동","1087","1087","0000","신원아침도시헤리티지(203동)","93.1","79.53","202102","6","26,500","4","2014","계룡로9길 21-3",""
"경상남도 거제시 고현동","134-1","0134","0001","신현맨션(나)","63.51","52","202010","12","7,600","3","1984","고현로4길 40",""
"경상남도 거제시 고현동","826-10","0826","0010","연합빌라(2)","75.48","54.13","202011","23","9,500","1","1996","고현로 73-8",""
"경상남도 거제시 고현동","835-2","0835","0002","연합빌라(A,B)","77.13","59.7","202011","7","10,500","2","1998","고현로 73-8",""
"경상남도 거제시 고현동","826-5","0826","0005","연합빌라(가,나)","81.6","61.42","202009","27","9,500","4","1996","고현로 73-8",""
"경상남도 거제시 고현동","693-3","0693","0003","창조(A)","28.2","21","202007","1","1,900","3","1982","거제중앙로15길 18",""
"경상남도 거제시 고현동","44-33","0044","0033","한화원룸","25.94","10.94","202007","27","3,000","3","2003","고현로10길 9-1",""
"경상남도 거제시 남부면 갈곶리","98-9","0098","0009","(98-9)","41.62","52.67","202012","20","6,300","3","2016","해금강로 267-2",""
"경상남도 거제시 남부면 갈곶리","98-9","0098","0009","(98-9)","41.62","52.67","202012","20","6,300","3","2016","해금강로 267-2",""
"경상남도 거제시 능포동","220-1","0220","0001","능포국민주택","56.52","41","202012","24","4,300","2","1985","능포로4길 20-7",""
"경상남도 거제시 능포동","220-1","0220","0001","능포국민주택","56.52","40","202101","14","3,000","3","1985","능포로4길 20-7",""
"경상남도 거제시 능포동","220-1","0220","0001","능포국민주택","56.52","41","202101","25","5,500","1","1985","능포로4길 20-7","20210310"
"경상남도 거제시 능포동","220-1","0220","0001","능포국민주택","55.71","40","202102","24","4,000","3","1985","능포로4길 20-7",""
"경상남도 거제시 능포동","497-8","0497","0008","대선","41.76","32.78","202003","31","2,500","2","1984","능포로9길 4",""
"경상남도 거제시 능포동","497-8","0497","0008","대선","53.07","41.66","202012","18","4,000","3","1984","능포로9길 4",""
"경상남도 거제시 능포동","497-8","0497","0008","대선","41.76","33.2","202102","27","2,350","1","1984","능포로9길 4",""
"경상남도 거제시 능포동","469","0469","0000","동백빌라","108.3","148.63","202011","19","9,500","1","1994","능포로10길 10",""
"경상남도 거제시 능포동","321-1","0321","0001","복지","46.28","41.38","202012","4","2,000","3","1982","능포로6길 39-18",""
"경상남도 거제시 능포동","711","0711","0000","소라파크","51.202","39","202007","31","4,000","1","1983","옥수로1길 5",""
"경상남도 거제시 능포동","275-1","0275","0001","아름빌라","60.93","42.78","202003","25","4,000","2","1994","능포로6길 42",""
"경상남도 거제시 능포동","275-1","0275","0001","아름빌라","60.93","42.78","202005","29","3,700","2","1994","능포로6길 42",""
"경상남도 거제시 덕포동","41","0041","0000","더베이사이드비치","177.101","261.08","202006","27","45,500","3","2013","옥포대첩로 472",""
"경상남도 거제시 덕포동","4-9","0004","0009","씨사이드힐","129.04","207","202102","25","50,000","3","2015","옥포대첩로 442-14",""
"경상남도 거제시 덕포동","4-9","0004","0009","씨사이드힐","129.04","207","202102","25","22,500","1","2015","옥포대첩로 442-14",""
"경상남도 거제시 덕포동","4-9","0004","0009","씨사이드힐","129.04","207","202102","25","55,000","4","2015","옥포대첩로 442-14",""
"경상남도 거제시 덕포동","4-9","0004","0009","씨사이드힐","129.04","207","202102","25","22,500","2","2015","옥포대첩로 442-14",""
"경상남도 거제시 두모동","480-3","0480","0003","초원빌라103동","77.53","48.03","202101","5","5,000","2","2000","두모길 27",""
"경상남도 거제시 둔덕면 하둔리","362","0362","0000","레바다빌","58.97","92.1","202009","2","11,500","3","2016","하둔길 19",""
"경상남도 거제시 둔덕면 하둔리","362","0362","0000","레바다빌","49.92","77.97","202009","2","6,000","1","2016","하둔길 19",""
"경상남도 거제시 둔덕면 하둔리","362","0362","0000","레바다빌","56.87","88.81","202009","2","10,500","2","2016","하둔길 19",""
"경상남도 거제시 둔덕면 하둔리","362","0362","0000","레바다빌","58.97","92.1","202009","2","11,000","4","2016","하둔길 19",""
"경상남도 거제시 둔덕면 하둔리","362","0362","0000","레바다빌","58.97","92.1","202009","2","10,500","2","2016","하둔길 19",""
"경상남도 거제시 둔덕면 하둔리","362","0362","0000","레바다빌","56.87","88.81","202009","2","11,500","3","2016","하둔길 19",""
"경상남도 거제시 사등면 덕호리","107-6","0107","0006","동주주택가동나동","46.73","36.34","202102","8","4,500","2","1996","거제남서로 5333-7",""
"경상남도 거제시 사등면 성포리","207-3","0207","0003","대성루첸하우스 103,104동","45.88","59.29","202005","7","6,510","1","2013","거제대로 5697-5",""
"경상남도 거제시 사등면 성포리","207-3","0207","0003","대성루첸하우스 103,104동","59.86","77.35","202011","16","10,500","4","2013","거제대로 5697-5",""
"경상남도 거제시 사등면 성포리","356","0356","0000","미래미라지","84.97","117.85","202004","1","27,000","3","2016","성포로 124",""
"경상남도 거제시 사등면 성포리","356","0356","0000","미래미라지","84.97","117.85","202006","2","22,000","3","2016","성포로 124",""
"경상남도 거제시 사등면 성포리","356","0356","0000","미래미라지","84.97","117.85","202006","2","22,000","2","2016","성포로 124",""
"경상남도 거제시 사등면 성포리","356","0356","0000","미래미라지","84.97","117.85","202007","13","28,200","3","2016","성포로 124",""
