"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"경상남도 거제시 거제면 남동리","145-5","0145","0005","이로움A동","월세","72.3133","202010","15","500","38","2","2017","기성로2길 21"
"경상남도 거제시 거제면 남동리","143","0143","0000","이로움B동","월세","63.2196","202003","1","1,000","33","2","2017","기성로2길 19"
"경상남도 거제시 거제면 동상리","616-19","0616","0019","동원리치원룸","월세","35.175","202005","2","200","20","4","2003","동상명진길 10-1"
"경상남도 거제시 거제면 동상리","649-3","0649","0003","사랑해요비앤비","전세","56.26","202102","22","8,000","0","1","2013","동상3길 20"
"경상남도 거제시 고현동","44-1","0044","0001","고현연립(44-1)","월세","51.23","202007","20","500","20","2","1982","거제중앙로20길 13"
"경상남도 거제시 고현동","427","0427","0000","국민주택(1동)","전세","47.61","202009","22","3,500","0","3","1984","거제중앙로8길 9"
"경상남도 거제시 고현동","91","0091","0000","동해맨션","월세","61.78","202012","30","100","20","1","1984","거제중앙로20길 12"
"경상남도 거제시 고현동","418-6","0418","0006","방주5차전원빌라","월세","75.38","202005","19","500","35","3","2001","계룡로2길 63"
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","전세","59.92","202002","29","7,000","0","1","2000","계룡로11길 17-17"
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","월세","84.92","202003","21","500","45","4","2000","계룡로11길 17-17"
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","월세","84.92","202003","23","500","40","3","2000","계룡로11길 17-17"
"경상남도 거제시 고현동","540","0540","0000","삼성하이츠빌라","월세","59.92","202005","16","1,000","30","4","2000","계룡로11길 17-17"
