"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"경상남도 거제시 고현동","640-2","0640","0002","	(640-2)	","월세","21.25","202012","1","50","15","3","2007","계룡로 150-1"
"경상남도 거제시 고현동","978-10","0978","0010","고현동 주상복합","전세","34.32","202003","19","7,000","0","12","2012","거제중앙로 1930-10"
"경상남도 거제시 고현동","978-10","0978","0010","고현동 주상복합","월세","34.75","202003","23","300","40","11","2012","거제중앙로 1930-10"
"경상남도 거제시 고현동","978-10","0978","0010","고현동 주상복합","월세","29.53","202004","6","500","30","5","2012","거제중앙로 1930-10"
"경상남도 거제시 고현동","978-10","0978","0010","고현동 주상복합","월세","30.52","202007","28","300","35","15","2012","거제중앙로 1930-10"
"경상남도 거제시 고현동","978-10","0978","0010","고현동 주상복합","월세","36.93","202007","30","500","35","12","2012","거제중앙로 1930-10"
"경상남도 거제시 고현동","978-10","0978","0010","고현동 주상복합","월세","36.93","202009","5","500","43","5","2012","거제중앙로 1930-10"
"경상남도 거제시 고현동","978-10","0978","0010","고현동 주상복합","월세","36.93","202010","11","500","35","13","2012","거제중앙로 1930-10"
"경상남도 거제시 고현동","978-10","0978","0010","고현동 주상복합","전세","36.53","202011","7","7,500","0","6","2012","거제중앙로 1930-10"
"경상남도 거제시 고현동","978-10","0978","0010","고현동 주상복합","전세","34.32","202101","7","7,500","0","12","2012","거제중앙로 1930-10"
"경상남도 거제시 고현동","978-10","0978","0010","고현동 주상복합","전세","36.93","202102","18","8,000","0","9","2012","거제중앙로 1930-10"
"경상남도 거제시 고현동","978-10","0978","0010","고현동 주상복합","전세","34.32","202102","26","7,000","0","15","2012","거제중앙로 1930-10"
"경상남도 거제시 고현동","113-1","0113","0001","나인스카이시티","월세","30.33","202003","19","200","20","6","2005","거제중앙로17길 10"
"경상남도 거제시 고현동","113-1","0113","0001","나인스카이시티","월세","34.38","202003","23","200","25","7","2005","거제중앙로17길 10"
"경상남도 거제시 고현동","113-1","0113","0001","나인스카이시티","월세","34.68","202005","7","200","23","10","2005","거제중앙로17길 10"
"경상남도 거제시 고현동","113-1","0113","0001","나인스카이시티","전세","34.68","202007","14","3,500","0","7","2005","거제중앙로17길 10"
"경상남도 거제시 고현동","113-1","0113","0001","나인스카이시티","월세","30.33","202007","28","1,000","20","5","2005","거제중앙로17길 10"
"경상남도 거제시 고현동","113-1","0113","0001","나인스카이시티","월세","30.33","202009","15","100","18","3","2005","거제중앙로17길 10"
"경상남도 거제시 고현동","113-1","0113","0001","나인스카이시티","월세","30.33","202011","2","200","20","8","2005","거제중앙로17길 10"
"경상남도 거제시 고현동","630","0630","0000","동안오피스텔","전세","43.2","202007","27","5,500","0","4","2000","거제중앙로15길 31-6"
"경상남도 거제시 고현동","190-1","0190","0001","세웅렌트빌","월세","20.52","202005","5","200","17","2","2001","동문천로 36-1"
"경상남도 거제시 고현동","211-1","0211","0001","에스엠빌","월세","46.65","202005","22","200","20","4","2004","동문1길 6"
"경상남도 거제시 고현동","81-3","0081","0003","영진오피스텔","월세","31.64","202006","30","100","10","5","2000","거제중앙로16길 17"
"경상남도 거제시 고현동","41-8","0041","0008","중앙빌딩","월세","32.4","202004","8","200","18","3","1998","고현로 117"
"경상남도 거제시 고현동","41-8","0041","0008","중앙빌딩","월세","15.75","202005","20","20","15","1","1998","고현로 117"
"경상남도 거제시 고현동","159-1","0159","0001","휴엔하임오피스텔","월세","24.89","202003","5","300","30","4","2015"," "
"경상남도 거제시 고현동","159-1","0159","0001","휴엔하임오피스텔","월세","76.08","202003","6","500","45","4","2015"," "
"경상남도 거제시 고현동","159-1","0159","0001","휴엔하임오피스텔","월세","65.03","202003","11","500","45","7","2015"," "
"경상남도 거제시 고현동","159-1","0159","0001","휴엔하임오피스텔","월세","76.08","202003","21","500","45","8","2015"," "
"경상남도 거제시 고현동","159-1","0159","0001","휴엔하임오피스텔","월세","65.03","202003","27","1,000","40","7","2015"," "
"경상남도 거제시 고현동","159-1","0159","0001","휴엔하임오피스텔","월세","76.08","202004","6","1,500","45","12","2015"," "
"경상남도 거제시 고현동","159-1","0159","0001","휴엔하임오피스텔","월세","76.08","202004","27","1,000","40","6","2015"," "
