"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 경상북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"경상북도 경산시 갑제동","5**","단독","8m미만","116.38","395","202012","4","41,500","2019","갑제마을8길",""
"경상북도 경산시 갑제동","5**","단독","8m미만","116.38","395","202010","26","41,500","2019","갑제마을8길","20201204"
"경상북도 경산시 갑제동","5**","단독","8m미만","116.38","403","202010","26","41,000","2019","갑제마을8길",""
"경상북도 경산시 갑제동","5**","단독","8m미만","116.38","420","202011","10","40,000","2018","갑제마을8길",""
"경상북도 경산시 갑제동","5**","단독","8m미만","144.93","728","202006","3","75,000","2017","화랑로8길","20200702"
"경상북도 경산시 갑제동","5**","단독","8m미만","144.93","728","202005","31","75,000","2017","화랑로8길",""
"경상북도 경산시 계양동","6**","다가구","12m미만","146.62","128.6","202004","16","18,400","1996","계양로8길",""
"경상북도 경산시 계양동","6**","다가구","8m미만","230.41","140.3","202011","21","23,500","1995","원효로26길",""
"경상북도 경산시 계양동","2**","다가구","8m미만","183.78","160","202007","25","28,500","1983","대학로42길",""
"경상북도 경산시 계양동","1**","다가구","8m미만","369.72","191","202007","28","58,500","2010","계양로35길",""
"경상북도 경산시 계양동","7**","다가구","25m미만","388.25","199.1","202004","25","118,500","2019","남매공원로1길",""
"경상북도 경산시 계양동","8**","다가구","25m미만","398.93","203.3","202010","27","137,500","2020","남매공원로2길",""
"경상북도 경산시 계양동","7**","다가구","25m미만","398.46","211.4","202009","8","136,000","2018","남매공원로3길",""
"경상북도 경산시 계양동","6**","다가구","12m미만","616.74","294.3","202005","26","90,000","2016","원효로28길",""
"경상북도 경산시 계양동","6**","다가구","12m미만","567.34","332.4","202004","13","114,170","2020","원효로26길",""
"경상북도 경산시 계양동","6**","다가구","12m미만","478.14","337.1","202012","15","41,600","2009","장산로50길",""
"경상북도 경산시 계양동","6**","다가구","12m미만","726.3","536.2","202012","29","162,489","2020","원효로26길",""
"경상북도 경산시 계양동","6**","단독","12m미만","161.64","145.9","202003","15","16,500","1996","장산로50길",""
"경상북도 경산시 계양동","6**","단독","8m미만","171","148.8","202004","23","19,000","1995","원효로26길",""
"경상북도 경산시 계양동","2**","단독","8m미만","97.59","167","202005","30","31,000","1982","대학로42길",""
"경상북도 경산시 계양동","2**","단독","8m미만","77.49","171","202012","7","53,000","1983","대학로42길","20210316"
"경상북도 경산시 계양동","2**","단독","8m미만","117.24","174","202005","10","25,000","1982","대학로42길",""
"경상북도 경산시 계양동","2**","단독","8m미만","82.2","190","202009","14","29,500","1979","계양로37길",""
"경상북도 경산시 계양동","6*","단독","25m미만","64.96","377","202101","20","89,500","2014","중방로",""
"경상북도 경산시 남방동","2**","단독","8m미만","85.09","218","202006","26","7,200","2001","어봉지길",""
"경상북도 경산시 남방동","2**","단독","8m미만","21.32","225","202010","22","11,500","1941","남방길",""
"경상북도 경산시 남방동","2**","단독","8m미만","238.64","319","202006","29","26,000","2000","진등길",""
"경상북도 경산시 남산면 갈지리","1**","단독","25m미만","35","256","202102","2","7,500","1987","갈지로",""
"경상북도 경산시 남산면 갈지리","2**","단독","25m미만","376.64","479","202006","17","25,000","1994","갈지로",""
"경상북도 경산시 남산면 경리","5**","단독","8m미만","169.74","331","202007","7","38,000","2016","하남로",""
"경상북도 경산시 남산면 경리","6**","단독","8m미만","66.15","429","202005","28","11,000","2012","경리길8길",""
"경상북도 경산시 남산면 반곡리","2**","단독","8m미만","85.07","264","202005","11","9,000","2004","성지길",""
"경상북도 경산시 남산면 반곡리","3**","단독","8m미만","61.07","294","202003","27","11,000","2001","성지길",""
"경상북도 경산시 남산면 반곡리","2**","단독","8m미만","137.33","504","202010","30","38,800","2018","반지길",""
"경상북도 경산시 남산면 사월리","5**","단독","8m미만","53.04","318","202005","27","16,800","1988","사월2길",""
"경상북도 경산시 남산면 사월리","1**","단독","8m미만","160.97","412","202101","15","30,500","2017","서원길",""
"경상북도 경산시 남산면 산양리","1**","단독","8m미만","59.5","240","202010","16","12,500","1979","산양2길",""
"경상북도 경산시 남산면 산양리","2*","단독","8m미만","71.38","276","202005","30","22,500","2015","하남로",""
"경상북도 경산시 남산면 산양리","*","단독","8m미만","98.82","356","202003","9","12,250","2002","하남로",""
"경상북도 경산시 남산면 상대리","6**","단독","8m미만","144.22","364","202006","22","43,500","2020","상대로116길",""
"경상북도 경산시 남산면 상대리","2**","단독","8m미만","148.07","392","202010","25","38,000","2018","상대마루1길",""
"경상북도 경산시 남산면 상대리","2**","단독","8m미만","148.07","392","202010","25","38,500","2018","상대마루1길","20201117"
"경상북도 경산시 남산면 상대리","6**","단독","8m미만","139.56","401","202008","5","42,500","2020","상대로116길",""
"경상북도 경산시 남산면 상대리","8*","단독","8m미만","229.15","603","202007","13","77,000","2017","상대마루1길",""
"경상북도 경산시 남산면 송내리","1**","단독","8m미만","101.79","268","202003","3","7,000","1991","송내길",""
"경상북도 경산시 남산면 안심리","3**","단독","8m미만","42.7","177","202007","22","8,286","2015","안심길",""
"경상북도 경산시 남산면 안심리","2**","단독","8m미만","27","268","202009","18","10,000","2017","안심1길",""
"경상북도 경산시 남산면 안심리","2**","단독","8m미만","62.8","331","202009","18","5,200","1930","안심1길",""
"경상북도 경산시 남산면 안심리","1**","단독","12m미만","152.43","692","202101","29","20,900","2011","성산로",""
"경상북도 경산시 남산면 연하리","*","단독","12m미만","144.94","465","202004","28","35,600","2019","우검길",""
"경상북도 경산시 남산면 연하리","*","단독","8m미만","150.36","468","202004","30","36,200","2019","우검길",""
"경상북도 경산시 남산면 우검리","2**","단독","8m미만","98.36","462","202008","8","35,800","2016","대왕로",""
"경상북도 경산시 남산면 우검리","2**","단독","8m미만","117.22","480","202101","20","34,000","2020","대왕로",""
"경상북도 경산시 남산면 인흥리","5*","단독","8m미만","71.4","215","202007","27","15,700","2015","인흥길","20200826"
"경상북도 경산시 남산면 인흥리","5*","단독","8m미만","71.4","215","202007","27","15,700","2015","인흥길",""
"경상북도 경산시 남산면 인흥리","2*","단독","8m미만","41.2","311","202008","28","6,150","1925","인흥1길",""
"경상북도 경산시 남산면 인흥리","1**","단독","8m미만","85.25","427","202004","21","18,300","1983","인흥2길",""
"경상북도 경산시 남산면 전지리","*","단독","8m미만","198.09","634","202101","23","49,700","2001","프라임밸리길",""
"경상북도 경산시 남산면 전지리","*","단독","8m미만","198.09","634","202004","24","41,000","2001","프라임밸리길","20200429"
"경상북도 경산시 남산면 전지리","*","단독","8m미만","198.09","634","202004","24","40,700","2001","프라임밸리길",""
"경상북도 경산시 남산면 전지리","*","단독","8m미만","198.09","650","202012","26","40,000","2001","프라임밸리길",""
"경상북도 경산시 남산면 전지리","*","단독","8m미만","198.09","650","202012","26","40,000","2001","프라임밸리길","20210209"
"경상북도 경산시 남산면 전지리","*","단독","8m미만","198.09","657","202101","26","49,700","2001","프라임밸리길",""
"경상북도 경산시 남산면 조곡리","2**","단독","8m미만","40.9","268","202012","18","6,100","1907","조곡길",""
"경상북도 경산시 남산면 조곡리","2**","단독","8m미만","69.75","672","202003","25","13,800","1999","조곡길",""
"경상북도 경산시 남산면 하대리","1**","단독","8m미만","41.4","83","202102","9","5,221","1983","상대로",""
"경상북도 경산시 남산면 하대리","5**","단독","8m미만","45","494","202005","6","17,000","1946","하대1길",""
"경상북도 경산시 남천면 대명리","1**","단독","8m미만","140.67","304","202011","1","25,800","1962","대명길17길",""
"경상북도 경산시 남천면 대명리","2**","단독","8m미만","99.66","350","202011","5","14,600","2007","대명길",""
"경상북도 경산시 남천면 산전리","2**","단독","8m미만","196.32","360","202005","23","24,570","2008","금성산길",""
"경상북도 경산시 남천면 삼성리","9**","단독","8m미만","43.35","223.3","202101","5","13,300","2013","문화마을2길",""
"경상북도 경산시 남천면 삼성리","9**","단독","8m미만","98.14","314.7","202006","9","24,500","2013","문화마을1길","20200813"
"경상북도 경산시 남천면 삼성리","9**","단독","8m미만","98.14","314.7","202006","9","24,500","2013","문화마을1길",""
"경상북도 경산시 남천면 삼성리","9**","단독","8m미만","78.55","392.9","202005","20","22,500","2013","문화마을1길",""
"경상북도 경산시 남천면 삼성리","7**","단독","8m미만","67.88","479","202005","12","15,500","2001","삼성역길",""
"경상북도 경산시 남천면 삼성리","3*","단독","8m미만","97.27","592","202003","13","26,000","1985","남천로",""
"경상북도 경산시 남천면 삼성리","3**","단독","8m미만","217.49","608","202012","1","15,000","1965","연화길",""
"경상북도 경산시 남천면 삼성리","5**","단독","8m미만","54","767","202006","5","8,000","2001","삼성역길",""
"경상북도 경산시 남천면 송백리","3*","단독","12m미만","189.06","408","202102","15","19,500","1995","상대로",""
"경상북도 경산시 남천면 신방리","5*","단독","8m미만","81.81","580","202003","25","18,800","2017","관방로",""
"경상북도 경산시 남천면 신방리","5*","단독","8m미만","81.81","712","202010","28","24,250","2017","관방로",""
"경상북도 경산시 남천면 원리","2**","다가구","8m미만","425.2","3477","202008","13","153,107","2018","남천로",""
"경상북도 경산시 남천면 하도리","6**","단독","8m미만","97.74","164.42","202101","8","14,000","1993","하도로",""
"경상북도 경산시 남천면 협석리","4**","단독","8m미만","170.74","347","202010","14","22,500","1983","협석1길",""
"경상북도 경산시 남천면 협석리","1**","단독","8m미만","61.64","422","202006","22","13,000","1980","협석길",""
"경상북도 경산시 남천면 흥산리","2**","단독","8m미만","94.16","482","202009","22","30,000","2011","흥산길",""
"경상북도 경산시 대동","2*","다가구","8m미만","624.3","250","202011","8","75,000","2004","대학로59길",""
"경상북도 경산시 대동","1**","다가구","8m미만","619.04","305","202009","2","127,800","2007","대학로53길",""
"경상북도 경산시 대평동","4**","다가구","12m미만","385.28","233.7","202004","25","55,000","2008","경안로67길",""
"경상북도 경산시 대평동","4**","다가구","12m미만","386.7","258.4","202007","5","70,000","2005","경안로67길",""
"경상북도 경산시 백천동","5**","다가구","25m미만","318.14","212.4","202004","21","54,500","2007","경청로217길",""
"경상북도 경산시 백천동","5**","다가구","12m미만","351.22","223.2","202008","13","35,000","2007","경청로217길",""
"경상북도 경산시 백천동","5**","다가구","12m미만","333.41","226","202007","5","62,100","2008","경청로218길",""
"경상북도 경산시 백천동","5**","다가구","25m미만","350.86","235","202012","30","65,500","2006","경청로219길",""
"경상북도 경산시 백천동","5**","다가구","12m미만","359.8","241.3","202011","25","54,500","2007","경청로219길","20210224"
"경상북도 경산시 백천동","5**","다가구","12m미만","359.8","241.3","202011","25","54,500","2007","경청로219길",""
"경상북도 경산시 백천동","5**","다가구","25m미만","398.72","268.3","202011","9","75,000","2008","백천동로",""
"경상북도 경산시 백천동","5**","단독","12m미만","323.03","216.4","202011","25","36,000","2006","경청로217길",""
"경상북도 경산시 사동","5**","다가구","8m미만","170.46","162.7","202003","26","26,500","1992","계양로16길",""
