"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경상북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명"
"경상북도 경산시 갑제동","2**","8m미만","23.14","전세","202101","23","3,500","0","2011","갑제길"
"경상북도 경산시 갑제동","2**","8m미만","39.66","월세","202009","22","200","34","2011","갑제길"
"경상북도 경산시 계양동","2**","8m미만","10","월세","202009","7","1,000","15","1995","대학로44길"
"경상북도 경산시 계양동","1**","8m미만","10","전세","202006","8","2,500","0","2008","계양로35길"
"경상북도 경산시 계양동","1**","8m미만","18.15","전세","202006","8","3,000","0","2008","계양로35길"
"경상북도 경산시 계양동","6**","12m미만","20","월세","202003","20","100","13","1997","원효로26길"
"경상북도 경산시 계양동","1**","8m미만","20","전세","202102","3","4,000","0","2008","계양로35길"
"경상북도 경산시 계양동","6**","25m미만","21","월세","202101","16","300","35","2016","장산로"
"경상북도 경산시 계양동","6**","12m미만","21","월세","202101","23","300","33","2015","원효로22길"
"경상북도 경산시 계양동","1**","8m미만","22","전세","202008","17","4,000","0","2008","계양로35길"
"경상북도 경산시 계양동","6**","12m미만","25","전세","202005","1","1,500","0","2009","계양로8길"
"경상북도 경산시 계양동","1**","8m미만","25","전세","202008","15","3,000","0","2008","계양로35길"
"경상북도 경산시 계양동","6**","12m미만","25.5","월세","202004","1","100","23","2009","계양로8길"
"경상북도 경산시 계양동","6**","12m미만","25.5","월세","202102","1","200","25","2011","원효로26길"
"경상북도 경산시 계양동","6**","-","25.5","월세","202008","19","300","44","2002","null"
"경상북도 경산시 계양동","1**","8m미만","25.5","월세","202012","29","200","45","2018","계양로37길"
"경상북도 경산시 계양동","1**","8m미만","25.5","월세","202007","30","200","40","2018","계양로37길"
"경상북도 경산시 계양동","7*","8m미만","25.93","월세","202008","28","100","29","2015","계양로37길"
"경상북도 경산시 계양동","1**","8m미만","26.44","전세","202012","31","3,600","0","2008","계양로35길"
"경상북도 경산시 계양동","6**","12m미만","29.75","월세","202101","6","2,000","18","2015","원효로28길"
"경상북도 경산시 계양동","6**","12m미만","29.75","월세","202101","7","2,000","18","2015","원효로28길"
"경상북도 경산시 계양동","2**","25m미만","30","월세","202004","3","100","28","2016","중방로"
"경상북도 경산시 계양동","6**","8m미만","30","월세","202007","3","5,500","5","2019","원효로26길"
"경상북도 경산시 계양동","6**","12m미만","30","월세","202008","26","2,000","20","2015","원효로28길"
"경상북도 경산시 계양동","2**","12m미만","30","월세","202005","31","200","30","2017","대학로44길"
"경상북도 경산시 계양동","6**","8m미만","30.5","전세","202102","6","4,000","0","2008","원효로22길"
"경상북도 경산시 계양동","6**","25m미만","32","전세","202007","28","5,000","0","2018","장산로"
"경상북도 경산시 계양동","6**","12m미만","33","월세","202007","9","100","28","2011","원효로28길"
"경상북도 경산시 계양동","6**","12m미만","33","월세","202005","15","100","32","2015","원효로28길"
"경상북도 경산시 계양동","6**","25m미만","33","월세","202008","25","2,000","25","2016","장산로"
"경상북도 경산시 계양동","6**","12m미만","33","전세","202009","5","500","0","2018","원효로26길"
"경상북도 경산시 계양동","6**","25m미만","35","전세","202102","1","5,000","0","2016","장산로"
"경상북도 경산시 계양동","6**","25m미만","35","전세","202101","29","5,000","0","2018","장산로"
"경상북도 경산시 계양동","6**","12m미만","35.1","월세","202011","5","200","18","2020","원효로26길"
"경상북도 경산시 계양동","6**","12m미만","35.42","전세","202004","16","8,000","0","2018","원효로26길"
"경상북도 경산시 계양동","6**","12m미만","35.5","월세","202102","8","3,000","20","2018","계양로16길"
"경상북도 경산시 계양동","6**","25m미만","35.5","월세","202102","15","2,500","32","2018","원효로32길"
"경상북도 경산시 계양동","6**","12m미만","35.5","월세","202006","18","300","39","2018","원효로26길"
"경상북도 경산시 계양동","6**","12m미만","35.5","월세","202101","20","200","35","2016","원효로28길"
"경상북도 경산시 계양동","6**","12m미만","35.5","월세","202010","20","300","38","2015","원효로32길"
"경상북도 경산시 계양동","6**","12m미만","38","월세","202003","20","1,000","45","2015","원효로28길"
"경상북도 경산시 계양동","6**","12m미만","38.67","전세","202008","24","6,000","0","2015","원효로28길"
"경상북도 경산시 계양동","6**","12m미만","38.67","전세","202008","24","6,000","0","2015","원효로28길"
"경상북도 경산시 계양동","6**","12m미만","39","월세","202004","15","2,000","25","2017","원효로28길"
"경상북도 경산시 계양동","6**","25m미만","39.26","월세","202102","6","2,000","40","2018","원효로32길"
"경상북도 경산시 계양동","6**","12m미만","39.67","월세","202007","9","1,300","30","2015","원효로28길"
"경상북도 경산시 계양동","6**","12m미만","40","월세","202010","15","1,500","31","2015","원효로28길"
"경상북도 경산시 계양동","6**","12m미만","40","월세","202006","15","3,000","15","2020","원효로26길"
"경상북도 경산시 계양동","2**","12m미만","40","월세","202008","21","300","38","2017","대학로44길"
"경상북도 경산시 계양동","6**","12m미만","40","월세","202012","23","1,500","29","2015","원효로28길"
"경상북도 경산시 계양동","6**","12m미만","40","전세","202006","1","7,000","0","2020","원효로26길"
"경상북도 경산시 계양동","6**","12m미만","40","전세","202006","3","3,500","0","2008","원효로26길"
"경상북도 경산시 계양동","6**","12m미만","40","전세","202006","11","4,000","0","2008","원효로26길"
"경상북도 경산시 계양동","6**","12m미만","40","전세","202005","27","8,000","0","2020","원효로26길"
"경상북도 경산시 계양동","6**","12m미만","40","전세","202005","31","5,000","0","2020","원효로26길"
"경상북도 경산시 계양동","6**","12m미만","40.5","월세","202005","7","4,500","10","2018","계양로16길"
"경상북도 경산시 계양동","6**","12m미만","40.5","월세","202101","9","1,000","35","2008","원효로26길"
"경상북도 경산시 계양동","6**","12m미만","40.66","월세","202009","12","1,000","45","2020","계양로16길"
"경상북도 경산시 계양동","6**","12m미만","40.66","월세","202008","19","1,000","45","2020","계양로16길"
"경상북도 경산시 계양동","6**","12m미만","41.13","월세","202007","30","200","20","1995","원효로22길"
"경상북도 경산시 계양동","6**","12m미만","43.5","월세","202009","9","418","17","null","계양로16길"
"경상북도 경산시 계양동","1**","8m미만","45","전세","202102","25","6,000","0","2004","계양로35길"
"경상북도 경산시 계양동","6**","12m미만","46","월세","202005","26","2,000","15","2015","원효로28길"
"경상북도 경산시 계양동","6**","12m미만","46","전세","202003","9","5,000","0","2015","계양로"
"경상북도 경산시 계양동","6**","12m미만","47.5","월세","202006","26","2,000","35","2020","원효로26길"
"경상북도 경산시 계양동","6**","-","48","전세","202012","28","7,000","0","2016","null"
"경상북도 경산시 계양동","6**","12m미만","48.68","전세","202006","18","7,000","0","2020","원효로26길"
"경상북도 경산시 계양동","6**","8m미만","50","월세","202101","19","3,000","10","1995","원효로26길"
"경상북도 경산시 계양동","6**","25m미만","50","월세","202101","23","2,000","50","2016","장산로"
"경상북도 경산시 계양동","6**","12m미만","50","전세","202011","2","6,500","0","2016","원효로28길"
"경상북도 경산시 계양동","6**","12m미만","50","전세","202006","9","8,000","0","null","계양로16길"
"경상북도 경산시 계양동","6**","12m미만","50","전세","202006","13","8,000","0","null","계양로16길"
"경상북도 경산시 계양동","6**","12m미만","50","전세","202012","16","6,000","0","2016","원효로28길"
"경상북도 경산시 계양동","1**","8m미만","50","전세","202102","24","6,500","0","2008","계양로35길"
"경상북도 경산시 계양동","6**","-","50.04","전세","202006","17","7,000","0","2020","null"
"경상북도 경산시 계양동","6**","12m미만","50.04","전세","202006","17","8,000","0","2020","원효로26길"
"경상북도 경산시 계양동","6**","12m미만","50.5","월세","202012","10","500","45","2016","원효로26길"
"경상북도 경산시 계양동","6**","12m미만","50.5","월세","202102","15","500","42","2016","원효로28길"
"경상북도 경산시 계양동","6**","12m미만","50.5","월세","202101","26","800","35","2017","원효로28길"
"경상북도 경산시 계양동","6**","-","50.5","전세","202102","5","6,000","0","2015","null"
"경상북도 경산시 계양동","6**","12m미만","50.5","전세","202009","17","6,000","0","2009","계양로8길"
"경상북도 경산시 계양동","6**","12m미만","51.14","월세","202010","15","100","21","2020","원효로26길"
"경상북도 경산시 계양동","6**","25m미만","52","전세","202008","10","7,000","0","null","장산로"
"경상북도 경산시 계양동","6**","25m이상","52.8","전세","202003","18","3,000","0","1996","계양로"
"경상북도 경산시 계양동","6**","12m미만","52.84","월세","202101","12","1,000","55","2018","계양로8길"
"경상북도 경산시 계양동","6**","12m미만","55","전세","202005","7","6,000","0","2015","원효로26길"
"경상북도 경산시 계양동","6**","12m미만","55.5","월세","202012","18","3,000","30","2015","원효로28길"
"경상북도 경산시 계양동","6**","12m미만","56","월세","202011","12","1,000","40","2015","원효로28길"
"경상북도 경산시 계양동","6**","12m미만","56","전세","202008","22","8,000","0","2020","계양로16길"
"경상북도 경산시 계양동","6**","12m미만","56.15","월세","202101","14","2,000","50","2015","원효로28길"
"경상북도 경산시 계양동","6**","8m미만","57.39","월세","202005","19","1,000","50","2019","원효로26길"
"경상북도 경산시 계양동","6**","12m미만","59.5","월세","202006","9","5,000","10","2015","원효로28길"
"경상북도 경산시 계양동","6**","25m미만","60","월세","202009","1","7,000","5","2016","장산로"
"경상북도 경산시 계양동","6**","12m미만","60","월세","202004","4","3,000","25","2015","원효로28길"
"경상북도 경산시 계양동","6**","25m미만","62.58","전세","202102","17","4,000","0","1998","장산로"
"경상북도 경산시 계양동","*","-","62.7","전세","202008","20","8,000","0","null","null"
"경상북도 경산시 계양동","6**","8m미만","64","월세","202102","1","500","55","1995","원효로26길"
"경상북도 경산시 계양동","6**","12m미만","68.55","전세","202003","3","6,000","0","1991","계양로16길"
"경상북도 경산시 계양동","6**","12m미만","70","월세","202009","2","9,000","8","2016","원효로26길"
"경상북도 경산시 계양동","6**","12m미만","70","월세","202010","17","10,000","10","2015","원효로22길"
"경상북도 경산시 계양동","1**","8m미만","70","전세","202004","2","8,000","0","2018","계양로35길"
"경상북도 경산시 계양동","7**","25m미만","70","전세","202011","6","20,000","0","2020","남매공원로1길"
"경상북도 경산시 계양동","6**","25m이상","70.26","전세","202010","19","3,000","0","1992","계양로"
"경상북도 경산시 계양동","6**","25m미만","72","전세","202007","6","14,000","0","2018","장산로"
"경상북도 경산시 계양동","6**","-","72.01","전세","202005","23","6,300","0","1996","null"
"경상북도 경산시 계양동","6**","12m미만","73.65","월세","202007","29","714","28","2018","계양로16길"
"경상북도 경산시 계양동","6**","12m미만","74","전세","202010","7","7,000","0","2018","계양로16길"
"경상북도 경산시 계양동","6**","12m미만","75.5","전세","202102","26","7,500","0","2009","장산로50길"
"경상북도 경산시 계양동","6**","12m미만","76.11","전세","202007","17","6,000","0","1996","장산로50길"
"경상북도 경산시 계양동","1**","-","76.32","전세","202006","25","8,000","0","2001","null"
"경상북도 경산시 계양동","6**","12m미만","78","전세","202002","29","8,000","0","2009","장산로50길"
"경상북도 경산시 계양동","6**","12m미만","80","전세","202102","4","10,000","0","2016","원효로32길"
"경상북도 경산시 계양동","2**","25m미만","80.17","월세","202009","12","1,000","40","2016","중방로"
"경상북도 경산시 계양동","7**","25m미만","80.18","전세","202008","10","19,000","0","2020","남매공원로3길"
"경상북도 경산시 계양동","7**","25m미만","80.18","전세","202008","10","20,000","0","2020","남매공원로3길"
"경상북도 경산시 계양동","7**","12m미만","82.77","전세","202007","3","19,000","0","2020","남매공원로2길"
"경상북도 경산시 계양동","7**","12m미만","82.77","전세","202005","6","7,000","0","2020","남매공원로2길"
"경상북도 경산시 계양동","7**","12m미만","82.77","전세","202005","6","19,000","0","2020","남매공원로2길"
"경상북도 경산시 계양동","7**","12m미만","82.77","전세","202004","30","19,000","0","2020","남매공원로2길"
"경상북도 경산시 계양동","7**","12m미만","82.84","월세","202008","26","10,000","50","2020","남매공원로3길"
"경상북도 경산시 계양동","6**","12m미만","83.18","월세","202102","24","2,000","80","2020","계양로16길"
"경상북도 경산시 계양동","7**","12m미만","86.75","전세","202012","1","12,500","0","2018","남매공원로3길"
"경상북도 경산시 계양동","8**","25m미만","95.05","월세","202010","30","1,000","120","2020","남매공원로2길"
"경상북도 경산시 계양동","8**","25m미만","95.05","전세","202012","31","13,000","0","2020","남매공원로2길"
"경상북도 경산시 계양동","7**","25m미만","95.12","월세","202101","18","2,000","60","2018","남매공원로2길"
"경상북도 경산시 계양동","7**","25m미만","97.84","월세","202101","20","2,000","80","2018","남매공원로3길"
"경상북도 경산시 계양동","7**","25m미만","98.41","월세","202011","13","2,000","70","2020","남매공원로1길"
"경상북도 경산시 계양동","7**","25m미만","105.89","월세","202012","6","16,000","15","2018","남매공원로2길"
"경상북도 경산시 계양동","7**","25m미만","120.75","전세","202012","25","20,000","0","2019","남매공원로1길"
"경상북도 경산시 계양동","7**","12m미만","121.81","월세","202102","16","10,000","70","2019","남매공원로2길"
"경상북도 경산시 계양동","6**","12m미만","151.22","월세","202009","24","7,000","10","2016","원효로28길"
"경상북도 경산시 계양동","6**","25m미만","182.52","월세","202004","21","10,000","10","2015","원효로32길"
"경상북도 경산시 계양동","6**","12m미만","190.79","월세","202005","21","3,000","15","2016","원효로32길"
"경상북도 경산시 남산면 반곡리","2**","8m미만","156.84","전세","202003","20","20,000","0","2019","반지길"
"경상북도 경산시 남천면 산전리","9**","8m미만","130","월세","202006","11","1,000","20","null","산전길"
"경상북도 경산시 남천면 삼성리","9**","8m미만","99.46","월세","202009","13","2,000","75","2017","문화마을길"
"경상북도 경산시 남천면 협석리","2**","8m미만","22.6","월세","202004","3","500","25","2003","협석길"
"경상북도 경산시 대동","1*","8m미만","10","월세","202007","20","100","25","2011","청운2로"
"경상북도 경산시 대동","*","8m미만","20","월세","202101","3","50","32","2014","청운2로"
"경상북도 경산시 대동","5*","25m미만","20","월세","202101","12","200","35","2013","대동안길"
"경상북도 경산시 대동","1**","8m미만","20","월세","202102","15","30","34","2014","청운로"
"경상북도 경산시 대동","5*","8m미만","20","월세","202101","20","100","27","2012","대동안길"
"경상북도 경산시 대동","1**","8m미만","20","월세","202101","22","200","36","2017","대학로59길"
"경상북도 경산시 대동","4*","8m미만","20.26","전세","202101","17","4,000","0","2011","대동안길"
"경상북도 경산시 대동","1**","8m미만","20.33","전세","202012","28","5,500","0","2020","청운1로"
"경상북도 경산시 대동","1**","25m미만","21.17","월세","202101","12","200","36","2012","대학로53길"
"경상북도 경산시 대동","2*","8m미만","22","전세","202102","1","4,000","0","2011","대학로59길"
"경상북도 경산시 대동","1**","8m미만","25","월세","202012","3","3,000","25","2020","청운1로"
"경상북도 경산시 대동","1**","8m미만","25","월세","202102","22","70","22","2002","대동안길"
"경상북도 경산시 대동","*","8m미만","25","전세","202010","14","4,500","0","2011","청운2로"
"경상북도 경산시 대동","3*","8m미만","25","전세","202101","15","5,250","0","null","대동안길"
"경상북도 경산시 대동","4*","8m미만","25","전세","202007","30","5,000","0","2011","대동안길"
"경상북도 경산시 대동","1*","25m미만","26.44","전세","202101","12","4,000","0","2011","청운2로"
"경상북도 경산시 대동","1**","8m미만","26.44","전세","202002","29","4,000","0","2008","대학로59길"
"경상북도 경산시 대동","*","25m미만","27","월세","202102","5","2,000","25","2016","청운2로"
"경상북도 경산시 대동","1**","8m미만","27","전세","202011","19","5,500","0","2020","청운1로"
"경상북도 경산시 대동","*","25m미만","28","전세","202007","2","3,500","0","2016","청운2로"
"경상북도 경산시 대동","1**","8m미만","29.07","전세","202012","19","5,000","0","2006","청운1로"
"경상북도 경산시 대동","2*","8m미만","30","전세","202005","23","3,800","0","2011","대학로59길"
"경상북도 경산시 대동","*","8m미만","33","전세","202006","5","3,500","0","2011","청운2로"
"경상북도 경산시 대동","1*","25m미만","38","월세","202002","29","200","32","2003","대학로59길"
"경상북도 경산시 대동","1**","25m미만","39.6","월세","202101","2","400","49","2006","대학로53길"
"경상북도 경산시 대동","3*","8m미만","42.9","전세","202010","20","8,000","0","2012","대동안길"
"경상북도 경산시 대동","1**","8m미만","45","월세","202102","22","5,000","35","2016","청운로"
"경상북도 경산시 대동","2*","8m미만","50","전세","202005","7","7,000","0","2011","대학로59길"
"경상북도 경산시 대동","1**","8m미만","66.1","전세","202005","3","9,000","0","2008","대학로53길"
"경상북도 경산시 대동","3*","8m미만","71.87","전세","202005","23","5,000","0","2011","대학로59길"
"경상북도 경산시 대동","2*","8m미만","85","월세","202007","26","2,000","50","2009","대학로59길"
"경상북도 경산시 대동","2*","8m미만","138","월세","202003","3","100","30","2010","대동안길"
"경상북도 경산시 대평동","4**","12m미만","10","전세","202008","8","7,000","0","2007","경안로67길"
"경상북도 경산시 대평동","4**","12m미만","10","전세","202004","22","5,000","0","2012","경안로67길"
"경상북도 경산시 대평동","4**","12m미만","20","월세","202006","8","2,000","40","2008","경안로67길"
"경상북도 경산시 대평동","4**","25m미만","20","월세","202101","25","500","38","2005","경안로67길"
"경상북도 경산시 대평동","4**","12m미만","25","전세","202008","4","2,000","0","2013","대평길1길"
"경상북도 경산시 대평동","4**","12m미만","25.5","월세","202011","16","100","24","2008","경안로67길"
"경상북도 경산시 대평동","4**","12m미만","27","전세","202010","22","4,000","0","2005","대평길1길"
"경상북도 경산시 대평동","4**","25m미만","30","월세","202012","1","50","20","2013","경안로65길"
"경상북도 경산시 대평동","4**","12m미만","30","전세","202005","8","2,000","0","2011","대평길1길"
"경상북도 경산시 대평동","4**","12m미만","33","전세","202012","19","4,000","0","2005","경안로67길"
"경상북도 경산시 대평동","4**","12m미만","33","전세","202007","24","2,000","0","2011","대평길1길"
"경상북도 경산시 대평동","4**","12m미만","33","전세","202003","28","4,000","0","2005","경안로67길"
"경상북도 경산시 대평동","4**","12m미만","35","월세","202005","13","1,000","44","2009","경안로67길"
"경상북도 경산시 대평동","4**","12m미만","35","전세","202012","4","4,000","0","2005","경안로67길"
"경상북도 경산시 대평동","4**","12m미만","35.5","월세","202004","10","100","24","2005","경안로67길"
"경상북도 경산시 대평동","4**","12m미만","36","월세","202008","20","2,000","15","2013","대평길1길"
"경상북도 경산시 대평동","4**","12m미만","38","전세","202008","29","4,500","0","2011","경안로67길"
"경상북도 경산시 대평동","4**","12m미만","39","전세","202012","23","6,000","0","2014","대평길1길"
"경상북도 경산시 대평동","4**","25m미만","40","월세","202008","21","2,000","30","2011","경안로67길"
"경상북도 경산시 대평동","4**","25m미만","40.5","월세","202003","30","200","38","null","경안로67길"
"경상북도 경산시 대평동","4**","12m미만","45","월세","202006","7","2,000","25","2011","경안로67길"
"경상북도 경산시 대평동","4**","25m미만","45.5","월세","202101","11","300","40","2012","경안로67길"
"경상북도 경산시 대평동","4**","12m미만","46.2","월세","202012","29","500","45","2005","경안로67길"
"경상북도 경산시 대평동","4**","25m미만","48.5","월세","202012","2","1,000","50","2018","경안로67길"
"경상북도 경산시 대평동","4**","12m미만","50.5","월세","202010","6","500","35","2005","대평길1길"
"경상북도 경산시 대평동","4**","12m미만","50.5","월세","202012","9","500","43","2005","경안로67길"
"경상북도 경산시 대평동","4**","12m미만","50.5","월세","202010","26","500","45","2014","대평길"
"경상북도 경산시 대평동","4**","-","54","전세","202010","6","7,000","0","2013","null"
"경상북도 경산시 대평동","4**","12m미만","58.53","월세","202005","5","1,000","50","2015","대평길1길"
"경상북도 경산시 대평동","4**","12m미만","60","전세","202102","11","7,000","0","2013","대평길1길"
"경상북도 경산시 대평동","4**","12m미만","63","월세","202008","9","2,000","40","2005","경안로67길"
"경상북도 경산시 대평동","4**","12m미만","67","전세","202005","31","9,000","0","2016","대평길1길"
"경상북도 경산시 대평동","4**","12m미만","71.5","월세","202101","25","1,000","35","2005","경안로67길"
"경상북도 경산시 대평동","4**","25m미만","88.62","월세","202012","23","1,000","58","2012","경안로67길"
"경상북도 경산시 대평동","4**","25m미만","88.62","월세","202005","29","1,000","55","2012","경안로67길"
"경상북도 경산시 대평동","4**","25m미만","107.91","월세","202004","25","1,500","60","2005","강변동로"
"경상북도 경산시 백천동","5**","12m미만","20","전세","202003","4","3,500","0","2006","경청로219길"
"경상북도 경산시 백천동","5**","-","22","월세","202008","20","200","24","2006","null"
"경상북도 경산시 백천동","5**","12m미만","25","월세","202010","24","300","29","2008","경청로217길"
"경상북도 경산시 백천동","5**","12m미만","25.5","월세","202102","10","200","23","2008","경청로217길"
"경상북도 경산시 백천동","5**","8m미만","25.5","월세","202102","22","1,000","32","2018","경청로213길"
"경상북도 경산시 백천동","5**","12m미만","25.5","월세","202102","23","100","25","2005","경청로219길"
"경상북도 경산시 백천동","5**","12m미만","26.4","전세","202102","15","3,500","0","2013","경청로217길"
"경상북도 경산시 백천동","5**","12m미만","27.35","월세","202008","9","200","24","2008","경청로217길"
"경상북도 경산시 백천동","5**","12m미만","30","월세","202008","17","1,000","36","2006","경청로217길"
"경상북도 경산시 백천동","5**","12m미만","35","전세","202007","11","3,000","0","2008","경청로217길"
"경상북도 경산시 백천동","5**","12m미만","35.72","월세","202003","16","4,000","5","2009","경청로217길"
"경상북도 경산시 백천동","5**","25m미만","40.5","월세","202012","10","300","30","2006","경청로215길"
"경상북도 경산시 백천동","5**","12m미만","42","월세","202102","20","1,000","35","2008","경청로218길"
"경상북도 경산시 백천동","5**","12m미만","45","월세","202008","17","800","30","2006","경청로218길"
"경상북도 경산시 백천동","5**","12m미만","45","월세","202102","19","300","35","2005","백천동로"
"경상북도 경산시 백천동","5**","12m미만","45","전세","202005","17","5,000","0","2014","경청로217길"
"경상북도 경산시 백천동","5**","12m미만","45.5","전세","202004","29","4,500","0","2006","경청로217길"
"경상북도 경산시 백천동","5**","12m미만","45.74","월세","202101","20","500","45","2006","경청로217길"
"경상북도 경산시 백천동","5**","-","50","월세","202004","6","3,500","16","2014","null"
"경상북도 경산시 백천동","5**","25m미만","50.5","월세","202102","23","500","35","2013","경청로217길"
"경상북도 경산시 백천동","5**","25m미만","50.5","전세","202006","3","5,500","0","2012","경청로215길"
"경상북도 경산시 백천동","2**","8m미만","55.95","전세","202005","13","2,000","0","1983","샘골길3길"
"경상북도 경산시 백천동","5**","12m미만","60","월세","202004","11","500","42","2012","경청로218길"
"경상북도 경산시 백천동","5**","12m미만","60","월세","202012","22","8,000","8","2015","백천길"
