"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 경상북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분","해제사유발생일"
"경상북도 경산시 대평동","463","협성휴포레 경산 대평","84.9438","30,275","24","202003","5","분",""
"경상북도 경산시 대평동","463","협성휴포레 경산 대평","84.941","30,200","28","202004","2","분",""
"경상북도 경산시 대평동","463","협성휴포레 경산 대평","84.941","29,300","7","202004","3","분",""
"경상북도 경산시 대평동","463","협성휴포레 경산 대평","84.9438","29,775","26","202004","28","분",""
"경상북도 경산시 대평동","463","협성휴포레 경산 대평","84.941","29,791","18","202005","11","분",""
"경상북도 경산시 대평동","463","협성휴포레 경산 대평","84.9438","29,775","16","202005","21","분",""
"경상북도 경산시 대평동","463","협성휴포레 경산 대평","84.941","30,791","12","202006","13","분",""
"경상북도 경산시 대평동","463","협성휴포레 경산 대평","84.941","30,791","12","202006","13","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","84.9882","41,060","17","202003","2","분","20200306"
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","36,951","11","202003","9","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","84.9882","41,710","12","202003","24","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","35,680","10","202003","24","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","35,324","9","202003","25","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","37,223","19","202003","26","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","84.9882","42,260","21","202003","26","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","35,980","15","202003","26","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","35,980","24","202003","31","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","34,580","10","202004","18","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","37,180","26","202004","21","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","35,980","15","202004","21","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","84.9882","41,560","29","202004","24","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","36,380","14","202004","27","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","84.9882","41,060","11","202004","28","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","34,080","2","202004","29","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","84.9882","42,160","12","202005","5","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","84.9882","40,208","5","202005","5","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","37,380","16","202005","6","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","84.9383","41,088","24","202005","8","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","37,580","21","202005","8","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","37,480","17","202005","9","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","37,680","25","202005","10","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","84.6947","41,160","17","202005","11","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","37,480","12","202005","13","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","84.9882","39,960","5","202005","17","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.958","37,603","18","202005","17","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","84.9882","40,758","9","202005","19","분",""
"경상북도 경산시 정평동","13","정평역 코오롱하늘채","74.9587","35,330","20","202005","20","분",""
