"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 경상북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"경상북도 경산시 갑제동","일반","4**","화랑로8길","자연녹지","제2종근린생활","8m미만","244.11","330.00","34,500","null","202008","31"," ","2017",""
"경상북도 경산시 갑제동","일반","6**","원효로","자연녹지","제2종근린생활","25m이상","984.72","694.00","128,920","null","202011","18"," ","2017",""
"경상북도 경산시 계양동","집합","6**","원효로26길","제2종일반주거","제1종근린생활","12m미만","36.9"," ","7,050","1","202004","27"," ","1995",""
"경상북도 경산시 계양동","집합","7**","남매공원로1길","준주거","제2종근린생활","25m미만","152.73"," ","60,000","5","202010","22"," ","2019",""
"경상북도 경산시 계양동","일반","6**","원효로26길","제2종일반주거","제2종근린생활","12m미만","384.34","320.30","58,000","null","202011","13"," ","2015",""
"경상북도 경산시 계양동","집합","7**","남매공원로1길","준주거","제1종근린생활","25m이상","119.3"," ","46,600","2","202012","15"," ","2018",""
"경상북도 경산시 남산면 갈지리","일반","3**","갈지로","계획관리","제2종근린생활","8m미만","466.5","1379.00","42,000","null","202009","18"," ","2016",""
"경상북도 경산시 남산면 갈지리","일반","1**","갈지로","계획관리","제2종근린생활","25m미만","198","523.00","26,500","null","202012","23"," ","2017",""
"경상북도 경산시 남산면 상대리","일반","6**","상대로116길","계획관리","제2종근린생활","8m미만","293.99","193.00","16,900","null","202101","15"," ","1994",""
"경상북도 경산시 남산면 상대리","일반","6**","상대로116길","계획관리","제2종근린생활","8m미만","293.99","193.00","17,000","null","202101","15"," ","1994","20210217"
