"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 경상북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"경상북도 경산시 계양동","662","0662","0000","(662-0)","65.4377","38.58","202005","29","13,500","2","2014","원효로26길 9",""
"경상북도 경산시 계양동","662","0662","0000","(662-0)","82.2053","48.47","202011","1","18,000","2","2014","원효로26길 9",""
"경상북도 경산시 계양동","117-1","0117","0001","국제","76.18","80.75","202012","21","7,800","4","1994","계양로 183-1",""
"경상북도 경산시 계양동","687-17","0687","0017","금강도운계양1차B","36.855","39.36","202101","28","2,700","1","1995","계양로8길 23",""
"경상북도 경산시 계양동","668-9","0668","0009","대삼2","76.38","58.46","202009","19","10,200","1","1996","계양로16길 39",""
"경상북도 경산시 계양동","688-4","0688","0004","도심","75.21","48.13","202012","21","8,500","3","1995","계양로8길 37",""
"경상북도 경산시 계양동","691-5","0691","0005","도운파크","59.445","48.41","202008","20","5,700","3","1994","장산로50길 27-7",""
"경상북도 경산시 계양동","682-5","0682","0005","동우","75.4","64.24","202102","24","10,200","1","1994","계양로8길 15",""
"경상북도 경산시 계양동","682-12","0682","0012","연안(682-12)","66.47","31.66","202008","20","7,300","4","1996","원효로28길 46",""
"경상북도 경산시 계양동","686-9","0686","0009","연안2차","76.11","49.65","202006","29","8,000","1","1996","계양로8길 26",""
"경상북도 경산시 계양동","692-7","0692","0007","연안B동","76.05","52.21","202008","11","9,200","1","1998","장산로50길 27-16",""
"경상북도 경산시 계양동","670-15","0670","0015","은성A","76.04","42.32","202102","17","9,400","1","1997","원효로28길 16",""
"경상북도 경산시 계양동","678-12","0678","0012","초원","76.04","65.43","202009","19","8,000","4","1995","계양로 56",""
"경상북도 경산시 계양동","692-1","0692","0001","태성하이츠","72.0126","45.38","202009","3","6,000","2","2003","장산로50길 27-12",""
