"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경상북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"경상북도 경산시 압량읍 신대리","442","442","0","	(442)	","28.43","202012","21","4,550","4","2012"," 17-7",""
"경상북도 경산시 압량읍 신대리","442","442","0","	(442)	","22.4","202012","21","4,300","3","2012"," 17-7",""
"경상북도 경산시 압량읍 신대리","442","442","0","	(442)	","22","202012","21","4,300","3","2012"," 17-7",""
"경상북도 경산시 압량읍 신대리","442","442","0","	(442)	","22","202012","21","4,300","2","2012"," 17-7",""
"경상북도 경산시 압량읍 신대리","442","442","0","	(442)	","21.77","202012","21","4,300","2","2012"," 17-7",""
"경상북도 경산시 압량읍 신대리","442","442","0","	(442)	","21.77","202012","21","4,300","3","2012"," 17-7",""
"경상북도 경산시 압량읍 신대리","442","442","0","	(442)	","22.4","202012","21","4,300","3","2012"," 17-7",""
"경상북도 경산시 압량읍 신대리","442","442","0","	(442)	","22","202012","21","4,300","3","2012"," 17-7",""
"경상북도 경산시 압량읍 신대리","442","442","0","	(442)	","22","202012","21","4,300","4","2012"," 17-7",""
"경상북도 경산시 압량읍 신대리","442","442","0","	(442)	","28.43","202012","21","4,550","4","2012"," 17-7",""
"경상북도 경산시 압량읍 신대리","442","442","0","	(442)	","22","202012","21","4,300","4","2012"," 17-7",""
"경상북도 경산시 압량읍 신대리","442","442","0","	(442)	","22.4","202012","21","4,300","2","2012"," 17-7",""
"경상북도 경산시 압량읍 신대리","442","442","0","	(442)	","22","202012","21","4,300","2","2012"," 17-7",""
"경상북도 경산시 압량읍 신대리","442","442","0","	(442)	","22.4","202012","21","4,300","2","2012"," 17-7",""
"경상북도 경산시 중방동","837-4","837","4","	(837-4)	","69.03","202008","1","10,500","6","2014","경안로48길 7-5",""
"경상북도 경산시 하양읍 금락리","391-8","391","8","(391-8)","29.08","202102","5","6,600","1","2013","대학로298길 1-2",""
"경상북도 경산시 하양읍 금락리","391-8","391","8","(391-8)","28.99","202102","5","6,600","1","2013","대학로298길 1-2",""
"경상북도 경산시 하양읍 금락리","161-32","161","32","휴가오피스텔","25.02","202003","4","10,300","7","2017"," ",""
"경상북도 경산시 하양읍 금락리","161-32","161","32","휴가오피스텔","25.02","202007","1","9,800","8","2017"," ",""
"경상북도 경주시 감포읍 감포리","79-4","79","4","(79-4)","75.33","202005","27","10,500","5","2017","감포로8길 25",""
"경상북도 경주시 감포읍 감포리","79-4","79","4","(79-4)","69.09","202005","27","9,700","7","2017","감포로8길 25",""
"경상북도 경주시 감포읍 감포리","79-4","79","4","(79-4)","69.09","202005","27","9,500","2","2017","감포로8길 25",""
"경상북도 경주시 감포읍 감포리","79-4","79","4","(79-4)","69.09","202005","27","9,500","3","2017","감포로8길 25",""
"경상북도 경주시 감포읍 감포리","79-4","79","4","(79-4)","75.33","202005","27","10,500","4","2017","감포로8길 25",""
"경상북도 경주시 감포읍 감포리","79-4","79","4","(79-4)","69.09","202005","27","9,600","4","2017","감포로8길 25",""
"경상북도 경주시 감포읍 감포리","79-4","79","4","(79-4)","75.33","202005","27","10,500","4","2017","감포로8길 25",""
