"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 경상북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"경상북도 경산시 압량읍 부적리","387-7","0387","0007","(387-7)","월세","23.12","202004","17","150","30","2","2013"," 87"
"경상북도 경산시 압량읍 신대리","440","0440","0000","	(440)	","전세","48.95","202004","11","6,500","0","4","2013"," 5"
"경상북도 경산시 압량읍 신대리","440","0440","0000","	(440)	","월세","25.42","202006","20","200","15","4","2013"," 5"
"경상북도 경산시 압량읍 신대리","440-1","0440","0001","	(440-1)	","전세","48.95","202012","24","6,000","0","4","2013"," 5-1"
"경상북도 경산시 압량읍 신대리","440-1","0440","0001","	(440-1)	","월세","25.42","202101","25","200","15","4","2013"," 5-1"
"경상북도 경산시 압량읍 신대리","445","0445","0000","(445)","전세","22.1","202012","13","3,500","0","2","2013"," 15"
"경상북도 경산시 중방동","872-9","0872","0009","	(872-9)	","전세","28.8","202011","26","4,000","0","4","2012","중앙로14길 12-1"
"경상북도 경산시 중방동","328-1","0328","0001","대화 타워펠리스Ⅱ","전세","79.87","202012","1","5,000","0","5","null","경안로39길 49"
"경상북도 경산시 하양읍 금락리","161-32","0161","0032","휴가오피스텔","월세","21.05","202101","16","500","40","5","2017"," "
"경상북도 경산시 하양읍 금락리","161-32","0161","0032","휴가오피스텔","월세","24.63","202102","1","500","45","4","2017"," "
"경상북도 경주시 감포읍 감포리","79-4","0079","0004","(79-4)","월세","69.09","202004","19","1,000","40","8","2017","감포로8길 25"
"경상북도 경주시 건천읍 건천리","42-4","0042","0004","(42-4)","월세","28.84","202102","17","200","25","4","2016","작원4길 32-5"
"경상북도 경주시 건천읍 건천리","421-12","0421","0012","꿈애공간","월세","48.07","202006","15","1,000","40","2","2015"," "
"경상북도 경주시 건천읍 건천리","421-16","0421","0016","드림스페이스","월세","43.82","202101","22","1,000","30","7","2016"," "
"경상북도 경주시 동천동","733-894","0733","0894","(733-894)","전세","82.67","202006","24","14,000","0","3","2015","양정로191번길 9"
"경상북도 경주시 동천동","733-894","0733","0894","(733-894)","월세","82.67","202010","26","4,000","30","4","2015","양정로191번길 9"
