"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"광주광역시 광산구 고룡동","8**","단독","8m미만","75.6","208","202011","13","8,900","2000","벽파정길",""
"광주광역시 광산구 고룡동","6**","단독","8m미만","82.36","294","202004","7","19,700","2017","창암길",""
"광주광역시 광산구 고룡동","6*","단독","8m미만","54.52","393","202009","12","8,700","1940","임곡연동길",""
"광주광역시 광산구 고룡동","8**","단독","8m미만","83.7","430","202011","10","17,500","2005","벽파정길",""
"광주광역시 광산구 고룡동","4**","단독","8m미만","82.99","530","202011","20","21,000","2000","null",""
"광주광역시 광산구 광산동","8*","단독","8m미만","131.01","636","202102","23","23,850","2010","오룡동길",""
"광주광역시 광산구 광산동","2**","단독","12m미만","99.5","655","202010","12","22,770","2015","고봉로",""
"광주광역시 광산구 광산동","3**","단독","8m미만","295.58","1586","202006","2","24,500","1978","임곡연계길",""
"광주광역시 광산구 남산동","4**","단독","8m미만","74.6","102","202003","14","3,100","1943","본량황계안길",""
"광주광역시 광산구 남산동","8**","단독","8m미만","63.8","251","202006","18","6,000","1945","본량신흥길",""
"광주광역시 광산구 남산동","1**","단독","8m미만","126.94","836","202005","14","12,000","1940","풍숙길",""
"광주광역시 광산구 내산동","3**","단독","8m미만","97.04","691","202101","4","20,000","1997","쌍내길",""
"광주광역시 광산구 도산동","1***","다가구","12m미만","289.59","193.1","202009","21","50,500","2013","서도산길",""
"광주광역시 광산구 도산동","1***","다가구","12m미만","530.41","354.5","202006","23","146,000","2019","남동길30번길","20201230"
"광주광역시 광산구 도산동","1***","다가구","12m미만","530.41","354.5","202101","24","150,000","2019","남동길30번길",""
"광주광역시 광산구 도산동","1***","다가구","12m미만","530.41","354.5","202012","30","146,000","2019","남동길30번길",""
"광주광역시 광산구 도산동","1***","다가구","12m미만","639.14","363.7","202007","28","69,200","2002","남동길",""
"광주광역시 광산구 도산동","8**","단독","-","39.36","66","202008","22","8,000","2000","null",""
"광주광역시 광산구 도산동","9**","단독","12m미만","125.24","109","202102","1","15,500","1990","상도산길",""
"광주광역시 광산구 도산동","9**","단독","8m미만","49.41","118","202004","4","15,600","1977","상도산길21번길",""
"광주광역시 광산구 도산동","9**","단독","8m미만","58.15","122","202009","26","16,800","2000","상도산길21번길",""
"광주광역시 광산구 도산동","9**","단독","8m미만","54.45","124","202004","9","16,000","1977","상도산길21번길",""
"광주광역시 광산구 도산동","9**","단독","8m미만","78.21","131","202010","25","18,500","1983","송도로181번길",""
"광주광역시 광산구 도산동","8**","단독","8m미만","63.48","132","202004","1","17,000","1982","송정로52번길",""
"광주광역시 광산구 도산동","8**","단독","8m미만","63.48","132","202004","1","17,000","1982","송정로52번길","20200421"
"광주광역시 광산구 도산동","1***","단독","12m미만","148.77","132","202012","16","20,000","2000","송도로114번길",""
"광주광역시 광산구 도산동","1***","단독","12m미만","50.24","142","202007","26","17,300","2000","도산로","20200805"
"광주광역시 광산구 도산동","9**","단독","12m미만","112.71","144","202010","27","21,600","1981","송도로","20201230"
"광주광역시 광산구 도산동","9**","단독","12m미만","112.71","144","202012","30","21,600","1981","송도로",""
"광주광역시 광산구 도산동","9**","단독","12m미만","118.56","145","202009","8","26,000","1988","송정로52번길",""
"광주광역시 광산구 도산동","1***","단독","8m미만","99.24","146","202012","29","6,000","1986","신도산길",""
"광주광역시 광산구 도산동","8**","단독","8m미만","54.36","149","202012","3","9,000","1975","송도로212번길",""
"광주광역시 광산구 도산동","8**","단독","8m미만","98.96","165","202007","6","20,000","1982","송도로",""
"광주광역시 광산구 도산동","8**","단독","8m미만","56.85","182","202005","22","21,000","1976","상도산길7번길",""
"광주광역시 광산구 도산동","7**","단독","8m미만","79.4","184","202005","17","25,047","1981","송도로",""
"광주광역시 광산구 도산동","1***","단독","8m미만","157.12","201","202006","5","33,000","1991","신도산길",""
"광주광역시 광산구 도산동","7**","단독","8m미만","57.18","205","202012","14","20,000","1920","송도로182번길",""
