"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명"
"광주광역시 광산구 도덕동","5**","8m미만","83","전세","202010","21","3,000","0","1968","오운로"
"광주광역시 광산구 도산동","1***","12m미만","18.5","월세","202005","14","200","35","2019","남동길"
"광주광역시 광산구 도산동","1***","12m미만","20","월세","202102","6","200","30","2012","남동길30번길"
"광주광역시 광산구 도산동","1***","12m미만","20","월세","202008","7","200","34","2018","남동길30번길"
"광주광역시 광산구 도산동","1***","12m미만","20","월세","202009","8","200","37","2019","남동길30번길"
"광주광역시 광산구 도산동","1***","12m미만","20","월세","202009","24","200","30","2012","남동길30번길"
"광주광역시 광산구 도산동","1***","12m미만","24.35","월세","202003","2","200","36","2019","남동길"
"광주광역시 광산구 도산동","1***","12m미만","25","월세","202008","5","200","35","2019","남동길30번길"
"광주광역시 광산구 도산동","1***","12m미만","25","월세","202010","7","200","30","2013","서도산길"
"광주광역시 광산구 도산동","1***","12m미만","25","월세","202003","8","500","45","2019","남동길30번길"
"광주광역시 광산구 도산동","1***","12m미만","25","전세","202007","2","3,000","0","2002","남동길"
"광주광역시 광산구 도산동","1***","12m미만","25","전세","202005","18","3,500","0","2002","남동길"
"광주광역시 광산구 도산동","1***","12m미만","28.8","전세","202006","16","3,500","0","2004","남동길30번길"
"광주광역시 광산구 도산동","1***","12m미만","29.81","월세","202007","6","500","20","2014","남동길"
"광주광역시 광산구 도산동","1***","8m미만","30","월세","202102","1","200","30","2013","도산로38번길"
"광주광역시 광산구 도산동","1***","25m미만","30","월세","202011","12","300","40","2013","상무대로"
"광주광역시 광산구 도산동","1***","12m미만","30","월세","202005","18","200","33","2019","남동길30번길"
"광주광역시 광산구 도산동","1***","8m미만","30","전세","202007","15","2,500","0","2006","신도산길"
"광주광역시 광산구 도산동","1***","-","30.64","전세","202101","27","3,500","0","2002","null"
