"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분","해제사유발생일"
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","75.9871","41,730","4","202002","29","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","42,112","1","202003","5","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","36,612","2","202003","5","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","36,399","2","202003","10","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","36,899","3","202003","18","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","45,113","4","202003","24","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","37,112","3","202003","25","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","36,470","3","202003","25","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","45,213","4","202004","15","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","41,499","1","202005","1","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","44,470","4","202005","6","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","46,013","4","202005","6","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","45,400","4","202005","19","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","41,799","1","202005","21","분","20200723"
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","41,799","1","202005","21","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","40,300","1","202005","22","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","45,813","4","202005","28","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","41,312","1","202005","29","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","42,212","1","202005","30","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","41,612","1","202006","1","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","40,599","1","202006","4","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","75.9871","40,800","4","202006","8","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","36,612","2","202006","29","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","36,612","2","202007","8","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","37,263","3","202007","8","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","75.9871","38,342","1","202008","1","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","46,513","4","202008","4","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","42,412","1","202008","19","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","37,212","3","202008","31","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","40,399","1","202009","4","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","45,513","4","202009","9","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","41,170","1","202009","14","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","37,212","3","202009","16","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","45,513","4","202009","28","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","36,800","3","202010","5","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","44,850","4","202010","5","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","41,700","1","202010","5","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","37,113","3","202010","15","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","75.9871","33,699","2","202010","17","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","37,412","3","202010","26","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","37,212","3","202010","31","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","46,513","4","202011","4","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","46,513","4","202011","6","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","43,313","1","202011","7","분",""
"광주광역시 광산구 산정동","831-1","어등산한양수자인테라스플러스","84.9317","47,013","4","202012","4","분",""
