"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"광주광역시 광산구 도산동","집합","7**","송도로","제2종일반주거","제2종근린생활","25m미만","149.6"," ","50,239","3","202003","5"," ","2018",""
"광주광역시 광산구 도산동","집합","7**","송도로","제2종일반주거","제2종근린생활","25m미만","105.88"," ","35,557","4","202003","5"," ","2018",""
"광주광역시 광산구 도산동","집합","7**","송도로","제2종일반주거","제2종근린생활","25m미만","118.2"," ","39,694","3","202003","5"," ","2018",""
"광주광역시 광산구 도산동","집합","7**","송도로","제2종일반주거","제2종근린생활","25m미만","149.61"," ","50,242","4","202003","5"," ","2018",""
"광주광역시 광산구 도산동","집합","7**","송도로","제2종일반주거","제2종근린생활","25m미만","141.28"," ","47,445","3","202003","5"," ","2018",""
"광주광역시 광산구 도산동","일반","8**","송도로","제2종일반주거","제2종근린생활","25m미만","94.5","560.00","63,000","null","202004","2"," ","2016",""
"광주광역시 광산구 도산동","집합","7**","송도로","제2종일반주거","제1종근린생활","25m미만","63.75"," ","50,000","1","202004","27"," ","2016",""
"광주광역시 광산구 도산동","일반","1***","송도로85번길","제1종일반주거","제2종근린생활","25m미만","65.67","55.00","11,500","null","202006","8"," ","2011",""
"광주광역시 광산구 도산동","일반","1***","송도로85번길","제1종일반주거","제2종근린생활","25m미만","65.67","55.00","11,500","null","202006","8"," ","2011",""
"광주광역시 광산구 도산동","일반","1***","송도로85번길","제1종일반주거","제1종근린생활","25m미만","197","165.00","35,000","null","202006","23"," ","2011",""
"광주광역시 광산구 도산동","일반","1***","송도로","제2종일반주거","제2종근린생활","25m미만","333.6","661.00","157,000","null","202007","24"," ","2002",""
"광주광역시 광산구 도산동","일반","1***","도산로","제2종일반주거","제1종근린생활","12m미만","126.45","212.00","51,200","null","202008","26"," ","2003",""
"광주광역시 광산구 도산동","일반","8**","송도로","제2종일반주거","제1종근린생활","25m미만","496.22","173.00","60,000","null","202009","2"," ","1992",""
"광주광역시 광산구 도천동","일반","*","사암로","자연녹지","제1종근린생활","25m이상","660","1664.00","300,000","null","202003","27"," ","2017",""
"광주광역시 광산구 도천동","일반","5**","임곡로","생산녹지","제2종근린생활","12m미만","372.6","942.00","92,000","null","202007","6"," ","2016",""
"광주광역시 광산구 도천동","일반","*","북문대로","자연녹지","제1종근린생활","25m이상","430","2189.00","169,831","null","202010","21"," ","2012",""
"광주광역시 광산구 도천동","일반","6**","비아로","제2종일반주거","제1종근린생활","25m미만","213.54","275.03","60,000","null","202011","6"," ","2001",""
"광주광역시 광산구 도천동","일반","6**","하남산단9번로","일반공업","제2종근린생활","12m미만","623.34","1653.00","120,000","null","202102","9"," ","1994",""
"광주광역시 광산구 등임동","일반","1*","박호등임로","제1종일반주거","제2종근린생활","12m미만","200","360.00","47,500","null","202004","18"," ","2015",""
