"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"광주광역시 광산구 도산동","822","0822","0000","금강2차","월세","35.28","202004","1","1,261","7","7","1999","송도로182번길 15-12"
"광주광역시 광산구 도산동","822","0822","0000","금강2차","월세","35.28","202004","2","1,261","7","13","1999","송도로182번길 15-12"
"광주광역시 광산구 도산동","822","0822","0000","금강2차","월세","35.28","202004","29","1,248","7","7","1999","송도로182번길 15-12"
"광주광역시 광산구 도산동","822","0822","0000","금강2차","월세","35.28","202101","21","1,273","7","9","1999","송도로182번길 15-12"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","월세","59.31","202003","9","500","30","3","1990","송도로 143"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","전세","31.59","202003","14","5,000","0","9","1990","송도로 143"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","월세","39.15","202004","14","300","30","3","1990","송도로 143"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","월세","31.59","202005","27","1,000","25","8","1990","송도로 143"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","전세","59.31","202007","3","7,000","0","8","1990","송도로 143"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","월세","39.15","202009","18","500","35","8","1990","송도로 143"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","월세","39.15","202010","8","500","35","3","1990","송도로 143"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","월세","39.15","202011","16","500","30","2","1990","송도로 143"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","월세","59.31","202011","25","500","38","9","1990","송도로 143"
"광주광역시 광산구 도산동","1138-2","1138","0002","대덕1","월세","39.15","202102","3","1,000","25","2","1990","송도로 143"
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","전세","84.98","202003","30","14,000","0","5","2000","송도로182번길 55"
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","전세","84.98","202006","22","14,000","0","5","2000","송도로182번길 55"
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","전세","84.98","202008","7","14,000","0","9","2000","송도로182번길 55"
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","월세","84.98","202008","9","5,000","35","9","2000","송도로182번길 55"
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","월세","84.98","202008","13","3,500","40","3","2000","송도로182번길 55"
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","전세","84.98","202008","28","15,000","0","8","2000","송도로182번길 55"
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","월세","84.98","202012","11","10,000","10","10","2000","송도로182번길 55"
"광주광역시 광산구 도산동","790","0790","0000","대주피오레1차","월세","84.98","202102","3","1,000","58","5","2000","송도로182번길 55"
"광주광역시 광산구 도산동","820","0820","0000","대주피오레2차","전세","84.7575","202006","22","15,000","0","10","2001","송도로182번길 16-3"
"광주광역시 광산구 도산동","820","0820","0000","대주피오레2차","월세","84.7575","202009","23","2,000","55","8","2001","송도로182번길 16-3"
"광주광역시 광산구 도산동","820","0820","0000","대주피오레2차","월세","84.7575","202012","19","2,000","50","10","2001","송도로182번길 16-3"
"광주광역시 광산구 도산동","1138-1","1138","0001","무등파크맨션","월세","59.88","202003","13","1,000","35","1","1994","도산로 3"
