"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","58.82","202011","18","8,000","0","2","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","81.39","202011","18","12,000","0","3","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","58.82","202011","18","8,000","0","3","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","81.39","202011","18","8,000","0","4","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","81.39","202011","18","10,500","0","5","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","81.39","202011","18","10,000","0","3","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","81.39","202011","19","10,000","0","5","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","81.39","202011","19","10,000","0","2","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","58.82","202011","19","8,000","0","5","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","81.39","202011","19","10,000","0","4","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","58.82","202011","19","8,000","0","3","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","81.39","202011","19","10,000","0","2","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","81.39","202011","19","10,000","0","2","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","58.82","202011","19","8,000","0","2","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","58.82","202011","19","3,000","0","5","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","81.39","202011","19","10,000","0","4","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","58.82","202011","19","8,000","0","4","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","81.39","202011","19","10,000","0","2","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","81.39","202011","19","10,000","0","4","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","81.39","202011","19","10,000","0","2","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","981-9","0981","0009","(981-9)","전세","58.82","202011","23","8,000","0","3","2020","평동로1120번길 70-1"
"광주광역시 광산구 도산동","814-15","0814","0015","숲안애빌리지","월세","84.3361","202006","10","2,000","20","3","2018","송도로182번길 39-12"
"광주광역시 광산구 도산동","814-15","0814","0015","숲안애빌리지","전세","84.3361","202101","12","19,000","0","2","2018","송도로182번길 39-12"
"광주광역시 광산구 도산동","814-15","0814","0015","숲안애빌리지","전세","84.3361","202101","13","19,000","0","2","2018","송도로182번길 39-12"
"광주광역시 광산구 도천동","161-2","0161","0002","윤슬의 아침","전세","130.17","202011","16","30,000","0","2","2016","임방울대로 611-49"
"광주광역시 광산구 도천동","160-1","0160","0001","윤슬의 아침 제5동","전세","123.71","202010","27","30,000","0","2","2016","임방울대로 611-75"
"광주광역시 광산구 도천동","163-1","0163","0001","윤슬의 아침(제3동,제4동,제6동)","전세","129.17","202004","14","40,000","0","1","2016","임방울대로 611-77"
"광주광역시 광산구 도천동","163-1","0163","0001","윤슬의 아침(제3동,제4동,제6동)","전세","66.12","202005","27","19,000","0","4","2016","임방울대로 611-77"
"광주광역시 광산구 비아동","753","0753","0000","(753-0)","월세","177.01","202010","30","3,000","140","1","2016","첨단과기로 93-31"
"광주광역시 광산구 비아동","687-6","0687","0006","사랑빌라","전세","55.18","202004","25","5,300","0","1","1997","비아안길 7-13"
"광주광역시 광산구 비아동","784","0784","0000","첨단 금호 어울림 더 테라스","전세","84.8672","202003","25","39,000","0","1","2019","첨단과기로 91-1"
"광주광역시 광산구 비아동","784","0784","0000","첨단 금호 어울림 더 테라스","월세","84.8672","202007","1","5,000","90","3","2019","첨단과기로 91-1"
"광주광역시 광산구 비아동","784","0784","0000","첨단 금호 어울림 더 테라스","전세","84.8672","202007","11","38,000","0","1","2019","첨단과기로 91-1"
"광주광역시 광산구 비아동","784","0784","0000","첨단 금호 어울림 더 테라스","월세","84.4859","202007","14","5,000","80","1","2019","첨단과기로 91-1"
"광주광역시 광산구 비아동","784","0784","0000","첨단 금호 어울림 더 테라스","전세","84.8672","202012","15","40,000","0","2","2019","첨단과기로 91-1"
"광주광역시 광산구 비아동","784","0784","0000","첨단 금호 어울림 더 테라스","전세","84.8672","202102","6","35,000","0","2","2019","첨단과기로 91-1"
"광주광역시 광산구 비아동","784","0784","0000","첨단 금호 어울림 더 테라스","전세","84.8672","202102","6","35,000","0","2","2019","첨단과기로 91-1"
"광주광역시 광산구 비아동","784","0784","0000","첨단 금호 어울림 더 테라스","전세","84.4859","202102","6","34,000","0","1","2019","첨단과기로 91-1"
"광주광역시 광산구 비아동","776-8","0776","0008","태호뮤렌","전세","80.0767","202009","29","19,000","0","2","2015","첨단과기로 79-32"
"광주광역시 광산구 비아동","149-1","0149","0001","해성행복애가","전세","58.6947","202002","29","12,000","0","2","2016","비아로 177-11"
"광주광역시 광산구 비아동","149-1","0149","0001","해성행복애가","전세","58.6947","202003","28","12,500","0","2","2016","비아로 177-11"
"광주광역시 광산구 비아동","149-1","0149","0001","해성행복애가","전세","58.6947","202005","18","12,500","0","4","2016","비아로 177-11"
"광주광역시 광산구 비아동","149-1","0149","0001","해성행복애가","전세","58.6947","202006","23","12,500","0","3","2016","비아로 177-11"
"광주광역시 광산구 비아동","149-1","0149","0001","해성행복애가","전세","59.9051","202007","30","14,500","0","4","2016","비아로 177-11"
"광주광역시 광산구 비아동","149-1","0149","0001","해성행복애가","월세","58.6947","202008","21","1,000","50","3","2016","비아로 177-11"
"광주광역시 광산구 비아동","149-1","0149","0001","해성행복애가","전세","58.6947","202009","23","12,500","0","4","2016","비아로 177-11"
"광주광역시 광산구 비아동","149-1","0149","0001","해성행복애가","전세","58.6947","202101","2","12,500","0","4","2016","비아로 177-11"
"광주광역시 광산구 비아동","149-1","0149","0001","해성행복애가","전세","59.9051","202101","20","14,000","0","2","2016","비아로 177-11"
"광주광역시 광산구 비아동","149-1","0149","0001","해성행복애가","전세","59.9051","202102","9","15,200","0","4","2016","비아로 177-11"
"광주광역시 광산구 산정동","1140","1140","0000","어등산 한국아델리움 1단지","전세","73.9788","202002","29","25,000","0","5","2016","여대길 290"
"광주광역시 광산구 산정동","1140","1140","0000","어등산 한국아델리움 1단지","전세","84.3857","202003","7","26,000","0","5","2016","여대길 290"
"광주광역시 광산구 산정동","1140","1140","0000","어등산 한국아델리움 1단지","전세","84.3857","202005","19","21,500","0","3","2016","여대길 290"
"광주광역시 광산구 산정동","1140","1140","0000","어등산 한국아델리움 1단지","전세","84.3857","202005","19","21,500","0","3","2016","여대길 290"
