"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"광주광역시 광산구 송정동","859-3","859","3","현대디에코1차","26.62","202011","10","7,000","11","2016"," ",""
"광주광역시 광산구 송정동","859-3","859","3","현대디에코1차","26.62","202102","15","8,000","11","2016"," ",""
"광주광역시 광산구 송정동","859-7","859","7","현대디에코2차","26.62","202009","14","7,800","13","2016"," ",""
"광주광역시 광산구 쌍암동","672-2","672","2","	(672-2)	","25.9","202004","24","3,650","6","2002","첨단중앙로152번길 81-10",""
"광주광역시 광산구 쌍암동","672-2","672","2","	(672-2)	","25.9","202007","8","3,400","6","2002","첨단중앙로152번길 81-10",""
"광주광역시 광산구 쌍암동","672-2","672","2","	(672-2)	","25.9","202011","21","3,650","4","2002","첨단중앙로152번길 81-10",""
"광주광역시 광산구 쌍암동","672-2","672","2","	(672-2)	","30.8","202101","6","3,500","7","2002","첨단중앙로152번길 81-10",""
"광주광역시 광산구 쌍암동","685-10","685","10","로얄오피스텔(685-10)","30.81","202004","28","3,000","2","2003","임방울대로825번길 22-17",""
"광주광역시 광산구 쌍암동","685-10","685","10","로얄오피스텔(685-10)","30.81","202007","24","3,400","7","2003","임방울대로825번길 22-17",""
"광주광역시 광산구 쌍암동","685-10","685","10","로얄오피스텔(685-10)","30.81","202008","17","3,400","3","2003","임방울대로825번길 22-17",""
"광주광역시 광산구 쌍암동","685-10","685","10","로얄오피스텔(685-10)","30.81","202009","4","3,400","2","2003","임방울대로825번길 22-17",""
"광주광역시 광산구 쌍암동","685-10","685","10","로얄오피스텔(685-10)","30.81","202009","24","3,340","6","2003","임방울대로825번길 22-17",""
"광주광역시 광산구 쌍암동","685-10","685","10","로얄오피스텔(685-10)","30.81","202010","21","3,200","4","2003","임방울대로825번길 22-17",""
"광주광역시 광산구 쌍암동","685-10","685","10","로얄오피스텔(685-10)","30.81","202010","26","3,300","2","2003","임방울대로825번길 22-17",""
"광주광역시 광산구 쌍암동","685-9","685","9","로얄오피스텔(685-9)","30.81","202003","12","3,100","3","2003","임방울대로825번길 22-15",""
"광주광역시 광산구 쌍암동","685-9","685","9","로얄오피스텔(685-9)","30.81","202007","1","3,300","3","2003","임방울대로825번길 22-15",""
"광주광역시 광산구 쌍암동","685-9","685","9","로얄오피스텔(685-9)","30.81","202008","30","3,100","3","2003","임방울대로825번길 22-15",""
"광주광역시 광산구 쌍암동","685-9","685","9","로얄오피스텔(685-9)","30.81","202009","4","3,350","7","2003","임방울대로825번길 22-15",""
"광주광역시 광산구 쌍암동","685-9","685","9","로얄오피스텔(685-9)","30.81","202010","13","3,400","4","2003","임방울대로825번길 22-15",""
"광주광역시 광산구 쌍암동","685-9","685","9","로얄오피스텔(685-9)","30.81","202102","26","3,300","6","2003","임방울대로825번길 22-15",""
"광주광역시 광산구 쌍암동","694-99","694","99","상상포레스트","70.37","202003","2","25,074","19","2019","첨단강변로87번길 20",""
"광주광역시 광산구 쌍암동","694-99","694","99","상상포레스트","70.37","202003","2","23,934","8","2019","첨단강변로87번길 20",""
"광주광역시 광산구 쌍암동","694-99","694","99","상상포레스트","63.43","202003","2","22,658","16","2019","첨단강변로87번길 20",""
"광주광역시 광산구 쌍암동","694-99","694","99","상상포레스트","66.58","202004","1","22,711","17","2019","첨단강변로87번길 20",""
"광주광역시 광산구 쌍암동","694-99","694","99","상상포레스트","35.7","202004","1","13,954","4","2019","첨단강변로87번길 20",""
"광주광역시 광산구 쌍암동","694-99","694","99","상상포레스트","65.23","202004","10","22,623","9","2019","첨단강변로87번길 20",""
"광주광역시 광산구 쌍암동","694-99","694","99","상상포레스트","35.7","202004","10","13,649","8","2019","첨단강변로87번길 20",""
"광주광역시 광산구 쌍암동","694-99","694","99","상상포레스트","65.23","202004","20","22,823","11","2019","첨단강변로87번길 20",""
"광주광역시 광산구 쌍암동","694-99","694","99","상상포레스트","70.37","202004","29","25,374","14","2019","첨단강변로87번길 20",""
"광주광역시 광산구 쌍암동","694-99","694","99","상상포레스트","72.15","202005","15","25,671","16","2019","첨단강변로87번길 20",""
"광주광역시 광산구 쌍암동","694-99","694","99","상상포레스트","66.58","202005","20","22,711","16","2019","첨단강변로87번길 20",""
"광주광역시 광산구 쌍암동","694-99","694","99","상상포레스트","70.37","202006","12","26,778","4","2019","첨단강변로87번길 20",""
"광주광역시 광산구 쌍암동","694-99","694","99","상상포레스트","66.58","202007","22","23,711","18","2019","첨단강변로87번길 20",""
"광주광역시 광산구 쌍암동","694-99","694","99","상상포레스트","63.43","202008","6","21,658","19","2019","첨단강변로87번길 20",""
"광주광역시 광산구 쌍암동","694-99","694","99","상상포레스트","66.58","202009","2","23,711","15","2019","첨단강변로87번길 20",""
"광주광역시 광산구 쌍암동","694-116","694","116","에드가(694-116)","33.58","202002","29","6,000","4","2013","임방울대로826번길 55",""
"광주광역시 광산구 쌍암동","694-116","694","116","에드가(694-116)","27.54","202005","7","5,300","2","2013","임방울대로826번길 55",""
"광주광역시 광산구 쌍암동","694-116","694","116","에드가(694-116)","33.58","202006","24","6,300","4","2013","임방울대로826번길 55",""
"광주광역시 광산구 쌍암동","676-2","676","2","에이엠시티센트럴파크","39.47","202003","17","12,000","3","2015","첨단중앙로182번길 50",""
"광주광역시 광산구 쌍암동","676-2","676","2","에이엠시티센트럴파크","39.47","202009","8","9,000","14","2015","첨단중앙로182번길 50",""
"광주광역시 광산구 쌍암동","676-3","676","3","첨단센트럴파크2차","49.24","202006","10","15,050","3","2018","첨단중앙로170번길 87",""
"광주광역시 광산구 쌍암동","676-3","676","3","첨단센트럴파크2차","55.85","202007","3","17,530","2","2018","첨단중앙로170번길 87",""
"광주광역시 광산구 쌍암동","676-3","676","3","첨단센트럴파크2차","55.85","202102","15","19,100","4","2018","첨단중앙로170번길 87",""
"광주광역시 광산구 쌍암동","676-3","676","3","첨단센트럴파크2차","55.85","202102","24","16,030","4","2018","첨단중앙로170번길 87",""
"광주광역시 광산구 쌍암동","685-11","685","11","첨단센트럴파크3차","49.34","202009","29","15,000","2","2020","임방울대로825번길 22-19",""
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","84.76","202003","10","27,000","22","2019","첨단강변로 100",""
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","72.26","202003","16","22,000","36","2019","첨단강변로 100",""
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","84.65","202005","23","25,600","6","2019","첨단강변로 100",""
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","84.65","202006","12","28,500","34","2019","첨단강변로 100",""
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","84.76","202011","23","28,500","36","2019","첨단강변로 100",""
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","84.76","202101","13","29,000","26","2019","첨단강변로 100",""
"광주광역시 광산구 쌍암동","695-1","695","1","힐스테이트 리버파크","84.76","202102","10","29,500","31","2019","첨단강변로 100",""
"광주광역시 광산구 우산동","1610-1","1610","1","	(1610-1)	","23.46","202007","28","4,000","7","2013","사암로171번길 108",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202005","11","7,500","7","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202005","11","7,500","5","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","67.55","202005","11","10,000","7","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202006","3","7,500","7","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202006","3","7,500","7","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202006","3","7,500","7","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202006","3","7,500","6","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202006","25","8,300","2","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202006","25","8,300","2","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202006","25","8,300","2","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202007","7","7,500","4","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202007","7","7,500","4","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202007","8","8,300","2","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202007","8","8,300","2","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202007","8","8,300","2","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202007","17","7,500","4","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202007","17","7,500","6","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202007","31","7,500","7","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","67.55","202009","14","10,000","2","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202012","23","8,300","2","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202012","23","8,300","2","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202012","23","8,300","2","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202012","23","8,300","2","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-1","1594","1","오렌지빌","47.43","202102","23","5,875","3","2007","무진대로 272-9",""
"광주광역시 광산구 우산동","1594-2","1594","2","우산동 AM-City 하이클래스","24.09","202006","24","4,400","3","2014","무진대로 278-12",""
"광주광역시 광산구 우산동","1594-2","1594","2","우산동 AM-City 하이클래스","24.09","202006","24","4,400","4","2014","무진대로 278-12",""
"광주광역시 광산구 우산동","1594-2","1594","2","우산동 AM-City 하이클래스","24.09","202006","25","4,200","2","2014","무진대로 278-12",""
"광주광역시 광산구 우산동","1594-2","1594","2","우산동 AM-City 하이클래스","24.09","202101","21","4,450","3","2014","무진대로 278-12",""
"광주광역시 광산구 우산동","1589-3","1589","3","우산동 한국아델리움 앤 중해마루힐","52.57","202012","8","17,000","9","null","무진대로 278-11",""
"광주광역시 광산구 월계동","872-4","872","4","더허브","30","202005","25","13,000","6","2020","임방울대로800번길 11-10",""
"광주광역시 광산구 월계동","872-4","872","4","더허브","30","202009","8","13,700","17","2020","임방울대로800번길 11-10","20200909"
"광주광역시 광산구 월계동","872-4","872","4","더허브","30","202101","14","11,300","6","2020","임방울대로800번길 11-10",""
"광주광역시 광산구 장덕동","992-8","992","8","B동","30.23","202006","20","2,500","3","2002","사암로 501",""
"광주광역시 광산구 장덕동","992-8","992","8","B동","30.23","202011","11","3,000","3","2002","사암로 501",""
"광주광역시 광산구 하남동","1244","1244","0","(1244)","29.26","202009","29","12,931","5","2020","하남울로12번상길 5","20210128"
"광주광역시 광산구 하남동","1244","1244","0","(1244)","29.26","202009","29","12,931","6","2020","하남울로12번상길 5","20210128"
"광주광역시 광산구 하남동","1244","1244","0","(1244)","27.46","202011","10","11,242","7","2020","하남울로12번상길 5",""
"광주광역시 광산구 하남동","1244","1244","0","(1244)","27.46","202011","10","11,242","7","2020","하남울로12번상길 5",""
"광주광역시 광산구 하남동","1244","1244","0","(1244)","29.26","202011","10","11,991","7","2020","하남울로12번상길 5",""
"광주광역시 광산구 하남동","1244","1244","0","(1244)","27.46","202011","10","11,242","6","2020","하남울로12번상길 5",""
"광주광역시 광산구 하남동","1244","1244","0","(1244)","27.46","202011","10","11,242","5","2020","하남울로12번상길 5",""
"광주광역시 광산구 하남동","1244","1244","0","(1244)","27.46","202011","10","11,242","6","2020","하남울로12번상길 5",""
"광주광역시 광산구 하남동","1244","1244","0","(1244)","27.46","202011","10","11,242","5","2020","하남울로12번상길 5",""
"광주광역시 광산구 하남동","832","832","0","테라스56 피크닉몰","84.9","202102","26","42,000","3","2018","용아로 390","20210302"
"광주광역시 광산구 하남동","832","832","0","테라스56 피크닉몰","84.9","202102","26","42,000","3","2018","용아로 390",""
"광주광역시 남구 구동","1-21","1","21","남구구동오피스텔","39.78","202007","9","6,000","7","2004","천변좌로338번길 16",""
"광주광역시 남구 구동","1-21","1","21","남구구동오피스텔","24.57","202010","23","3,100","7","2004","천변좌로338번길 16",""
"광주광역시 남구 봉선동","480","480","0","더플레이스 봉선","55.54","202008","11","19,500","6","2016","봉선로133번길 15",""
"광주광역시 남구 봉선동","480","480","0","더플레이스 봉선","55.54","202008","13","23,600","2","2016","봉선로133번길 15",""
"광주광역시 남구 봉선동","1095","1095","0","에이치알아팰리스","84.97","202005","20","28,000","5","2017"," ",""
"광주광역시 남구 봉선동","1095","1095","0","에이치알아팰리스","84.9","202007","15","30,700","12","2017"," ",""
"광주광역시 남구 봉선동","1095","1095","0","에이치알아팰리스","84.9","202011","21","28,500","14","2017"," ",""
"광주광역시 남구 봉선동","1095","1095","0","에이치알아팰리스","84.96","202011","25","33,000","6","2017"," ",""
"광주광역시 남구 봉선동","1095","1095","0","에이치알아팰리스","84.96","202011","25","31,000","10","2017"," ",""
"광주광역시 남구 봉선동","1095","1095","0","에이치알아팰리스","84.96","202012","5","28,000","3","2017"," ","20210115"
"광주광역시 남구 봉선동","1095","1095","0","에이치알아팰리스","84.9","202012","5","29,000","18","2017"," ",""
"광주광역시 남구 봉선동","1095","1095","0","에이치알아팰리스","84.97","202012","9","31,500","15","2017"," ","20201228"
"광주광역시 남구 봉선동","1095","1095","0","에이치알아팰리스","84.9","202012","26","25,000","6","2017"," ",""
"광주광역시 남구 봉선동","1095","1095","0","에이치알아팰리스","84.96","202101","16","28,000","3","2017"," ",""
"광주광역시 남구 봉선동","1095","1095","0","에이치알아팰리스","84.97","202101","22","31,500","13","2017"," ","20210126"
"광주광역시 남구 봉선동","1095","1095","0","에이치알아팰리스","84.97","202101","22","31,500","13","2017"," ",""
"광주광역시 남구 봉선동","1095","1095","0","에이치알아팰리스","84.96","202102","19","31,500","10","2017"," ",""
"광주광역시 남구 월산동","997-4","997","4","동강오피스빌","23.8","202003","28","2,800","8","2002","대남대로 351",""
"광주광역시 남구 월산동","997-4","997","4","동강오피스빌","23.8","202009","4","2,000","9","2002","대남대로 351",""
"광주광역시 남구 월산동","997-4","997","4","동강오피스빌","24.95","202009","12","2,700","5","2002","대남대로 351",""
"광주광역시 남구 월산동","997-4","997","4","동강오피스빌","22.6","202101","5","1,600","9","2002","대남대로 351",""
"광주광역시 남구 주월동","957-1","957","1","주월동 홀리어스 오피스텔","25.7","202009","14","13,112","6","2020","대남대로 219",""
"광주광역시 남구 주월동","957-1","957","1","주월동 홀리어스 오피스텔","62.64","202012","25","35,700","14","2020","대남대로 219",""
"광주광역시 동구 금남로5가","154-1","154","1","금남로 AM-City 하이클래스","23.14","202010","29","5,500","4","2014","금남로 185",""
"광주광역시 동구 금남로5가","154-1","154","1","금남로 AM-City 하이클래스","24.49","202011","28","5,700","5","2014","금남로 185",""
"광주광역시 동구 금남로5가","154-1","154","1","금남로 AM-City 하이클래스","24.49","202102","18","6,000","5","2014","금남로 185",""
"광주광역시 동구 대인동","41-4","41","4","	(41-4)	","29.88","202004","29","5,850","3","2010","구성로204번길 9",""
"광주광역시 동구 대인동","41-4","41","4","	(41-4)	","29.88","202007","2","6,400","6","2010","구성로204번길 9",""
"광주광역시 동구 대인동","97-1","97","1","	(97-1)	","40.42","202004","6","3,100","6","1991","구성로194번길 7",""
"광주광역시 동구 대인동","97-1","97","1","	(97-1)	","52.64","202102","25","2,000","6","1991","구성로194번길 7",""
"광주광역시 동구 대인동","150","150","0","영무 파라드 오피스텔","25.43","202007","7","9,800","4","2019","구성로204번길 20",""
"광주광역시 동구 대인동","150","150","0","영무 파라드 오피스텔","25.43","202008","11","10,000","3","2019","구성로204번길 20",""
"광주광역시 동구 동명동","200-14","200","14","	(200-14)	","23.58","202004","16","2,800","1","1973","동계천로 105",""
"광주광역시 동구 동명동","200-14","200","14","	(200-14)	","23.62","202011","27","3,450","1","1973","동계천로 105",""
"광주광역시 동구 동명동","200-14","200","14","	(200-14)	","23.68","202101","25","2,800","2","1973","동계천로 105",""
"광주광역시 동구 동명동","245-16","245","16","동명동 센트럴파크","49.32","202010","30","24,850","16","2020","중앙로 248",""
