"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"광주광역시 광산구 선암동","574","0574","0000","라움오피스텔","월세","32.73","202007","28","5,000","43","7","2020","선운로20번길 59"
"광주광역시 광산구 선암동","574","0574","0000","라움오피스텔","월세","24.68","202009","1","1,000","45","5","2020","선운로20번길 59"
"광주광역시 광산구 송정동","760-19","0760","0019","(760-19)","전세","29.6","202003","30","7,500","0","3","2019","광산로 71-9"
"광주광역시 광산구 송정동","929-9","0929","0009","중앙센트럴시티","월세","21.85","202003","11","2,500","20","8","2018","평동로1120번길 12"
"광주광역시 광산구 송정동","929-9","0929","0009","중앙센트럴시티","전세","21.85","202003","14","5,100","0","12","2018","평동로1120번길 12"
"광주광역시 광산구 송정동","929-9","0929","0009","중앙센트럴시티","월세","20.55","202005","13","500","32","7","2018","평동로1120번길 12"
"광주광역시 광산구 송정동","929-9","0929","0009","중앙센트럴시티","전세","20.55","202007","20","6,000","0","6","2018","평동로1120번길 12"
"광주광역시 광산구 송정동","929-9","0929","0009","중앙센트럴시티","전세","59.3","202009","12","12,000","0","4","2018","평동로1120번길 12"
"광주광역시 광산구 송정동","929-9","0929","0009","중앙센트럴시티","전세","59.3","202010","28","12,000","0","11","2018","평동로1120번길 12"
"광주광역시 광산구 송정동","929-9","0929","0009","중앙센트럴시티","전세","59.3","202011","9","11,000","0","8","2018","평동로1120번길 12"
"광주광역시 광산구 송정동","929-9","0929","0009","중앙센트럴시티","전세","59.3","202011","25","12,000","0","5","2018","평동로1120번길 12"
"광주광역시 광산구 송정동","929-9","0929","0009","중앙센트럴시티","전세","59.3","202011","27","11,000","0","10","2018","평동로1120번길 12"
"광주광역시 광산구 송정동","929-9","0929","0009","중앙센트럴시티","전세","59.3","202012","3","13,000","0","6","2018","평동로1120번길 12"
"광주광역시 광산구 송정동","929-9","0929","0009","중앙센트럴시티","전세","59.3","202012","5","13,000","0","12","2018","평동로1120번길 12"
"광주광역시 광산구 송정동","763-12","0763","0012","펠릭스골드 주상복합","월세","26.59","202008","25","300","35","3","2017","광산로 61"
"광주광역시 광산구 송정동","763-12","0763","0012","펠릭스골드 주상복합","월세","25.8","202012","7","300","35","2","2017","광산로 61"
