"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분","해제사유발생일"
"광주광역시 북구 용강동","1**","답","개발제한구역","8m미만","202002","29","1350","12,438"," ",""
"광주광역시 북구 용강동","1**","답","개발제한구역","8m미만","202002","29","1825","16,815"," ",""
"광주광역시 서구 양동","2**","구거","일반상업지역","-","202002","29","13.03","2,000","지분",""
"광주광역시 서구 양동","2**","도로","일반상업지역","-","202002","29","7.98","500","지분",""
"광주광역시 북구 용강동","1**","답","개발제한구역","8m미만","202002","29","895","8,246"," ",""
"광주광역시 서구 매월동","산1**","임야","개발제한구역","-","202002","29","1421","8,600"," ",""
"광주광역시 북구 망월동","7**","답","개발제한구역","8m미만","202003","1","2327","53,000"," ",""
"광주광역시 광산구 연산동","5**","전","개발제한구역","-","202003","2","94","1,120"," ",""
"광주광역시 서구 광천동","1*","대","일반상업지역","8m미만","202003","2","218","125,000"," ",""
"광주광역시 동구 학동","2**","대","제1종일반주거지역","8m미만","202003","2","149","13,500"," ",""
"광주광역시 북구 양산동","2**","대","제2종일반주거지역","8m미만","202003","2","161","14,000"," ",""
"광주광역시 서구 서창동","5**","대","제2종일반주거지역","8m미만","202003","2","141","14,920"," ",""
"광주광역시 서구 광천동","1*","대","일반상업지역","8m미만","202003","2","109","15,369"," ",""
"광주광역시 광산구 삼도동","1**","답","개발제한구역","8m미만","202003","2","3040","15,635"," ",""
"광주광역시 서구 양동","3**","도로","제3종일반주거지역","-","202003","2","82.5","16,840","지분",""
"광주광역시 서구 광천동","1*","주차장","일반상업지역","25m미만","202003","2","281","168,741"," ",""
"광주광역시 광산구 송산동","2**","답","개발제한구역","8m미만","202003","2","34","189"," ",""
"광주광역시 서구 양동","3**","도로","제3종일반주거지역","-","202003","2","11.5","2,350","지분",""
"광주광역시 서구 광천동","1*","도로","일반상업지역","-","202003","2","4","2,402"," ",""
"광주광역시 북구 청풍동","5*","대","개발제한구역","8m미만","202003","2","506.67","2,500","지분",""
"광주광역시 광산구 월전동","1**","답","생산녹지지역","25m이상","202003","2","2756","205,000"," ","20200410"
"광주광역시 서구 서창동","산1*","임야","제2종일반주거지역","-","202003","2","332","22,640"," ",""
"광주광역시 광산구 연산동","5**","전","개발제한구역","-","202003","2","23","280"," ",""
"광주광역시 서구 서창동","산1*","임야","제2종일반주거지역","8m미만","202003","2","297","31,440"," ",""
"광주광역시 광산구 신룡동","4**","대","개발제한구역","8m미만","202003","2","188","4,600"," ",""
"광주광역시 광산구 삼도동","1**","답","개발제한구역","8m미만","202003","2","950","4,884"," ",""
"광주광역시 북구 오치동","2**","전","개발제한구역","8m미만","202003","2","1574","45,220"," ",""
"광주광역시 서구 광천동","1*","대","일반상업지역","8m미만","202003","2","352","49,631"," ",""
"광주광역시 서구 광천동","1*","주차장","일반상업지역","25m미만","202003","2","914","548,857"," ",""
"광주광역시 광산구 수완동","3**","도로","자연녹지지역","-","202003","2","68.53","6,500","지분",""
"광주광역시 서구 광천동","1*","대","일반상업지역","8m미만","202003","2","218","63,500"," ","20200504"
"광주광역시 남구 양과동","4**","전","개발제한구역","8m미만","202003","2","783","7,104"," ",""
"광주광역시 서구 양동","3**","도로","제3종일반주거지역","-","202003","2","3.5","710","지분",""
"광주광역시 광산구 송산동","2**","답","개발제한구역","8m미만","202003","2","128","727"," ",""
"광주광역시 북구 청풍동","5**","대","제1종일반주거지역","8m미만","202003","2","357","8,000"," ",""
"광주광역시 광산구 송촌동","3**","도로","자연녹지지역","-","202003","3","46","1,140"," ",""
"광주광역시 광산구 수완동","3*","주유소용지","자연녹지지역","25m이상","202003","3","15","1,225"," ",""
"광주광역시 광산구 수완동","3*","주유소용지","자연녹지지역","25m이상","202003","3","17","1,439"," ",""
"광주광역시 서구 광천동","9*","도로","제3종일반주거지역","-","202003","3","7","1,500"," ",""
"광주광역시 남구 양림동","1**","도로","제1종일반주거지역","8m미만","202003","3","92","1,800"," ",""
"광주광역시 서구 쌍촌동","8**","묘지","제2종일반주거지역","-","202003","3","48","10,313"," ",""
"광주광역시 서구 쌍촌동","1***","대","제2종일반주거지역","8m미만","202003","3","132","11,500"," ",""
"광주광역시 남구 양촌동","2**","답","개발제한구역","8m미만","202003","3","1355","15,580"," ",""
"광주광역시 광산구 송산동","2**","답","개발제한구역","8m미만","202003","3","2940","17,780"," ",""
"광주광역시 광산구 양동","산1**","임야","보전관리지역","8m미만","202003","3","6368","23,116","지분",""
"광주광역시 광산구 송촌동","3**","전","자연녹지지역","-","202003","3","7","240"," ",""
"광주광역시 광산구 삼도동","3**","전","개발제한구역","-","202003","3","2380","25,000"," ",""
"광주광역시 북구 각화동","2**","답","제2종일반주거지역","-","202003","3","237","28,000"," ",""
"광주광역시 광산구 지정동","1***","답","개발제한구역","8m미만","202003","3","52","286"," ",""
"광주광역시 북구 효령동","2**","도로","개발제한구역","25m미만","202003","3","101","3,000"," ","20200331"
"광주광역시 서구 광천동","5**","도로","제3종일반주거지역","-","202003","3","27.63","3,500","지분",""
"광주광역시 광산구 송촌동","3**","전","자연녹지지역","8m미만","202003","3","925","31,790"," ",""
"광주광역시 서구 마륵동","1**","답","생산녹지지역","-","202003","3","188","39,034"," ",""
"광주광역시 동구 내남동","3**","답","개발제한구역","-","202003","3","1223","4,000"," ",""
"광주광역시 서구 용두동","산6*","임야","개발제한구역","-","202003","3","13781","45,856"," ",""
"광주광역시 서구 쌍촌동","8**","전","제2종일반주거지역","-","202003","3","250","53,713"," ",""
"광주광역시 서구 마륵동","2**","답","자연녹지지역","8m미만","202003","3","10","690"," ",""
"광주광역시 북구 효령동","1**","대","제1종일반주거지역","8m미만","202003","3","165","7,600"," ",""
"광주광역시 북구 각화동","2**","답","제2종일반주거지역","12m미만","202003","3","634","76,000"," ",""
"광주광역시 북구 각화동","2**","답","제2종일반주거지역","-","202003","3","75","8,400"," ",""
"광주광역시 북구 효령동","4**","답","개발제한구역","8m미만","202003","4","149","1,300"," ",""
"광주광역시 광산구 오산동","6**","전","제1종일반주거지역","8m미만","202003","4","13","100"," ",""
"광주광역시 광산구 오산동","6**","전","제1종일반주거지역","-","202003","4","680","11,700"," ",""
"광주광역시 북구 효령동","4**","답","개발제한구역","8m미만","202003","4","1732","15,200"," ",""
"광주광역시 북구 각화동","5**","대","제2종일반주거지역","12m미만","202003","4","134.3","17,600"," ",""
"광주광역시 북구 효령동","4**","답","개발제한구역","8m미만","202003","4","241","2,110"," ",""
"광주광역시 광산구 지평동","4**","답","개발제한구역","25m미만","202003","4","1430","24,600"," ",""
"광주광역시 광산구 남산동","2**","임야","개발제한구역","-","202003","4","2010","4,864"," ",""
"광주광역시 광산구 하남동","5**","공장용지","일반공업지역","-","202003","4","9496.8","538,120"," ",""
"광주광역시 북구 각화동","5**","대","제2종일반주거지역","12m미만","202003","4","49.4","6,400"," ",""
"광주광역시 광산구 남산동","2**","전","개발제한구역","8m미만","202003","4","3471","8,400"," ",""
"광주광역시 광산구 남산동","2**","임야","개발제한구역","-","202003","4","3679","8,904"," ",""
"광주광역시 광산구 삼도동","8**","답","개발제한구역","8m미만","202003","4","1629","9,600"," ",""
"광주광역시 북구 장등동","8**","전","개발제한구역","8m미만","202003","5","155","1,000"," ",""
"광주광역시 광산구 도덕동","2**","임야","개발제한구역","-","202003","5","249","1,010"," ",""
"광주광역시 광산구 도덕동","2**","임야","개발제한구역","-","202003","5","249","1,010"," ","20200420"
"광주광역시 동구 산수동","2*","대","제1종일반주거지역","8m미만","202003","5","165","10,000"," ",""
"광주광역시 북구 북동","9*","대","일반상업지역","8m미만","202003","5","128.9","11,960"," ",""
"광주광역시 광산구 도덕동","2**","대","제1종일반주거지역","25m미만","202003","5","468","19,639"," ","20200420"
"광주광역시 광산구 도덕동","2**","대","제1종일반주거지역","25m미만","202003","5","468","19,639"," ",""
"광주광역시 광산구 도덕동","2**","대","제1종일반주거지역","25m미만","202003","5","57","2,351"," ",""
"광주광역시 광산구 도덕동","2**","대","제1종일반주거지역","25m미만","202003","5","57","2,351"," ","20200420"
"광주광역시 서구 화정동","1**","도로","준주거지역","-","202003","5","269","25,000"," ",""
"광주광역시 광산구 송정동","5**","대","일반상업지역","12m미만","202003","5","21.5","3,000","지분",""
"광주광역시 동구 산수동","4**","대","제1종일반주거지역","8m미만","202003","5","49","4,000"," ",""
"광주광역시 서구 매월동","산1*","임야","자연녹지지역","-","202003","5","625","42,090"," ",""
"광주광역시 광산구 안청동","2**","대","제1종일반주거지역","8m미만","202003","5","379","43,700"," ",""
"광주광역시 서구 광천동","1**","도로","제3종일반주거지역","-","202003","6","10.67","1,000","지분",""
"광주광역시 광산구 임곡동","산7*","임야","개발제한구역","8m미만","202003","6","397","1,000"," ",""
