"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"대구광역시 남구 대명동","1**","다가구","12m미만","156.18","44","202007","30","8,719","1995","중앙대로21길",""
"대구광역시 남구 대명동","1*","다가구","8m미만","65.9","45","202005","11","7,800","1995","중앙대로38길",""
"대구광역시 남구 대명동","1*","다가구","8m미만","53.2","48","202005","27","6,200","1993","중앙대로38길",""
"대구광역시 남구 대명동","1**","다가구","12m미만","126.33","49.7","202007","30","45,000","1995","중앙대로21길",""
"대구광역시 남구 대명동","1*","다가구","8m미만","57.58","50","202012","5","8,000","1991","중앙대로40길",""
"대구광역시 남구 대명동","1*","다가구","12m미만","59.98","52","202012","17","13,480","1993","봉덕로1길",""
"대구광역시 남구 대명동","2***","다가구","8m미만","146.27","58.8","202101","12","10,850","1994","성당로48길",""
"대구광역시 남구 대명동","1*","다가구","12m미만","111.54","69","202010","19","26,000","1993","중앙대로40길",""
"대구광역시 남구 대명동","2***","다가구","8m미만","117.53","74","202007","29","10,500","1992","계명5길",""
"대구광역시 남구 대명동","1**","다가구","12m미만","177.6","74","202007","30","70,000","1995","중앙대로21길",""
