"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분","해제사유발생일"
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","74.7212","45,229","5","202003","1","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","84.6442","54,149","3","202003","7","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","49.7491","31,940","15","202004","3","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","74.7212","43,890","3","202004","4","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","84.6442","46,619","2","202004","8","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","49.7491","31,839","14","202004","11","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","49.7491","31,357","4","202004","12","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","74.7212","43,230","2","202004","17","분","20200506"
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","74.7212","49,810","12","202004","17","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","74.7212","43,230","2","202004","17","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","74.7212","47,569","14","202004","18","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","49.7491","31,340","16","202004","18","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","74.7212","45,069","13","202004","22","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","84.6442","37,465","16","202004","24","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","49.7491","32,150","6","202005","2","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","84.6442","51,220","6","202005","10","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","84.6442","48,029","8","202005","18","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","75.3276","49,429","22","202005","20","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","59.8437","35,610","22","202005","24","입",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","49.7491","31,140","11","202005","27","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","49.7491","29,770","2","202006","5","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","84.6442","57,120","9","202006","19","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","49.7491","33,640","10","202006","24","분",""
"대구광역시 남구 대명동","1959-27","교대역 하늘채 뉴센트원","74.7212","46,509","9","202006","27","분",""
