"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"대구광역시 남구 대명동","일반","1***","성당로","일반상업","제2종근린생활","25m이상","492.82","1011.60","399,809","null","202003","2"," ","1981",""
"대구광역시 남구 대명동","일반","1**","-","일반상업","제2종근린생활","25m이상","310.03","823.40","340,000","null","202003","2"," ","2001",""
"대구광역시 남구 대명동","일반","4**","앞산순환로","제1종일반주거","제2종근린생활","25m미만","1264.02","628.00","188,985","null","202003","2"," ","2003",""
"대구광역시 남구 대명동","일반","1***","대명복개로","일반상업","업무","25m미만","113.84","508.40","159,464","null","202003","2"," ","1982",""
"대구광역시 남구 대명동","일반","4**","앞산순환로","제1종일반주거","제1종근린생활","25m미만","1097.02","909.00","285,000","null","202003","2"," ","2003",""
"대구광역시 남구 대명동","일반","5*","백의2길","제2종일반주거","제1종근린생활","8m미만","473.81","189.80","71,000","null","202003","6"," ","1989",""
"대구광역시 남구 대명동","일반","1***","현충로","근린상업","제1종근린생활","25m이상","410.65","152.10","64,000","null","202003","19"," ","1984",""
"대구광역시 남구 대명동","일반","4**","-","준주거","제1종근린생활","8m미만","13.49","15.50","2,600","null","202004","2"," ","1971",""
"대구광역시 남구 대명동","일반","4**","-","준주거","제1종근린생활","8m미만","13.49","14.20","2,600","null","202004","2"," ","1971",""
"대구광역시 남구 대명동","집합","1***","현충로","근린상업","제1종근린생활","25m이상","34.37"," ","20,300","1","202004","4"," ","2006",""
"대구광역시 남구 대명동","집합","1***","관문시장2길","준주거","업무","12m미만","25.88"," ","19,500","5","202004","17"," ","1971","20200507"
"대구광역시 남구 대명동","집합","6**","큰골길","제1종일반주거","제1종근린생활","25m미만","92.27"," ","39,000","1","202004","18"," ","2014",""
"대구광역시 남구 대명동","일반","5**","앞산순환로","제1종일반주거","제2종근린생활","25m미만","947.52","1175.90","345,000","null","202004","22"," ","1989",""
"대구광역시 남구 대명동","집합","7**","대명로","제3종일반주거","제1종근린생활","25m이상","36.03"," ","17,500","null","202004","24"," ","1979","20200527"
"대구광역시 남구 대명동","집합","1***","영선시장2길","제2종일반주거","제1종근린생활","12m미만","49.3"," ","4,000","null","202004","28"," ","1996",""
"대구광역시 남구 대명동","일반","2***","명덕로12길","제2종일반주거","제1종근린생활","8m미만","134.93","120.00","23,500","null","202004","28"," ","1997",""
"대구광역시 남구 대명동","집합","7**","대명로","제3종일반주거","제1종근린생활","25m이상","36.03"," ","17,500","null","202004","29"," ","1979",""
"대구광역시 남구 대명동","집합","1***","관문시장2길","준주거","업무","12m미만","25.88"," ","19,500","5","202005","7"," ","1971",""
"대구광역시 남구 대명동","일반","2***","명덕로14길","근린상업","제1종근린생활","12m미만","27.58","16.93","4,500","null","202005","12"," ","1977",""
"대구광역시 남구 대명동","일반","2***","성당로60길","근린상업","제1종근린생활","12m미만","122.98","68.80","21,500","null","202005","17"," ","1969",""
"대구광역시 남구 대명동","일반","1***","현충로","근린상업","제1종근린생활","25m이상","975.59","386.40","130,000","null","202005","20"," ","1990",""
"대구광역시 남구 대명동","일반","1***","장전3길","제2종일반주거","제2종근린생활","12m미만","244.78","138.50","42,000","null","202005","21"," ","1990",""
"대구광역시 남구 대명동","일반","2**","대명로","일반상업","제1종근린생활","25m이상","992.35","318.60","280,000","null","202005","22"," ","1990","20200626"
"대구광역시 남구 대명동","일반","2**","대명로","일반상업","제1종근린생활","25m이상","992.35","318.60","280,000","null","202005","22"," ","1990","20200626"
"대구광역시 남구 대명동","집합","1***","대명로","일반상업","제1종근린생활","25m이상","148.11"," ","55,300","2","202005","22"," ","2018",""
"대구광역시 남구 대명동","일반","2***","명덕로12길","제3종일반주거","제1종근린생활","8m미만","137.97","125.20","30,700","null","202005","29"," ","1990",""
"대구광역시 남구 대명동","일반","8**","장전3길","제2종일반주거","제1종근린생활","12m미만","116","112.90","28,000","null","202005","30"," ","1978",""
"대구광역시 남구 대명동","집합","1***","대명로","근린상업","제2종근린생활","25m이상","58.56"," ","35,000","null","202006","1"," ","1989","20200626"
"대구광역시 남구 대명동","집합","1***","대명로","근린상업","제2종근린생활","25m이상","58.56"," ","35,000","null","202006","1"," ","1989",""
"대구광역시 남구 대명동","일반","5*","명덕시장길","일반상업","업무","12m미만","1999.72","821.20","250,000","null","202006","4"," ","1991",""
"대구광역시 남구 대명동","일반","5*","명덕시장길","일반상업","업무","12m미만","1999.72","821.20","250,000","null","202006","4"," ","1991","20201119"
"대구광역시 남구 대명동","일반","7**","-","준주거","제1종근린생활","8m미만","22.21","14.20","2,000","null","202006","11"," ","1971",""
"대구광역시 남구 대명동","일반","2***","명덕로14길","근린상업","제1종근린생활","12m미만","27.58","16.93","1,500","null","202006","14"," ","1977",""
"대구광역시 남구 대명동","일반","1***","현충로","근린상업","제1종근린생활","25m이상","989.77","408.90","117,800","null","202006","15"," ","1973",""
"대구광역시 남구 대명동","일반","5**","대명로14길","제1종일반주거","제2종근린생활","25m미만","182.16","492.20","148,500","null","202006","15"," ","1992","20200713"
"대구광역시 남구 대명동","일반","7**","대명남로","제1종일반주거","제2종근린생활","25m미만","492.4","391.70","130,000","null","202006","17"," ","2009",""
"대구광역시 남구 대명동","일반","3**","현충로16길","제2종일반주거","제2종근린생활","8m미만","131.87","179.80","48,200","null","202006","17"," ","1978",""
"대구광역시 남구 대명동","일반","3***","성당시장길","제2종일반주거","제2종근린생활","12m미만","194.38","204.10","35,000","null","202006","18"," ","1980",""
"대구광역시 남구 대명동","일반","2**","대명로","일반상업","제2종근린생활","25m이상","536.72","192.40","215,000","null","202006","25"," ","1996",""
"대구광역시 남구 대명동","일반","2**","대명로","일반상업","제2종근린생활","25m이상","892.5","311.00","405,000","null","202006","25"," ","2004",""
"대구광역시 남구 대명동","일반","2**","대명로","일반상업","제1종근린생활","25m이상","992.35","318.60","280,000","null","202006","25"," ","1990",""
"대구광역시 남구 대명동","집합","1***","대명로","근린상업","제1종근린생활","25m이상","17.94"," ","7,700","null","202006","27"," ","1989",""
