"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대구광역시 남구 대명동","15-14","0015","0014","(15-14)","28.83","31.42","202005","6","3,000","1","1994","영선시장2길 6-6","20200506"
"대구광역시 남구 대명동","15-14","0015","0014","(15-14)","28.83","31.42","202005","6","2,700","1","1994","영선시장2길 6-6",""
"대구광역시 남구 대명동","15-14","0015","0014","(15-14)","45.21","16.54","202006","27","7,800","2","1994","영선시장2길 6-6",""
"대구광역시 남구 대명동","15-14","0015","0014","(15-14)","39.95","16.54","202011","24","7,600","2","1994","영선시장2길 6-6",""
"대구광역시 남구 대명동","15-14","0015","0014","(15-14)","39.95","16.54","202102","20","7,550","3","1994","영선시장2길 6-6",""
"대구광역시 남구 대명동","15-154","0015","0154","(15-154)","42.48","19.89","202011","13","8,900","2","1995","중앙대로40길 39",""
"대구광역시 남구 대명동","15-44","0015","0044","(15-44)","59.06","19.73","202101","7","9,000","4","1994","영선시장2길 5-9",""
"대구광역시 남구 대명동","15-44","0015","0044","(15-44)","50.76","16.97","202101","7","7,800","4","1994","영선시장2길 5-9","20210119"
"대구광역시 남구 대명동","15-44","0015","0044","(15-44)","50.76","16.97","202101","7","7,800","4","1994","영선시장2길 5-9",""
"대구광역시 남구 대명동","17-70","0017","0070","(17-70)","52.94","23","202011","18","5,950","2","1993","중앙대로38길 30-4",""
"대구광역시 남구 대명동","1987-8","1987","0008","(1987-8)","43.98","17.62","202007","3","4,800","2","1995","영선시장1길 16-12",""
"대구광역시 남구 대명동","2246-1","2246","0001","(2246-1)","24.52","13","202006","24","2,498","3","1994","명덕로20길 56",""
"대구광역시 남구 대명동","2246-1","2246","0001","(2246-1)","24.52","13","202006","24","2,393","1","1994","명덕로20길 56",""
"대구광역시 남구 대명동","2246-1","2246","0001","(2246-1)","24.52","13","202006","24","2,610","2","1994","명덕로20길 56",""
"대구광역시 남구 대명동","2246-22","2246","0022","(2246-22)","33.19","22.8","202012","17","3,500","1","1993","계명3길 30-5",""
"대구광역시 남구 대명동","2246-32","2246","0032","(2246-32)","47.23","24","202010","24","4,500","2","1993","계명3길 24-7",""
"대구광역시 남구 대명동","2246-32","2246","0032","(2246-32)","37.89","19.15","202010","24","3,200","1","1993","계명3길 24-7",""
"대구광역시 남구 대명동","2246-32","2246","0032","(2246-32)","37.89","19.15","202010","24","3,000","2","1993","계명3길 24-7",""
"대구광역시 남구 대명동","2246-32","2246","0032","(2246-32)","47.23","24","202010","24","4,800","1","1993","계명3길 24-7",""
"대구광역시 남구 대명동","2247-2","2247","0002","(2247-2)","47","18.85","202005","17","8,250","1","1995","계명2길 42",""
"대구광역시 남구 대명동","2247-7","2247","0007","(2247-7)","59.58","26.14","202003","18","13,000","3","1994","계명3길 21",""
"대구광역시 남구 대명동","2247-7","2247","0007","(2247-7)","59.58","26.14","202007","2","12,500","4","1994","계명3길 21",""
"대구광역시 남구 대명동","2247-7","2247","0007","(2247-7)","37.58","16.48","202012","13","9,250","1","1994","계명3길 21",""
"대구광역시 남구 대명동","2248-36","2248","0036","(2248-36)","37.63","13.64","202007","6","3,200","3","1996","명덕로18길 58",""
"대구광역시 남구 대명동","2248-36","2248","0036","(2248-36)","37.63","13.64","202012","8","3,800","3","1996","명덕로18길 58",""
"대구광역시 남구 대명동","2251-9","2251","0009","(2251-9)","50.97","25.13","202101","13","9,700","3","1993","계명4길 14-9",""
