"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"대구광역시 남구 대명동","15-51","0015","0051","(15-51)","월세","55.85","202101","9","5,000","10","2","1993","영선시장2길 5-10"
"대구광역시 남구 대명동","15-91","0015","0091","(15-91)","전세","35.77","202004","9","3,700","0","2","1994","중앙대로40길 35"
"대구광역시 남구 대명동","15-91","0015","0091","(15-91)","전세","34.71","202005","27","3,500","0","2","1994","중앙대로40길 35"
"대구광역시 남구 대명동","2247-13","2247","0013","(2247-13)","전세","47.17","202011","10","3,600","0","3","1995","명덕로18길 53"
"대구광역시 남구 대명동","2247-2","2247","0002","(2247-2)","월세","47","202010","19","500","30","1","1995","계명2길 42"
"대구광역시 남구 대명동","2250-34","2250","0034","(2250-34)","전세","23.25","202011","7","2,200","0","1","1996","계명4길 5-7"
"대구광역시 남구 대명동","2250-34","2250","0034","(2250-34)","전세","42.99","202011","7","3,500","0","1","1996","계명4길 5-7"
"대구광역시 남구 대명동","2251-14","2251","0014","(2251-14)","전세","47.42","202012","9","1,200","0","2","1992","계명5길 35"
"대구광역시 남구 대명동","2251-46","2251","0046","(2251-46)","전세","47.34","202003","20","3,600","0","1","1994","계명4길 14-7"
"대구광역시 남구 대명동","2252-5","2252","0005","(2252-5)","전세","40.65","202011","10","3,000","0","2","1995","명덕로18길 94"
