"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"대구광역시 남구 대명동","137-4","0137","0004","ADOS 오피스텔","전세","84.57","202101","19","25,000","0","3","2020","대명로57길 28"
"대구광역시 남구 대명동","457-8","0457","0008","대명 드림힐츠","전세","81.2","202006","21","20,000","0","7","2016","자유5길 58"
"대구광역시 남구 대명동","457-8","0457","0008","대명 드림힐츠","전세","81.77","202007","28","20,000","0","7","2016","자유5길 58"
"대구광역시 남구 대명동","457-8","0457","0008","대명 드림힐츠","전세","81.2","202012","10","20,000","0","6","2016","자유5길 58"
"대구광역시 남구 대명동","2014-211","2014","0211","리치카운티","전세","69.92","202005","13","20,000","0","8","null","중앙대로42길 46-6"
"대구광역시 남구 대명동","1122-2","1122","0002","성당못역 서원프레시빌","전세","29.67","202008","19","10,000","0","4","2018","대명로 20"
"대구광역시 남구 대명동","1122-2","1122","0002","성당못역 서원프레시빌","전세","49.62","202008","27","12,000","0","12","2018","대명로 20"
"대구광역시 남구 대명동","1122-2","1122","0002","성당못역 서원프레시빌","월세","29.88","202009","4","500","50","8","2018","대명로 20"
"대구광역시 남구 대명동","1122-2","1122","0002","성당못역 서원프레시빌","월세","29.67","202012","22","500","58","13","2018","대명로 20"
"대구광역시 남구 대명동","1122-2","1122","0002","성당못역 서원프레시빌","전세","29.67","202101","31","10,000","0","4","2018","대명로 20"
