"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분","해제사유발생일"
"대구광역시 달성군 가창면 상원리","산2*","임야","개발제한구역","8m미만","202002","29","661.16","1,380","지분",""
"대구광역시 달성군 다사읍 매곡리","4**","전","준주거지역","8m미만","202002","29","876","177,000","지분",""
"대구광역시 동구 효목동","1*","대","제2종일반주거지역","8m미만","202002","29","243","25,300"," ",""
"대구광역시 달성군 다사읍 매곡리","5**","답","준주거지역","8m미만","202002","29","155.38","31,000","지분",""
"대구광역시 수성구 수성동4가","1***","대","제3종일반주거지역","-","202003","1","6","1,300"," ",""
"대구광역시 동구 내곡동","3**","전","자연녹지지역","-","202003","1","642","11,640"," ",""
"대구광역시 수성구 수성동4가","1***","대","제3종일반주거지역","-","202003","1","1","400"," ",""
"대구광역시 수성구 수성동4가","1***","대","제3종일반주거지역","-","202003","1","2","800"," ",""
"대구광역시 동구 신암동","1**","도로","제3종일반주거지역","-","202003","2","9.53","1,000","지분",""
"대구광역시 중구 태평로3가","2**","대","중심상업지역","25m이상","202003","2","2007.2","1,600,000"," ",""
"대구광역시 북구 금호동","산7*","임야","개발제한구역","-","202003","2","6389","1,695"," ",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","12m미만","202003","2","16.46","1,967","지분",""
"대구광역시 동구 신기동","1**","도로","중심상업지역","-","202003","2","13.24","100","지분",""
"대구광역시 수성구 연호동","산2*","임야","개발제한구역","25m이상","202003","2","740","11,600"," ",""
"대구광역시 수성구 가천동","8**","답","개발제한구역","25m미만","202003","2","194","12,000"," ",""
"대구광역시 동구 신암동","4**","도로","제3종일반주거지역","-","202003","2","46.91","13,062","지분",""
"대구광역시 달성군 하빈면 동곡리","9*","답","개발제한구역","12m미만","202003","2","466","18,000"," ",""
"대구광역시 북구 동호동","2**","전","제2종일반주거지역","8m미만","202003","2","218","19,800"," ","20200403"
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","12m미만","202003","2","24.68","2,951","지분",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","-","202003","2","87.88","2,953","지분",""
"대구광역시 달성군 가창면 오리","3**","답","개발제한구역","8m미만","202003","2","1812","22,000"," ",""
"대구광역시 달서구 두류동","8**","대","제2종일반주거지역","8m미만","202003","2","76","23,060"," ",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","-","202003","2","100.09","3,833","지분",""
"대구광역시 북구 금호동","산1*","임야","개발제한구역","-","202003","2","127","34","지분",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","-","202003","2","131.82","4,429","지분",""
"대구광역시 남구 대명동","4**","도로","제1종일반주거지역","-","202003","2","84","4,515","지분",""
"대구광역시 달성군 구지면 가천리","3**","대","제2종일반주거지역","8m미만","202003","2","214","4,800"," ",""
"대구광역시 달성군 유가읍 봉리","5**","대","제1종일반주거지역","12m미만","202003","2","269.5","41,000"," ",""
"대구광역시 달성군 유가읍 양리","2**","답","자연녹지지역","8m미만","202003","2","1028","46,650"," ",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","-","202003","2","150.13","5,750","지분",""
"대구광역시 달성군 현풍읍 중리","4**","대","일반상업지역","25m이상","202003","2","1456.8","506,000"," ",""
"대구광역시 달성군 하빈면 동곡리","9*","답","개발제한구역","12m미만","202003","2","1624","62,000"," ",""
"대구광역시 북구 금호동","9*","답","개발제한구역","8m미만","202003","2","145","646"," ",""
"대구광역시 동구 신암동","4**","도로","제3종일반주거지역","-","202003","2","31.27","9,041","지분",""
"대구광역시 달성군 다사읍 매곡리","4**","도로","준주거지역","-","202003","3","1","1,500","지분",""
"대구광역시 수성구 수성동2가","5*","도로","제3종일반주거지역","8m미만","202003","3","22.3","1,560","지분",""
"대구광역시 수성구 시지동","산1*","임야","개발제한구역","-","202003","3","722.57","1,800"," ",""
"대구광역시 북구 검단동","1***","전","제2종일반주거지역","8m미만","202003","3","202","10,000"," ",""
"대구광역시 달성군 유가읍 용리","산1*","임야","농림지역","-","202003","3","6148.75","100","지분",""
"대구광역시 달성군 다사읍 매곡리","4**","도로","준주거지역","-","202003","3","1.33","2,000","지분",""
"대구광역시 달성군 옥포읍 신당리","7**","전","개발제한구역","-","202003","3","291","2,100"," ",""
"대구광역시 달성군 유가읍 양리","2**","답","자연녹지지역","-","202003","3","323","21,070"," ",""
"대구광역시 동구 지묘동","6**","전","개발제한구역","25m이상","202003","3","466","21,150"," ",""
"대구광역시 동구 내동","3**","전","개발제한구역","-","202003","3","1260","8,000"," ",""
"대구광역시 달성군 화원읍 본리리","2**","답","개발제한구역","25m미만","202003","4","74","1,804"," ",""
"대구광역시 동구 부동","5**","답","개발제한구역","8m미만","202003","4","364.88","10,700","지분",""
"대구광역시 동구 신용동","5**","답","보전녹지지역","8m미만","202003","4","1302","17,280"," ",""
"대구광역시 수성구 범어동","산1**","임야","자연녹지지역","-","202003","4","595","17,493","지분",""
"대구광역시 동구 검사동","9**","대","제3종일반주거지역","25m미만","202003","4","1.5","200","지분","20200811"
"대구광역시 달성군 화원읍 본리리","2**","답","개발제한구역","25m미만","202003","4","1050","26,076"," ",""
"대구광역시 달서구 본리동","*","대","중심상업지역","25m이상","202003","4","335","297,492"," ",""
"대구광역시 동구 괴전동","5**","대","제2종일반주거지역","-","202003","4","177","33,276"," ",""
"대구광역시 동구 서호동","1**","답","개발제한구역","8m미만","202003","4","939","36,900"," ",""
"대구광역시 달서구 본리동","*","대","중심상업지역","12m미만","202003","4","582.5","387,640"," ",""
"대구광역시 동구 신평동","4**","답","개발제한구역","8m미만","202003","4","1630","50,800"," ",""
"대구광역시 달서구 대곡동","1***","대","제1종일반주거지역","12m미만","202003","4","291.2","66,000"," ",""
"대구광역시 달성군 논공읍 노이리","3**","답","개발제한구역","8m미만","202003","5","476","1,500","지분",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","12m미만","202003","5","16.46","1,967","지분",""
"대구광역시 동구 송정동","3*","전","자연녹지지역","8m미만","202003","5","678","10,250"," ",""
"대구광역시 달성군 옥포읍 신당리","3**","답","개발제한구역","8m미만","202003","5","1750","13,000"," ",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","-","202003","5","87.88","2,953","지분",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","-","202003","5","952","23,134","지분",""
"대구광역시 북구 침산동","1***","대","제2종일반주거지역","12m미만","202003","5","200","26,500"," ",""
"대구광역시 중구 대봉동","4*","도로","제2종일반주거지역","-","202003","5","26","3,000"," ",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","-","202003","5","100.09","3,833","지분",""
"대구광역시 수성구 황금동","5**","답","제1종일반주거지역","12m미만","202003","5","640","75,000"," ",""
"대구광역시 북구 대현동","2**","도로","제2종일반주거지역","-","202003","5","8.27","80","지분",""
"대구광역시 중구 대봉동","4*","대","제2종일반주거지역","8m미만","202003","5","200","87,000"," ",""
"대구광역시 달성군 가창면 우록리","1***","전","자연녹지지역","-","202003","5","463","9,800"," ",""
"대구광역시 달성군 유가읍 음리","6*","답","자연녹지지역","-","202003","6","476","1,295"," ",""
"대구광역시 북구 사수동","산2*","임야","개발제한구역","-","202003","6","694","1,900"," ",""
"대구광역시 달성군 옥포읍 교항리","2***","답","개발제한구역","8m미만","202003","6","713","15,750"," ",""
"대구광역시 달성군 유가읍 음리","6*","도로","자연녹지지역","-","202003","6","58","2,100"," ",""
