"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명"
"대전광역시 대덕구 갈전동","2**","8m미만","16","월세","202008","24","50","20","1922","대청호수로"
"대전광역시 대덕구 대화동","3*","12m미만","24","월세","202003","10","200","18","2003","대화10길"
"대전광역시 대덕구 대화동","3*","12m미만","30","월세","202004","18","200","30","2017","대오길"
"대전광역시 대덕구 대화동","3*","8m미만","39.67","전세","202011","12","3,000","0","null","동심1길"
"대전광역시 대덕구 대화동","1*","12m미만","59.07","전세","202009","5","2,000","0","1979","대화15길"
"대전광역시 대덕구 대화동","1*","-","60.2","전세","202102","19","4,000","0","1977","null"
"대전광역시 대덕구 대화동","3*","8m미만","64.14","월세","202102","6","500","30","1998","동심1길"
"대전광역시 대덕구 대화동","3*","12m미만","66","전세","202008","10","3,800","0","2000","대오길"
"대전광역시 대덕구 대화동","3*","8m미만","66.05","월세","202010","31","2,000","15","2000","대화6길"
"대전광역시 대덕구 대화동","1*","8m미만","72.03","전세","202010","17","4,000","0","1976","대화14길"
"대전광역시 대덕구 대화동","1*","8m미만","73.28","전세","202005","22","5,500","0","null","대화12길"
"대전광역시 대덕구 대화동","1*","8m미만","76.66","전세","202008","21","1,800","0","1976","대화14길"
"대전광역시 대덕구 대화동","1*","8m미만","77.96","전세","202010","9","4,000","0","1976","대화14길"
"대전광역시 대덕구 대화동","3*","12m미만","86.65","전세","202008","4","1,700","0","2000","대오길"
"대전광역시 대덕구 대화동","3*","8m미만","104.39","전세","202012","29","2,000","0","1996","대화7길"
"대전광역시 대덕구 덕암동","6*","12m미만","16.5","월세","202102","18","300","25","2012","덕암로125번안길"
"대전광역시 대덕구 덕암동","5*","8m미만","20","전세","202012","12","3,500","0","2015","덕암로203번길"
"대전광역시 대덕구 덕암동","7*","8m미만","21","월세","202005","9","200","30","2016","덕암로159번길"
"대전광역시 대덕구 덕암동","5*","12m미만","22","전세","202008","25","3,000","0","2011","덕암로125번안길"
"대전광역시 대덕구 덕암동","*","8m미만","23","전세","202101","23","3,100","0","2018","덕암북로48번길"
"대전광역시 대덕구 덕암동","4*","12m미만","23.1","월세","202005","30","300","30","2017","덕암로234번길"
"대전광역시 대덕구 덕암동","2*","12m미만","23.14","월세","202008","24","200","40","2019","덕암로249번길"
"대전광역시 대덕구 덕암동","*","12m미만","24","월세","202006","25","300","30","2019","덕암북로48번길"
"대전광역시 대덕구 덕암동","*","12m미만","25","월세","202009","26","300","32","2011","덕암북로70번길"
"대전광역시 대덕구 덕암동","5*","12m미만","25","전세","202010","23","3,000","0","2011","덕암로125번안길"
"대전광역시 대덕구 덕암동","4*","8m미만","25","전세","202011","30","3,000","0","null","덕암로233번길"
"대전광역시 대덕구 덕암동","5*","8m미만","26","전세","202011","14","3,500","0","2015","덕암로203번길"
"대전광역시 대덕구 덕암동","4*","12m미만","26.4","월세","202004","27","300","30","2002","덕암로233번길"
"대전광역시 대덕구 덕암동","*","12m미만","26.4","전세","202003","7","6,800","0","2019","덕암북로70번길"
"대전광역시 대덕구 덕암동","5*","12m미만","26.4","전세","202011","30","5,500","0","2011","덕암로125번안길"
"대전광역시 대덕구 덕암동","5*","12m미만","26.4","전세","202011","30","5,500","0","2011","덕암로125번안길"
"대전광역시 대덕구 덕암동","7*","12m미만","26.44","전세","202004","24","3,000","0","2002","덕암로147번길"
"대전광역시 대덕구 덕암동","3*","12m미만","27","월세","202012","23","300","30","2015","덕암로233번길"
"대전광역시 대덕구 덕암동","5*","-","27","월세","202011","27","1,000","20","2011","null"
"대전광역시 대덕구 덕암동","4*","-","28","월세","202007","1","200","30","2017","null"
"대전광역시 대덕구 덕암동","*","12m미만","28","월세","202006","19","300","28","2015","덕암북로10번길"
"대전광역시 대덕구 덕암동","4*","12m미만","28","월세","202005","24","100","35","2016","덕암북로22번길"
"대전광역시 대덕구 덕암동","4*","-","28","전세","202012","21","4,500","0","2016","null"
"대전광역시 대덕구 덕암동","1*","12m미만","30","월세","202101","21","500","40","2017","덕암로258번길"
"대전광역시 대덕구 덕암동","5*","12m미만","30","전세","202101","16","6,000","0","null","덕암로125번안길"
"대전광역시 대덕구 덕암동","5*","12m미만","30","전세","202101","16","6,000","0","null","덕암로125번안길"
"대전광역시 대덕구 덕암동","1*","-","32","전세","202102","8","6,000","0","2015","null"
"대전광역시 대덕구 덕암동","7*","12m미만","33","월세","202007","1","2,000","47","1992","덕암로125번안길"
"대전광역시 대덕구 덕암동","*","12m미만","33","월세","202011","3","200","36","2011","덕암북로70번길"
"대전광역시 대덕구 덕암동","6*","12m미만","33","월세","202011","5","500","43","2019","덕암로173번길"
"대전광역시 대덕구 덕암동","5*","12m미만","33","월세","202004","15","3,000","20","2011","덕암로222번길"
"대전광역시 대덕구 덕암동","4*","-","35","월세","202008","27","100","30","2012","null"
"대전광역시 대덕구 덕암동","*","12m미만","35","월세","202006","29","300","39","2019","덕암북로48번길"
"대전광역시 대덕구 덕암동","4*","12m미만","35","전세","202006","17","6,000","0","2019","덕암로221번길"
"대전광역시 대덕구 덕암동","*","-","35.7","전세","202011","17","7,000","0","2019","null"
"대전광역시 대덕구 덕암동","4*","12m미만","38","월세","202009","5","200","35","2012","덕암로233번길"
"대전광역시 대덕구 덕암동","*","12m미만","40","전세","202102","4","6,000","0","2012","덕암북로70번길"
"대전광역시 대덕구 덕암동","7*","8m미만","40","전세","202012","21","7,000","0","2018","덕암로159번길"
"대전광역시 대덕구 덕암동","5*","8m미만","40","전세","202101","26","4,500","0","2015","덕암로203번길"
"대전광역시 대덕구 덕암동","*","12m미만","40.56","전세","202102","25","13,000","0","2021","덕암북로58번길"
"대전광역시 대덕구 덕암동","4*","12m미만","42","전세","202011","1","7,000","0","2012","덕암로233번길"
"대전광역시 대덕구 덕암동","4*","12m미만","42","전세","202011","18","8,000","0","2012","덕암로233번길"
"대전광역시 대덕구 덕암동","6*","12m미만","42","전세","202011","20","6,000","0","2012","덕암로125번안길"
"대전광역시 대덕구 덕암동","5*","12m미만","42.9","월세","202012","3","6,000","10","2011","덕암로125번안길"
"대전광역시 대덕구 덕암동","4*","12m미만","42.9","전세","202004","20","8,500","0","2017","덕암로234번길"
"대전광역시 대덕구 덕암동","4*","12m미만","42.9","전세","202004","20","8,500","0","2017","덕암로234번길"
"대전광역시 대덕구 덕암동","*","8m미만","43","월세","202007","11","1,000","30","2004","덕암북로48번길"
"대전광역시 대덕구 덕암동","*","12m미만","45","월세","202007","20","500","35","2011","덕암북로10번길"
"대전광역시 대덕구 덕암동","6*","12m미만","45","월세","202006","20","2,000","45","null","덕암로125번안길"
"대전광역시 대덕구 덕암동","*","12m미만","45","전세","202101","2","5,500","0","2011","덕암북로10번길"
"대전광역시 대덕구 덕암동","*","12m미만","45","전세","202009","16","6,000","0","2011","덕암북로10번길"
"대전광역시 대덕구 덕암동","1*","-","47","전세","202005","7","6,500","0","2015","null"
"대전광역시 대덕구 덕암동","1*","12m미만","47","전세","202005","7","6,500","0","2015","덕암로258번길"
"대전광역시 대덕구 덕암동","5*","12m미만","48","전세","202010","10","7,000","0","2011","덕암로125번안길"
"대전광역시 대덕구 덕암동","*","12m미만","48","전세","202003","19","6,500","0","2012","덕암북로70번길"
"대전광역시 대덕구 덕암동","1*","12m미만","48","전세","202007","26","8,000","0","2018","덕암북로72번길"
"대전광역시 대덕구 덕암동","6*","12m미만","48","전세","202009","28","7,000","0","2012","덕암로125번안길"
"대전광역시 대덕구 덕암동","*","8m미만","48.38","월세","202006","5","500","30","1996","덕암북로48번길"
"대전광역시 대덕구 덕암동","3*","12m미만","49","월세","202004","23","200","37","2002","덕암북로10번길"
"대전광역시 대덕구 덕암동","*","12m미만","49","월세","202009","29","1,000","25","1994","덕암북로70번길"
"대전광역시 대덕구 덕암동","6*","12m미만","49.5","월세","202005","21","4,000","27","2012","덕암로125번안길"
"대전광역시 대덕구 덕암동","4*","12m미만","49.5","월세","202010","31","500","35","2005","덕암북로22번길"
"대전광역시 대덕구 덕암동","*","12m미만","49.5","전세","202010","19","6,000","0","2011","덕암북로10번길"
"대전광역시 대덕구 덕암동","*","12m미만","49.53","월세","202011","3","1,000","38","2013","덕암북로58번길"
"대전광역시 대덕구 덕암동","*","12m미만","49.54","전세","202004","13","6,000","0","2011","덕암북로10번길"
"대전광역시 대덕구 덕암동","4*","12m미만","49.59","전세","202003","10","10,000","0","2017","덕암로234번길"
"대전광역시 대덕구 덕암동","4*","12m미만","49.59","전세","202102","14","9,500","0","2017","덕암로234번길"
"대전광역시 대덕구 덕암동","5*","12m미만","49.6","전세","202006","22","7,000","0","2011","덕암로125번안길"
"대전광역시 대덕구 덕암동","*","12m미만","50","월세","202009","16","2,000","37","2019","덕암북로22번길"
"대전광역시 대덕구 덕암동","1*","-","50","월세","202004","24","7,000","15","2018","null"
"대전광역시 대덕구 덕암동","1*","-","50","월세","202004","24","7,000","15","2018","null"
"대전광역시 대덕구 덕암동","6*","12m미만","50","월세","202006","25","2,000","45","2020","덕암로125번안길"
"대전광역시 대덕구 덕암동","6*","12m미만","50","전세","202003","3","9,500","0","2019","덕암로173번길"
"대전광역시 대덕구 덕암동","1*","12m미만","50","전세","202004","13","6,500","0","2015","덕암북로72번길"
"대전광역시 대덕구 덕암동","*","12m미만","50","전세","202102","24","13,000","0","2021","덕암북로58번길"
"대전광역시 대덕구 덕암동","*","12m미만","50","전세","202102","24","13,000","0","2021","덕암북로58번길"
"대전광역시 대덕구 덕암동","4*","12m미만","50.4","월세","202009","17","100","23","2017","덕암북로10번길"
"대전광역시 대덕구 덕암동","5*","8m미만","51.08","전세","202010","27","2,500","0","1991","덕암로125번안길"
"대전광역시 대덕구 덕암동","7*","12m미만","52.53","전세","202003","26","2,500","0","1992","덕암로153번길"
"대전광역시 대덕구 덕암동","5*","-","54","전세","202101","2","7,000","0","2011","null"
"대전광역시 대덕구 덕암동","*","12m미만","55","월세","202003","9","2,000","40","2020","덕암북로70번길"
"대전광역시 대덕구 덕암동","6*","12m미만","55","전세","202008","10","10,000","0","2020","덕암로125번안길"
"대전광역시 대덕구 덕암동","4*","12m미만","55.62","월세","202004","21","576","19","2017","덕암북로10번길"
"대전광역시 대덕구 덕암동","4*","12m미만","56","월세","202003","28","1,500","20","1997","덕암로222번길"
"대전광역시 대덕구 덕암동","7*","8m미만","56","전세","202008","13","9,000","0","2013","덕암로147번길"
"대전광역시 대덕구 덕암동","*","-","56.09","월세","202009","19","2,000","35","2019","null"
"대전광역시 대덕구 덕암동","*","12m미만","56.09","월세","202012","31","2,000","35","2019","덕암북로22번길"
"대전광역시 대덕구 덕암동","4*","12m미만","56.1","전세","202003","7","10,000","0","2017","덕암로234번길"
"대전광역시 대덕구 덕암동","4*","12m미만","56.1","전세","202003","24","10,000","0","2017","덕암로234번길"
"대전광역시 대덕구 덕암동","4*","-","56.1","전세","202004","26","10,000","0","2017","null"
