"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분","해제사유발생일"
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9808","49,010","10","202002","29","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","34,828","13","202002","29","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.967","44,580","11","202002","29","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9979","39,100","24","202003","6","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9808","42,730","5","202003","7","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","39,426","10","202003","9","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9744","33,399","21","202003","17","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9971","45,250","25","202003","28","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9808","45,995","24","202004","4","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9808","51,814","26","202004","8","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","38,370","5","202004","11","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.967","42,910","20","202004","16","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","43,000","27","202004","22","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9808","47,440","14","202004","24","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","39,850","6","202004","25","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9979","40,100","22","202005","2","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","42,185","11","202005","12","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","40,720","9","202005","15","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","42,655","28","202005","16","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.967","43,000","8","202005","18","입","20200717"
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","42,170","28","202005","21","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","43,115","16","202005","27","입","20201014"
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9971","51,825","6","202005","30","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9979","38,200","19","202006","1","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9744","34,000","22","202006","1","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9979","33,110","2","202006","2","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9971","43,814","1","202006","2","입","20200616"
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","38,500","3","202006","2","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9971","46,316","2","202006","2","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9971","43,814","1","202006","2","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","35,000","10","202006","2","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9744","34,400","8","202006","4","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","42,881","9","202006","6","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9744","35,000","9","202006","8","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","35,622","23","202006","8","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","35,394","21","202006","9","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9971","48,060","27","202006","10","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9744","35,555","11","202006","10","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","35,718","16","202006","11","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","32,294","4","202006","12","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","35,794","9","202006","13","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9808","45,680","5","202006","14","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9971","50,000","12","202006","15","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9971","44,390","7","202006","15","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9971","50,200","6","202006","18","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.967","42,910","23","202006","18","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.967","42,910","23","202006","18","분","20200618"
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9979","49,800","19","202006","18","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9979","38,100","29","202006","18","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9808","40,510","1","202006","23","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","45,320","29","202006","26","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","31,194","10","202006","26","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9744","35,405","8","202007","2","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","45,020","15","202007","2","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9979","43,120","28","202007","4","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","42,820","24","202007","7","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9744","35,955","5","202007","8","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","42,020","12","202007","9","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","36,895","19","202007","15","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9971","59,660","19","202007","18","분","20200728"
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9795","45,550","14","202007","18","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.9971","59,660","19","202007","18","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","84.967","48,225","16","202007","20","분",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","33,234","4","202007","22","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","74.9979","41,020","26","202007","28","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","34,014","4","202007","30","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9747","37,157","14","202008","3","입",""
"대전광역시 대덕구 법동","284-10","e편한세상 대전법동","59.9744","36,140","13","202008","4","입",""
