"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"대전광역시 대덕구 대화동","집합","2**","대화로","일반공업","판매","25m미만","22.85"," ","10,000","2","202003","2"," ","1997",""
"대전광역시 대덕구 대화동","집합","2**","대화로","일반공업","판매","25m미만","22.85"," ","10,000","2","202003","2"," ","1997",""
"대전광역시 대덕구 대화동","집합","2**","대화로","일반공업","판매","25m미만","27.06"," ","10,000","1","202003","2"," ","1997",""
"대전광역시 대덕구 대화동","집합","2**","대화로","일반공업","판매","25m미만","27.06"," ","10,000","1","202003","2"," ","1997",""
"대전광역시 대덕구 대화동","집합","2**","대화로","일반공업","판매","25m미만","22.85"," ","3,000","2","202003","6"," ","1997",""
"대전광역시 대덕구 대화동","집합","2**","대화로","일반공업","판매","25m미만","24.75"," ","6,800","1","202003","6"," ","1997",""
"대전광역시 대덕구 대화동","집합","2**","대화로","일반공업","판매","25m미만","24.75"," ","6,850","1","202003","16"," ","1997",""
"대전광역시 대덕구 대화동","집합","2**","대화로","일반공업","판매","25m미만","22.85"," ","3,300","3","202003","16"," ","1997",""
"대전광역시 대덕구 대화동","집합","2**","대화로","일반공업","판매","25m미만","22.85"," ","3,500","2","202003","16"," ","1997",""
"대전광역시 대덕구 대화동","집합","2**","대화로","일반공업","판매","25m미만","22.85"," ","3,500","3","202004","13"," ","1997",""
