"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"대전광역시 대덕구 대화동","34","0034","0000","YH드림타운C동","전세","54.24","202010","6","4,000","0","4","2003","대화1길 17-1"
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","전세","56.26","202005","15","3,500","0","1","1978","대전로 1247"
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","월세","56.26","202006","10","500","20","3","1978","대전로 1247"
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","전세","56.26","202006","20","3,500","0","2","1978","대전로 1247"
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","월세","56.26","202010","29","2,000","10","2","1978","대전로 1247"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","전세","72.675","202004","6","6,000","0","5","1985","대화로 19"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","월세","71.96","202005","27","500","30","4","1985","대화로 19"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","전세","72.675","202005","31","5,000","0","3","1985","대화로 19"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","전세","72.675","202006","8","5,500","0","5","1985","대화로 19"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","전세","71.96","202006","9","4,500","0","5","1985","대화로 19"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","전세","71.96","202006","12","6,000","0","5","1985","대화로 19"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","전세","62.085","202006","24","5,000","0","3","1985","대화로 19"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","전세","63.075","202006","26","5,000","0","3","1985","대화로 19"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","전세","71.96","202007","9","5,000","0","5","1985","대화로 19"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","전세","72.675","202011","7","4,500","0","1","1985","대화로 19"
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","전세","72.675","202102","15","6,500","0","3","1985","대화로 19"
"대전광역시 대덕구 대화동","40-67","0040","0067","대화","전세","49","202101","5","4,000","0","3","1979","대화로 53"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","202003","25","5,000","0","8","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","월세","32.3658","202003","30","2,000","20","10","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","202004","9","4,200","0","9","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","202004","17","5,000","0","4","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","202004","24","4,000","0","13","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","월세","35.8818","202004","25","500","30","6","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","202004","28","4,000","0","14","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","46.1031","202005","6","9,000","0","12","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","202005","7","5,000","0","3","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","202005","16","5,000","0","10","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","202005","17","4,000","0","7","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","202005","26","3,000","0","5","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","202006","6","5,000","0","6","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","202006","11","3,500","0","1","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","202006","20","4,500","0","9","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","202006","25","4,500","0","4","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","202006","25","4,500","0","4","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","202006","25","4,500","0","4","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","월세","35.8818","202007","6","500","25","10","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","202007","7","4,500","0","3","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","월세","32.3658","202007","15","500","27","6","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","월세","35.8818","202008","10","500","30","13","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","202008","10","4,200","0","12","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","202008","24","5,000","0","3","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","202008","29","5,500","0","8","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","202009","8","4,200","0","4","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","202009","10","4,200","0","3","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","202009","19","3,990","0","2","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","46.1031","202009","26","8,500","0","3","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","202009","27","4,000","0","12","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","월세","32.3658","202010","6","500","27","6","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","202010","18","4,000","0","12","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","월세","32.3658","202010","20","500","23","1","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","202011","25","4,700","0","2","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","월세","35.8818","202012","5","500","30","11","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3665","202012","9","4,200","0","12","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","202012","11","5,000","0","12","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","202012","28","4,800","0","2","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","32.3658","202101","9","4,000","0","13","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","202101","24","5,000","0","4","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","202101","26","5,000","0","6","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","202102","4","5,000","0","13","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","35.8818","202102","5","4,500","0","12","2001","대화1길 77"
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","전세","46.1031","202102","10","8,000","0","8","2001","대화1길 77"
