"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대전광역시 대덕구 대화동","29","0029","0000","(29-0)","40.84","51.25","202008","11","2,000","1","1984","동심1길 79",""
"대전광역시 대덕구 대화동","34-30","0034","0030","YH드림타운B동","72.17","34.13","202102","24","13,700","4","2003","대화1길 19",""
"대전광역시 대덕구 대화동","34-30","0034","0030","YH드림타운B동","72.17","34.13","202102","25","13,700","4","2003","대화1길 19",""
"대전광역시 대덕구 대화동","36-20","0036","0020","가든","46.7","54.5","202004","9","12,000","2","1984","대화15길 91-4",""
"대전광역시 대덕구 대화동","36-21","0036","0021","가든","52.9","62.16","202006","15","6,500","1","1984","대화15길 91-2",""
"대전광역시 대덕구 대화동","36-22","0036","0022","가든다세대주택","56.16","66.63","202006","28","12,000","1","1984","대화15길 91",""
"대전광역시 대덕구 대화동","36-25","0036","0025","가든다세대주택(36-25)","44.84","48.88","202005","14","10,000","2","1983","대화15길 91-3",""
"대전광역시 대덕구 대화동","36-26","0036","0026","가든연립","62.4","72.16","202004","10","5,300","2","1984","대화15길 89",""
"대전광역시 대덕구 대화동","250-16","0250","0016","국민연립","61.2","84.2","202007","14","5,500","2","1985","동심8길 14",""
"대전광역시 대덕구 대화동","35-495","0035","0495","금성백조A동","61.005","46.49","202010","21","9,500","2","1983","동심5길 38",""
"대전광역시 대덕구 대화동","35-495","0035","0495","금성백조A동","68.75","52.39","202011","18","10,300","1","1983","동심5길 38",""
"대전광역시 대덕구 대화동","35-495","0035","0495","금성백조A동","70.995","54.13","202012","14","11,000","3","1983","동심5길 38",""
"대전광역시 대덕구 대화동","35-495","0035","0495","금성백조A동","68.75","52.39","202012","23","10,250","2","1983","동심5길 38",""
"대전광역시 대덕구 대화동","241","0241","0000","금성백조B동","56.08","47.92","202012","30","9,000","2","1983","동심5길 40",""
"대전광역시 대덕구 대화동","241","0241","0000","금성백조B동","56.08","47.92","202101","8","10,100","3","1983","동심5길 40",""
"대전광역시 대덕구 대화동","241-11","0241","0011","금성백조하우스","60.96","57.11","202003","19","9,750","1","1981","동심8길 2",""
"대전광역시 대덕구 대화동","241-11","0241","0011","금성백조하우스","49.56","46.79","202006","13","11,000","2","1981","동심8길 2","20200908"
"대전광역시 대덕구 대화동","241-11","0241","0011","금성백조하우스","47.68","45.01","202006","14","13,500","3","1981","동심8길 2",""
"대전광역시 대덕구 대화동","241-11","0241","0011","금성백조하우스","49.56","46.79","202008","29","10,000","3","1981","동심8길 2",""
