"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"대전광역시 대덕구 대화동","35-108","0035","0108","35-108","월세","55.92","202012","1","2,000","35","3","2014","대오길 42-1"
"대전광역시 대덕구 대화동","35-495","0035","0495","금성백조A동","전세","61.005","202010","30","5,000","0","2","1983","동심5길 38"
"대전광역시 대덕구 대화동","241-11","0241","0011","금성백조하우스","전세","49.56","202101","15","3,000","0","2","1981","동심8길 2"
"대전광역시 대덕구 대화동","241-11","0241","0011","금성백조하우스","전세","59.08","202101","26","4,000","0","1","1981","동심8길 2"
"대전광역시 대덕구 대화동","241-11","0241","0011","금성백조하우스","전세","49.36","202101","29","3,000","0","2","1981","동심8길 2"
"대전광역시 대덕구 대화동","35-429","0035","0429","낙원빌라","월세","35.94","202005","29","500","25","2","2003","대오길 47"
"대전광역시 대덕구 대화동","35-429","0035","0429","낙원빌라","월세","37.86","202008","11","500","27","3","2003","대오길 47"
"대전광역시 대덕구 대화동","35-135","0035","0135","다정하이츠","전세","32.58","202002","29","3,000","0","3","2003","대화10길 7"
"대전광역시 대덕구 대화동","35-390","0035","0390","두방빌라","월세","57.6","202101","21","500","30","1","1993","대오길 90-1"
"대전광역시 대덕구 대화동","38-31","0038","0031","드림빌라","전세","44.61","202010","20","3,000","0","3","2002","대화10길 111"
