"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대전광역시 대덕구 신탄진동","138-9","138","9","트윈스아파트","79.71","202009","24","18,000","2","2018","신탄진로796번길 51","20201213"
"대전광역시 대덕구 신탄진동","138-9","138","9","트윈스아파트","69.36","202101","11","15,500","2","2018","신탄진로796번길 51",""
"대전광역시 대덕구 신탄진동","138-9","138","9","트윈스아파트","79.71","202102","23","18,000","2","2018","신탄진로796번길 51",""
"대전광역시 대덕구 중리동","251-1","251","1","(251-1)","41.02","202006","24","7,900","5","2008","한밭대로 1158",""
"대전광역시 대덕구 중리동","251-1","251","1","(251-1)","26.8","202101","11","5,500","6","2008","한밭대로 1158",""
"대전광역시 대덕구 중리동","251-1","251","1","(251-1)","58.47","202101","16","10,000","7","2008","한밭대로 1158",""
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","28.05","202003","2","1,900","6","1991","대전로867번길 52",""
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","33.71","202003","2","1,600","6","1991","대전로867번길 52",""
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","30.58","202004","27","3,500","9","1991","대전로867번길 52",""
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","33.71","202005","15","1,500","9","1991","대전로867번길 52",""
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","28.05","202005","24","2,500","6","1991","대전로867번길 52",""
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","28.05","202005","24","2,500","6","1991","대전로867번길 52",""
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","30.58","202005","24","2,300","3","1991","대전로867번길 52",""
"대전광역시 동구 삼성동","125-6","125","6","한밭오피스텔","28.05","202005","24","2,500","5","1991","대전로867번길 52",""
"대전광역시 동구 성남동","157-6","157","6","현대그랜드오피스텔","30.38","202102","17","900","10","1992","동서대로1572번길 173",""
"대전광역시 동구 성남동","157-6","157","6","현대그랜드오피스텔","39.24","202102","19","1,200","10","1992","동서대로1572번길 173",""
"대전광역시 동구 성남동","157-6","157","6","현대그랜드오피스텔","30.73","202102","19","900","15","1992","동서대로1572번길 173",""
"대전광역시 동구 용운동","296-1","296","1","	(296-1)	","48.59","202007","20","2,950","6","1991","용운로 163",""
"대전광역시 동구 용운동","296-1","296","1","	(296-1)	","64.13","202009","28","3,600","7","1991","용운로 163",""
"대전광역시 동구 용운동","296-1","296","1","	(296-1)	","48.59","202009","30","3,480","6","1991","용운로 163",""
"대전광역시 동구 용운동","296-1","296","1","	(296-1)	","48.59","202010","8","3,250","5","1991","용운로 163",""
"대전광역시 동구 용운동","296-1","296","1","	(296-1)	","45.24","202010","25","3,500","8","1991","용운로 163",""
"대전광역시 동구 용운동","296-1","296","1","	(296-1)	","48.59","202010","27","3,700","6","1991","용운로 163",""
"대전광역시 동구 용운동","296-1","296","1","	(296-1)	","48.59","202012","24","3,250","5","1991","용운로 163",""
"대전광역시 동구 용운동","296-1","296","1","	(296-1)	","48.59","202101","5","3,400","8","1991","용운로 163",""
"대전광역시 서구 관저동","1751","1751","0","(1751)","27.4","202003","11","9,000","3","2018","도안남로 146",""
"대전광역시 서구 관저동","1751","1751","0","(1751)","27.4","202006","18","8,000","4","2018","도안남로 146",""
"대전광역시 서구 관저동","1751","1751","0","(1751)","27.4","202007","18","9,000","6","2018","도안남로 146",""
"대전광역시 서구 관저동","1751","1751","0","(1751)","27.4","202011","11","9,000","5","2018","도안남로 146",""
"대전광역시 서구 관저동","1888","1888","0","아토빌딩","17","202004","13","8,840","6","2019","도안남로 143",""
"대전광역시 서구 관저동","1888","1888","0","아토빌딩","17","202005","26","8,400","5","2019","도안남로 143",""
"대전광역시 서구 도안동","878","878","0","도안타워","23.12","202005","14","5,700","5","2012","도안북로 101",""
"대전광역시 서구 도안동","879","879","0","샤인빌딩","44.88","202006","5","11,000","5","2013","도안북로 103","20200617"
"대전광역시 서구 도안동","879","879","0","샤인빌딩","22.44","202006","5","6,000","5","2013","도안북로 103","20200617"
"대전광역시 서구 둔산동","1033","1033","0","	(1033)	","35.68","202004","10","4,500","13","1998","대덕대로 223",""
"대전광역시 서구 둔산동","1033","1033","0","	(1033)	","35.68","202004","10","4,500","13","1998","대덕대로 223",""
"대전광역시 서구 둔산동","1033","1033","0","	(1033)	","21.78","202004","16","3,000","12","1998","대덕대로 223",""
"대전광역시 서구 둔산동","1033","1033","0","	(1033)	","25.64","202006","2","3,100","11","1998","대덕대로 223",""
"대전광역시 서구 둔산동","1033","1033","0","	(1033)	","35.68","202007","7","4,300","15","1998","대덕대로 223",""
"대전광역시 서구 둔산동","1033","1033","0","	(1033)	","24.56","202009","29","2,950","11","1998","대덕대로 223",""
"대전광역시 서구 둔산동","1033","1033","0","	(1033)	","27","202012","4","5,000","15","1998","대덕대로 223",""
"대전광역시 서구 둔산동","1033","1033","0","	(1033)	","25.64","202012","4","5,000","15","1998","대덕대로 223",""
"대전광역시 서구 둔산동","1033","1033","0","	(1033)	","27","202101","10","3,800","12","1998","대덕대로 223",""
"대전광역시 서구 둔산동","1369","1369","0","넥서스밸리(1369-0)","26.85","202003","9","6,600","14","2005","대덕대로 246",""
"대전광역시 서구 둔산동","1369","1369","0","넥서스밸리(1369-0)","31.02","202006","27","6,200","5","2005","대덕대로 246",""
"대전광역시 서구 둔산동","1369","1369","0","넥서스밸리(1369-0)","24.11","202009","25","4,200","13","2005","대덕대로 246",""
"대전광역시 서구 둔산동","1369","1369","0","넥서스밸리(1369-0)","31.02","202010","29","6,900","9","2005","대덕대로 246",""
"대전광역시 서구 둔산동","1369","1369","0","넥서스밸리(1369-0)","36.12","202011","8","7,500","6","2005","대덕대로 246",""
"대전광역시 서구 둔산동","1369","1369","0","넥서스밸리(1369-0)","27.21","202012","5","7,000","14","2005","대덕대로 246",""
"대전광역시 서구 둔산동","1369","1369","0","넥서스밸리(1369-0)","24.11","202102","4","4,600","13","2005","대덕대로 246",""
"대전광역시 서구 둔산동","1369","1369","0","넥서스밸리(1369-0)","36.12","202102","27","6,300","6","2005","대덕대로 246",""
"대전광역시 서구 둔산동","1370","1370","0","넥서스밸리(1370-0)","31.02","202006","27","6,500","4","2005","대덕대로 248",""
"대전광역시 서구 둔산동","1370","1370","0","넥서스밸리(1370-0)","31.44","202007","27","5,500","12","2005","대덕대로 248",""
"대전광역시 서구 둔산동","1370","1370","0","넥서스밸리(1370-0)","26.85","202008","10","6,500","5","2005","대덕대로 248",""
"대전광역시 서구 둔산동","1370","1370","0","넥서스밸리(1370-0)","31.44","202009","17","6,500","5","2005","대덕대로 248",""
"대전광역시 서구 둔산동","1370","1370","0","넥서스밸리(1370-0)","31.44","202102","25","5,800","7","2005","대덕대로 248",""
"대전광역시 서구 둔산동","1417","1417","0","둔산 더 리치빌","27.36","202003","13","5,500","10","2004","둔산중로 40",""
