"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"대전광역시 대덕구 신탄진동","138-9","0138","0009","트윈스아파트","전세","79.36","202009","17","15,000","0","2","2018","신탄진로796번길 51"
"대전광역시 대덕구 중리동","251-1","0251","0001","(251-1)","전세","59.17","202004","8","6,500","0","3","2008","한밭대로 1158"
"대전광역시 대덕구 중리동","251-1","0251","0001","(251-1)","월세","26.8","202006","19","300","31","5","2008","한밭대로 1158"
"대전광역시 대덕구 중리동","251-1","0251","0001","(251-1)","전세","39.82","202008","31","6,000","0","5","2008","한밭대로 1158"
"대전광역시 대덕구 중리동","251-1","0251","0001","(251-1)","전세","58.47","202009","2","2,000","0","4","2008","한밭대로 1158"
"대전광역시 대덕구 중리동","251-1","0251","0001","(251-1)","월세","39.82","202009","29","2,000","38","7","2008","한밭대로 1158"
"대전광역시 대덕구 중리동","251-1","0251","0001","(251-1)","전세","39.05","202011","23","7,300","0","8","2008","한밭대로 1158"
"대전광역시 대덕구 중리동","251-1","0251","0001","(251-1)","전세","26.4","202011","28","4,000","0","5","2008","한밭대로 1158"
"대전광역시 대덕구 중리동","251-1","0251","0001","(251-1)","전세","26.4","202101","4","4,000","0","5","2008","한밭대로 1158"
"대전광역시 대덕구 중리동","251-1","0251","0001","(251-1)","전세","26.8","202101","25","4,000","0","7","2008","한밭대로 1158"
