"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분","해제사유발생일"
"대전광역시 서구 가수원동","8**","대","제1종일반주거지역","12m미만","202002","29","266.7","37,000"," ",""
"대전광역시 유성구 학하동","7**","대","제2종일반주거지역","25m미만","202002","29","249.8","41,525"," ",""
"대전광역시 동구 소호동","2**","답","개발제한구역","-","202002","29","1284.2","7,800"," ",""
"대전광역시 유성구 장대동","2**","대","일반상업지역","8m미만","202003","1","429","129,500"," ",""
"대전광역시 서구 탄방동","7*","대","제2종일반주거지역","8m미만","202003","1","182.6","27,390"," ",""
"대전광역시 중구 용두동","5*","도로","제2종일반주거지역","-","202003","1","10.2","300","지분",""
"대전광역시 서구 탄방동","7*","대","제2종일반주거지역","8m미만","202003","1","245.2","36,780"," ",""
"대전광역시 유성구 덕진동","7*","답","개발제한구역","8m미만","202003","1","2671","43,400"," ",""
"대전광역시 유성구 신동","산1**","임야","개발제한구역","-","202003","2","115","1,015","지분",""
"대전광역시 유성구 신동","산1**","임야","개발제한구역","-","202003","2","165","1,450","지분",""
"대전광역시 동구 구도동","1**","전","개발제한구역","8m미만","202003","2","1157","15,000"," ",""
"대전광역시 유성구 세동","1**","전","자연녹지지역","12m미만","202003","2","456","16,300"," ",""
"대전광역시 중구 옥계동","7*","답","제1종일반주거지역","8m미만","202003","2","63","2,160"," ",""
"대전광역시 동구 추동","4**","대","자연녹지지역","8m미만","202003","2","439","22,500"," ",""
"대전광역시 서구 관저동","1***","대","제1종일반주거지역","12m미만","202003","2","245.1","31,000"," ",""
"대전광역시 유성구 구룡동","산7*","임야","개발제한구역","-","202003","2","665.79","4,336","지분",""
"대전광역시 유성구 용계동","4*","도로","자연녹지지역","8m미만","202003","2","8.4","400","지분",""
"대전광역시 중구 대흥동","4**","대","일반상업지역","25m미만","202003","2","119","43,499"," ",""
"대전광역시 동구 용운동","4**","전","자연녹지지역","-","202003","2","892","8,000"," ",""
"대전광역시 서구 원정동","8**","전","개발제한구역","-","202003","2","350","800"," ",""
"대전광역시 중구 옥계동","7*","답","제1종일반주거지역","8m미만","202003","2","27","890"," ",""
"대전광역시 서구 관저동","8**","전","개발제한구역","8m미만","202003","3","915","27,000"," ",""
"대전광역시 동구 상소동","4**","답","생산관리지역","-","202003","3","315","5,700"," ",""
"대전광역시 동구 상소동","4**","도로","생산관리지역","-","202003","3","45","500"," ",""
"대전광역시 서구 변동","1*","대","제2종일반주거지역","8m미만","202003","3","289.8","51,000"," ",""
"대전광역시 대덕구 오정동","4**","대","준주거지역","12m미만","202003","3","323.9","53,900"," ","20200518"
"대전광역시 중구 정생동","2**","답","개발제한구역","-","202003","3","1094","6,000"," ",""
"대전광역시 유성구 복용동","5**","대","제2종일반주거지역","25m미만","202003","3","304.7","60,011"," ",""
"대전광역시 유성구 복용동","5**","대","제2종일반주거지역","25m미만","202003","3","304.6","61,111"," ",""
"대전광역시 대덕구 중리동","2**","대","제2종일반주거지역","25m미만","202003","3","327.6","63,500"," ","20200309"
"대전광역시 대덕구 중리동","2**","대","제2종일반주거지역","25m미만","202003","3","327.6","63,500"," ",""
"대전광역시 동구 하소동","산2*","임야","농림지역","-","202003","3","165","790","지분",""
"대전광역시 대덕구 오정동","2**","도로","제2종일반주거지역","8m미만","202003","4","30","1,000"," ",""
"대전광역시 동구 가양동","4**","도로","제2종일반주거지역","12m미만","202003","4","32.6","1,000","지분",""
"대전광역시 유성구 신동","산1**","임야","개발제한구역","-","202003","4","115","1,015","지분",""
"대전광역시 유성구 신동","산1**","임야","개발제한구역","-","202003","4","165","1,450","지분",""
"대전광역시 서구 흑석동","4**","답","개발제한구역","-","202003","4","155","1,880"," ",""
"대전광역시 유성구 구룡동","1**","전","개발제한구역","8m미만","202003","4","648","11,368"," ",""
"대전광역시 유성구 대정동","3**","답","개발제한구역","8m미만","202003","4","580","14,500"," ",""
"대전광역시 유성구 방동","6**","전","개발제한구역","-","202003","4","1744","15,700"," ",""
"대전광역시 서구 도마동","3*","도로","제1종일반주거지역","-","202003","4","34.95","200","지분",""
"대전광역시 서구 가수원동","1***","대","제1종일반주거지역","12m미만","202003","4","253.8","36,000"," ",""
"대전광역시 서구 가수원동","1***","대","제1종일반주거지역","12m미만","202003","4","239.7","38,000"," ",""
"대전광역시 유성구 용계동","3**","답","자연녹지지역","-","202003","4","809","44,000"," ",""
"대전광역시 서구 용촌동","2**","도로","자연녹지지역","-","202003","4","15","50","지분",""
"대전광역시 서구 흑석동","4**","답","개발제한구역","-","202003","5","155","1,880"," ",""
"대전광역시 유성구 방현동","1*","전","개발제한구역","-","202003","5","813","12,000"," ",""
"대전광역시 동구 하소동","8**","대","제1종일반주거지역","25m미만","202003","5","279.6","17,000"," ",""
"대전광역시 동구 하소동","산2*","임야","농림지역","-","202003","5","429","2,012","지분",""
"대전광역시 동구 주산동","1**","전","개발제한구역","12m미만","202003","5","412","3,100","지분",""
"대전광역시 동구 주산동","1**","전","개발제한구역","12m미만","202003","5","462.67","3,400","지분",""
"대전광역시 서구 관저동","1***","대","제2종일반주거지역","12m미만","202003","5","253.4","35,000"," ",""
"대전광역시 유성구 대동","1**","답","개발제한구역","8m미만","202003","5","2515","41,000"," ",""
"대전광역시 중구 금동","6**","전","개발제한구역","8m미만","202003","5","2980","7,200"," ",""
"대전광역시 유성구 덕명동","5**","대","준주거지역","12m미만","202003","5","344.9","89,950"," ",""
"대전광역시 유성구 덕명동","5**","대","준주거지역","25m미만","202003","5","379.8","99,050"," ",""
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","6","661","1,780","지분",""
"대전광역시 동구 인동","7*","대","일반상업지역","25m미만","202003","6","84.7","10,000"," ",""
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","6","99","267","지분",""
"대전광역시 유성구 탑립동","5**","전","개발제한구역","-","202003","6","922","28,050"," ",""
"대전광역시 동구 성남동","2**","대","제3종일반주거지역","8m미만","202003","6","50","4,500"," ",""
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","6","165","445","지분",""
"대전광역시 서구 도마동","1**","대","제3종일반주거지역","8m미만","202003","6","160.6","45,490"," ",""
"대전광역시 유성구 탑립동","5**","전","개발제한구역","-","202003","6","294","8,950"," ",""
"대전광역시 대덕구 장동","1**","임야","개발제한구역","-","202003","7","213","1,600"," ",""
"대전광역시 동구 삼성동","3**","대","제1종일반주거지역","8m미만","202003","7","67.4","2,250"," ",""
"대전광역시 중구 대흥동","2**","대","제3종일반주거지역","12m미만","202003","7","104","22,500"," ",""
"대전광역시 유성구 하기동","5**","대","제1종일반주거지역","12m미만","202003","7","274.2","40,200"," ",""
"대전광역시 중구 무수동","3*","전","개발제한구역","8m미만","202003","7","863","5,220"," ",""
"대전광역시 중구 유천동","2**","도로","제2종일반주거지역","8m미만","202003","7","11.4","500","지분",""
"대전광역시 대덕구 법동","*","전","개발제한구역","-","202003","7","1092","6,771"," ",""
"대전광역시 동구 판암동","5**","대","제2종일반주거지역","8m미만","202003","8","13","1,000","지분",""
"대전광역시 서구 산직동","3**","전","보전관리지역","8m미만","202003","8","733","12,000"," ",""
"대전광역시 유성구 구룡동","산7*","임야","개발제한구역","-","202003","8","83","465","지분",""
"대전광역시 동구 하소동","산2*","임야","농림지역","-","202003","9","330","1,580","지분",""
"대전광역시 유성구 탑립동","6**","전","개발제한구역","12m미만","202003","9","2798","127,000"," ",""
"대전광역시 동구 낭월동","5*","답","제2종일반주거지역","12m미만","202003","9","211","16,200"," ","20200511"
"대전광역시 서구 산직동","4**","전","보전관리지역","8m미만","202003","9","1299","18,400"," ",""
"대전광역시 중구 석교동","2**","전","제1종일반주거지역","8m미만","202003","9","46","2,300"," ",""
"대전광역시 중구 문화동","4**","잡종지","제2종일반주거지역","-","202003","9","2","200","지분",""
"대전광역시 유성구 용계동","6*","전","자연녹지지역","-","202003","9","375","24,955"," ",""
"대전광역시 서구 가수원동","1***","대","제1종일반주거지역","25m미만","202003","9","271.1","41,000"," ",""
"대전광역시 중구 석교동","2**","전","제1종일반주거지역","-","202003","9","8","450"," ",""
"대전광역시 유성구 용계동","6*","전","자연녹지지역","-","202003","9","954","63,490"," ",""
"대전광역시 중구 문화동","*","대","제2종일반주거지역","12m미만","202003","9","307","72,500"," ",""
"대전광역시 중구 문화동","*","대","제2종일반주거지역","12m미만","202003","9","54.65","9,000"," ",""
"대전광역시 중구 은행동","*","대","일반상업지역","8m미만","202003","10","20.8","1,750"," ",""
"대전광역시 동구 주촌동","1**","전","자연환경보전","12m미만","202003","10","1698","11,000"," ",""
"대전광역시 중구 선화동","2**","대","일반상업지역","8m미만","202003","10","1.38","114","지분",""
"대전광역시 유성구 장대동","2**","전","자연녹지지역","8m미만","202003","10","78.9","2,000"," ",""
"대전광역시 동구 주촌동","1**","도로","자연환경보전","12m미만","202003","10","166","2,000"," ",""
"대전광역시 동구 대동","3*","대","제3종일반주거지역","8m미만","202003","10","166","20,700"," ",""
"대전광역시 유성구 장대동","2**","전","자연녹지지역","-","202003","10","384.74","23,000","지분",""
"대전광역시 동구 용운동","5**","대","제2종일반주거지역","12m미만","202003","10","33","3,000"," ",""
"대전광역시 유성구 갑동","3**","도로","자연녹지지역","8m미만","202003","10","38","3,079"," ",""
"대전광역시 서구 관저동","1***","대","제2종일반주거지역","12m미만","202003","10","236.5","41,000"," ",""
"대전광역시 중구 문화동","4**","대","제1종일반주거지역","-","202003","10","22.8","500","지분",""
"대전광역시 유성구 구룡동","산7*","임야","개발제한구역","-","202003","10","99","558","지분",""
"대전광역시 동구 주촌동","1**","전","자연환경보전","-","202003","10","1390","7,000"," ",""
"대전광역시 유성구 장대동","2**","전","개발제한구역","25m이상","202003","10","1732.4","84,000"," ",""
"대전광역시 유성구 장대동","2**","전","자연녹지지역","-","202003","10","50","9,000"," ",""
"대전광역시 동구 주촌동","1**","전","자연환경보전","8m미만","202003","10","1603","9,000"," ",""
"대전광역시 유성구 장대동","2**","전","개발제한구역","25m이상","202003","10","1485","92,000"," ",""
"대전광역시 유성구 교촌동","4**","도로","자연녹지지역","8m미만","202003","11","15","1,000"," ",""
"대전광역시 중구 유천동","3**","도로","일반상업지역","-","202003","11","3.8","1,720"," ",""
"대전광역시 중구 유천동","3**","대","일반상업지역","8m미만","202003","11","3","10,000"," ",""
"대전광역시 중구 유천동","3**","대","일반상업지역","8m미만","202003","11","294.4","115,700"," ",""
"대전광역시 유성구 구암동","7**","임야","제1종일반주거지역","-","202003","11","166.5","15,000"," ",""
"대전광역시 대덕구 미호동","8*","전","개발제한구역","8m미만","202003","11","1653","18,266"," ",""
"대전광역시 대덕구 미호동","2**","전","개발제한구역","8m미만","202003","11","2000","22,400"," ",""
"대전광역시 대덕구 미호동","7*","전","개발제한구역","8m미만","202003","11","2066","22,829"," ",""
"대전광역시 대덕구 미호동","7*","과수원","개발제한구역","8m미만","202003","11","1921","22,956"," ",""
"대전광역시 유성구 구암동","2**","과수원","개발제한구역","-","202003","11","49","3,000"," ",""
"대전광역시 중구 유천동","3**","대","일반상업지역","8m미만","202003","11","109.46","30,000","지분",""
"대전광역시 대덕구 미호동","7*","전","개발제한구역","8m미만","202003","11","2715","31,494"," ",""
"대전광역시 중구 유천동","3**","대","일반상업지역","8m미만","202003","11","82","32,000"," ",""
"대전광역시 중구 유천동","3**","대","일반상업지역","8m미만","202003","11","103.1","35,000"," ",""
"대전광역시 대덕구 미호동","2**","전","개발제한구역","8m미만","202003","11","434","4,774"," ",""
"대전광역시 대덕구 신탄진동","1**","도로","제2종일반주거지역","-","202003","11","23.35","450","지분",""
"대전광역시 중구 유천동","3**","대","일반상업지역","8m미만","202003","11","121.1","47,500"," ",""
"대전광역시 중구 유천동","3**","도로","일반상업지역","-","202003","11","127.3","50,500"," ",""
"대전광역시 중구 유천동","3**","대","일반상업지역","8m미만","202003","11","143.6","51,700"," ",""
"대전광역시 중구 유천동","3**","대","일반상업지역","8m미만","202003","11","158.3","53,000"," ",""
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","11","199","534","지분",""
"대전광역시 중구 유천동","3**","대","일반상업지역","8m미만","202003","11","174.5","54,000"," ",""
"대전광역시 중구 유천동","3**","대","일반상업지역","8m미만","202003","11","51.9","57,750"," ",""
"대전광역시 중구 유천동","3**","도로","일반상업지역","-","202003","11","17.2","700"," ",""
"대전광역시 유성구 교촌동","4**","답","자연녹지지역","8m미만","202003","11","1946","76,500"," ",""
"대전광역시 중구 유천동","3**","대","일반상업지역","8m미만","202003","11","213.8","78,000"," ",""
"대전광역시 중구 유천동","1**","대","제2종일반주거지역","8m미만","202003","11","167.4","8,500"," ",""
"대전광역시 유성구 구암동","1**","답","개발제한구역","8m미만","202003","11","1825","82,800"," ",""
"대전광역시 중구 유천동","3**","대","일반상업지역","8m미만","202003","11","266.6","89,000"," ",""
"대전광역시 중구 유천동","3**","대","일반상업지역","8m미만","202003","11","2.6","966"," ",""
"대전광역시 동구 직동","6**","전","개발제한구역","8m미만","202003","12","390","1,650","지분",""
"대전광역시 중구 정생동","5**","답","개발제한구역","8m미만","202003","12","1451","11,000"," ",""
"대전광역시 중구 정생동","5**","답","개발제한구역","-","202003","12","360","2,725"," ",""
"대전광역시 유성구 계산동","7**","대","제2종일반주거지역","12m미만","202003","12","242.6","27,425"," ",""
"대전광역시 유성구 계산동","7**","대","제2종일반주거지역","12m미만","202003","12","242.4","27,425"," ",""
"대전광역시 유성구 계산동","7**","대","제2종일반주거지역","12m미만","202003","12","247.5","27,425"," ",""
"대전광역시 유성구 계산동","7**","대","제2종일반주거지역","12m미만","202003","12","247.2","27,425"," ",""
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","12","165","445","지분",""
"대전광역시 중구 중촌동","1**","대","제2종일반주거지역","25m미만","202003","12","94","5,100"," ",""
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","13","397","1,068","지분",""
"대전광역시 서구 평촌동","5**","전","생산관리지역","-","202003","13","565","1,701"," ",""
"대전광역시 동구 비룡동","4**","답","개발제한구역","8m미만","202003","13","1455","10,400"," ",""
"대전광역시 유성구 상대동","4**","전","개발제한구역","-","202003","13","1121","15,600"," ",""
"대전광역시 서구 가수원동","1***","대","준주거지역","25m미만","202003","13","816.7","161,550"," ",""
"대전광역시 중구 문화동","1*","임야","제2종일반주거지역","8m미만","202003","13","26","2,151"," ",""
"대전광역시 중구 문화동","1*","임야","제2종일반주거지역","8m미만","202003","13","26","2,151"," ","20200316"
"대전광역시 동구 정동","1*","대","일반상업지역","25m이상","202003","13","607.2","200,000"," ","20200702"
"대전광역시 대덕구 석봉동","3**","대","제2종일반주거지역","8m미만","202003","13","311.9","25,000"," ",""
"대전광역시 동구 신상동","산2*","임야","개발제한구역","-","202003","13","99","267","지분",""
"대전광역시 중구 정생동","2**","전","개발제한구역","8m미만","202003","13","352.9","3,000"," ",""
"대전광역시 중구 어남동","1**","전","계획관리지역","12m미만","202003","13","412","3,700"," ",""
"대전광역시 유성구 교촌동","1**","답","개발제한구역","12m미만","202003","13","1411","33,760"," ",""
