"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명"
"부산광역시 강서구 강동동","1***","12m미만","11.5","월세","202101","5","100","15","2017","상덕로97번길"
"부산광역시 강서구 강동동","1**","25m이상","12","전세","202011","30","1,300","0","1987","낙동북로"
"부산광역시 강서구 강동동","1***","8m미만","16","월세","202012","16","1,000","5","1988","제도로1002번가길"
"부산광역시 강서구 강동동","6**","8m미만","21","월세","202010","30","100","10","1978","낙동북로138번길"
"부산광역시 강서구 강동동","2*","8m미만","23.1","월세","202012","4","100","10","null","낙동북로125번길"
"부산광역시 강서구 강동동","3***","8m미만","24.25","월세","202007","14","100","20","1936","강동중곡3길"
"부산광역시 강서구 강동동","5*","8m미만","26.4","월세","202006","11","1,000","15","1988","낙동북로108번길"
"부산광역시 강서구 강동동","1***","8m미만","33","월세","202010","8","500","15","1985","제도로1022번길"
"부산광역시 강서구 강동동","1**","8m미만","33","월세","202009","19","1,000","18","1993","낙동북로63번길"
"부산광역시 강서구 강동동","2**","8m미만","33.06","전세","202010","17","4,500","0","1979","낙동북로43번길"
"부산광역시 강서구 강동동","1**","8m미만","40","월세","202008","25","300","30","1969","낙동북로"
"부산광역시 강서구 강동동","6**","8m미만","40.23","월세","202009","15","200","10","1993","낙동북로138번길"
"부산광역시 강서구 강동동","1***","12m미만","49.5","월세","202009","15","500","20","1994","평강로"
"부산광역시 강서구 강동동","6**","8m미만","49.92","월세","202003","18","1,500","20","1985","낙동북로135번길"
"부산광역시 강서구 강동동","1**","8m미만","55.54","전세","202101","4","8,000","0","1979","낙동북로60번길"
"부산광역시 강서구 강동동","1**","8m미만","63.45","월세","202102","5","100","10","1986","제도로"
"부산광역시 강서구 강동동","1**","25m이상","66","월세","202102","28","2,000","25","1988","낙동북로"
"부산광역시 강서구 강동동","6**","8m미만","76","전세","202006","8","11,000","0","null","낙동북로135번길"
"부산광역시 강서구 강동동","5*","8m미만","78","월세","202004","3","2,000","15","1988","낙동북로108번길"
"부산광역시 강서구 강동동","2***","8m미만","82.5","월세","202009","15","0","20","1955","제도로"
"부산광역시 강서구 강동동","3***","8m미만","97.59","월세","202003","1","200","20","1997","강동중곡2길"
"부산광역시 강서구 강동동","2*","8m미만","98.15","월세","202003","19","2,000","40","1995","낙동북로108번길"
"부산광역시 강서구 강동동","2***","8m미만","98.22","전세","202005","11","3,000","0","1997","강동신덕2길"
"부산광역시 강서구 강동동","2*","8m미만","99","월세","202004","1","500","30","1936","낙동북로125번길"
"부산광역시 강서구 강동동","2**","8m미만","100","월세","202003","15","700","18","1995","낙동북로31번길"
"부산광역시 강서구 구랑동","1***","12m미만","29","월세","202009","11","200","35","2020","미음산단로61번길"
"부산광역시 강서구 녹산동","5**","12m미만","30.95","월세","202007","29","300","23","null","낙동남로582번가길"
"부산광역시 강서구 녹산동","5**","12m미만","40","월세","202003","7","400","30","2014","낙동남로582번가길"
"부산광역시 강서구 녹산동","5**","12m미만","40","전세","202007","2","6,000","0","null","낙동남로582번가길"
"부산광역시 강서구 녹산동","5**","-","40","전세","202007","13","6,000","0","2014","null"
"부산광역시 강서구 녹산동","8**","8m미만","50","월세","202101","9","300","30","2011","낙동남로483번가길"
"부산광역시 강서구 녹산동","8*","8m미만","58.54","전세","202003","20","2,000","0","2010","낙동남로682번길"
"부산광역시 강서구 녹산동","5**","12m미만","70","월세","202012","5","5,000","27","2014","낙동남로582번가길"
