"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분","해제사유발생일"
"부산광역시 강서구 대저1동","2388-17","외진가 센트럴타워","40.9155","17,080","14","202009","28","분",""
"부산광역시 강서구 명지동","3594","더샵 명지퍼스트월드 2단지","84.9584","54,782","23","202008","14","분",""
"부산광역시 강서구 명지동","3594","더샵 명지퍼스트월드 2단지","84.997","55,534","11","202008","15","분",""
"부산광역시 강서구 명지동","3594","더샵 명지퍼스트월드 2단지","84.997","54,041","20","202008","17","분",""
"부산광역시 강서구 명지동","3594","더샵 명지퍼스트월드 2단지","80.7864","52,540","23","202008","17","분",""
"부산광역시 강서구 명지동","3594","더샵 명지퍼스트월드 2단지","84.997","55,481","13","202008","18","분",""
"부산광역시 강서구 명지동","3594","더샵 명지퍼스트월드 2단지","113.9349","88,027","30","202008","20","분",""
"부산광역시 강서구 명지동","3594","더샵 명지퍼스트월드 2단지","80.7864","48,200","27","202008","21","분",""
"부산광역시 강서구 명지동","3594","더샵 명지퍼스트월드 2단지","84.9584","52,672","8","202008","26","분",""
"부산광역시 강서구 명지동","3594","더샵 명지퍼스트월드 2단지","84.997","61,464","27","202008","29","분",""
"부산광역시 강서구 명지동","3594","더샵 명지퍼스트월드 2단지","84.997","45,000","23","202008","31","분",""
"부산광역시 강서구 명지동","3594","더샵 명지퍼스트월드 2단지","84.9584","59,000","20","202009","4","분",""
"부산광역시 강서구 명지동","3594","더샵 명지퍼스트월드 2단지","84.997","55,934","16","202009","11","분",""
