"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"부산광역시 강서구 강동동","일반","8*","낙동북로60번길","제1종일반주거","제2종근린생활","8m미만","365","662.00","117,000","null","202003","13"," ","2016",""
"부산광역시 강서구 강동동","일반","6**","낙동북로153번길","제1종일반주거","제2종근린생활","8m미만","375.5","537.00","107,049","null","202003","27"," ","2013",""
"부산광역시 강서구 강동동","일반","2*","낙동북로126번길","제1종일반주거","제1종근린생활","8m미만","450.8","860.00","158,000","null","202004","1"," ","2012",""
"부산광역시 강서구 강동동","일반","2**","낙동북로31번길","제1종일반주거","제2종근린생활","8m미만","326.25","592.00","101,700","null","202004","20"," ","2015",""
"부산광역시 강서구 강동동","일반","2***","제도로","제1종일반주거","제2종근린생활","25m미만","361.4","648.00","113,000","null","202005","12"," ","2020","20200529"
"부산광역시 강서구 강동동","일반","2***","제도로","제1종일반주거","제2종근린생활","25m미만","361.4","648.00","113,000","null","202005","12"," ","2020",""
"부산광역시 강서구 강동동","일반","3***","강동중곡3길","제1종일반주거","제2종근린생활","8m미만","1414.4","1571.00","174,500","null","202006","11"," ","2007",""
"부산광역시 강서구 강동동","일반","1**","낙동북로43번길","제1종일반주거","제2종근린생활","8m미만","164.35","319.00","55,000","null","202006","23"," ","2013",""
"부산광역시 강서구 강동동","일반","2*","낙동북로102번길","제1종일반주거","제2종근린생활","8m미만","499.17","680.00","119,925","null","202006","24"," ","2014",""
"부산광역시 강서구 강동동","일반","2***","상덕로97번길","제1종일반주거","제2종근린생활","8m미만","66","1311.00","104,500","null","202007","20"," ","2016",""
"부산광역시 강서구 강동동","일반","2***","상덕로97번길","제1종일반주거","제2종근린생활","12m미만","20","300.00","30,000","null","202007","20"," ","2011",""
"부산광역시 강서구 강동동","일반","2**","낙동북로","제1종일반주거","제1종근린생활","25m이상","131.75","306.00","54,000","null","202008","3"," ","1989",""
"부산광역시 강서구 강동동","일반","2*","낙동북로126번길","제1종일반주거","제2종근린생활","8m미만","214.5","367.00","73,000","null","202008","7"," ","2014",""
"부산광역시 강서구 강동동","일반","2*","낙동북로126번길","제1종일반주거","제2종근린생활","8m미만","492.9","1349.00","280,000","null","202009","10"," ","2012","20201023"
"부산광역시 강서구 강동동","일반","2*","낙동북로126번길","제1종일반주거","제2종근린생활","8m미만","684.9","1350.00","300,000","null","202009","10"," ","2012",""
"부산광역시 강서구 강동동","일반","2*","낙동북로126번길","제1종일반주거","제2종근린생활","8m미만","371","979.00","150,000","null","202009","16"," ","2013",""
"부산광역시 강서구 강동동","일반","8*","낙동북로","제1종일반주거","제2종근린생활","8m미만","492","1016.00","169,000","null","202009","16"," ","2015",""
"부산광역시 강서구 강동동","일반","2**","낙동북로31번길","제1종일반주거","제2종근린생활","8m미만","149.6","299.00","50,179","null","202009","22"," ","2012",""
"부산광역시 강서구 강동동","일반","1*","낙동북로153번길","제1종일반주거","제2종근린생활","8m미만","184","315.00","61,000","null","202009","26"," ","2015",""
"부산광역시 강서구 강동동","일반","2*","낙동북로126번길","제1종일반주거","제2종근린생활","8m미만","492","885.00","164,000","null","202010","29"," ","2018",""
"부산광역시 강서구 강동동","일반","2*","낙동북로126번길","제1종일반주거","제2종근린생활","8m미만","494","949.00","192,580","null","202010","29"," ","2017",""
"부산광역시 강서구 강동동","일반","2*","낙동북로126번길","제1종일반주거","제2종근린생활","8m미만","494.75","882.00","155,830","null","202011","6"," ","2013",""
"부산광역시 강서구 강동동","일반","1***","상덕로97번다길","제1종일반주거","제2종근린생활","8m미만","272.16","553.00","70,140","null","202011","12"," ","2014",""
"부산광역시 강서구 강동동","일반","2***","제도로","제1종일반주거","제2종근린생활","-","207.4","353.00","63,500","null","202101","16"," ","2020",""
"부산광역시 강서구 강동동","일반","2***","상덕로97번길","제1종일반주거","제2종근린생활","12m미만","493.5","832.00","127,000","null","202101","20"," ","2009",""
"부산광역시 강서구 강동동","일반","2***","상덕로","제1종일반주거","제2종근린생활","25m미만","493.5","1364.00","209,000","null","202101","20"," ","2009",""
"부산광역시 강서구 강동동","일반","2***","상덕로","제1종일반주거","제2종근린생활","25m미만","493.35","832.00","127,000","null","202101","20"," ","2009",""
"부산광역시 강서구 강동동","일반","2***","상덕로","제1종일반주거","제2종근린생활","25m미만","78","436.00","66,300","null","202101","20"," ","2016",""
"부산광역시 강서구 강동동","일반","4**","낙동북로138번길","자연녹지","제2종근린생활","8m미만","83.2","773.00","20,000","null","202101","28"," ","2004",""
"부산광역시 강서구 강동동","일반","2*","낙동북로126번길","제1종일반주거","제2종근린생활","8m미만","397.51","683.00","112,000","null","202102","5"," ","2018",""
"부산광역시 강서구 강동동","일반","3*","낙동북로138번길","제1종일반주거","제2종근린생활","12m미만","628.16","995.00","174,000","null","202102","10"," ","2013",""
"부산광역시 강서구 강동동","일반","2***","상덕로97번길","제1종일반주거","제2종근린생활","12m미만","444","474.00","76,500","null","202102","10"," ","2011",""
"부산광역시 강서구 구랑동","일반","1***","미음산단로127번길","준공업","제1종근린생활","25m미만","729.2","639.50","175,000","null","202005","8"," ","2016",""
"부산광역시 강서구 녹산동","일반","1**","낙동남로644번길","제1종일반주거","제2종근린생활","8m미만","498","1271.00","125,000","null","202004","28"," ","2013",""
"부산광역시 강서구 녹산동","일반","1**","낙동남로644번길","제1종일반주거","제2종근린생활","8m미만","495","851.00","108,000","null","202010","28"," ","2013",""
"부산광역시 강서구 녹산동","일반","5**","낙동남로605번길","제1종일반주거","제2종근린생활","8m미만","493.92","1019.00","117,200","null","202101","20"," ","2013",""
"부산광역시 강서구 대저1동","일반","3**","대저중앙로357번길","제1종일반주거","제2종근린생활","12m미만","301.5","569.00","91,585","null","202003","21"," ","2020",""
"부산광역시 강서구 대저1동","일반","3**","대저중앙로357번길","제1종일반주거","제2종근린생활","12m미만","276.75","475.00","76,388","null","202003","21"," ","2020",""
"부산광역시 강서구 대저1동","일반","3**","대저중앙로394번길","null","제1종근린생활","8m미만","271.44","459.00","22,020","null","202003","23"," ","2020","20200421"
"부산광역시 강서구 대저1동","일반","3**","대저중앙로394번길","null","제1종근린생활","8m미만","271.44","459.00","71,900","null","202003","23"," ","2020","20200420"
"부산광역시 강서구 대저1동","일반","2***","대저로","준주거","제2종근린생활","25m미만","129.56","113.00","73,500","null","202003","30"," ","2018",""
"부산광역시 강서구 대저1동","일반","3**","대저중앙로394번길","null","제1종근린생활","8m미만","271.44","468.00","71,600","null","202004","9"," ","2020","20200423"
"부산광역시 강서구 대저1동","일반","3**","공항로1347번길","제1종일반주거","제2종근린생활","8m미만","457.98","734.00","129,500","null","202004","9"," ","2014",""
"부산광역시 강서구 대저1동","일반","1***","평강로","제1종일반주거","제1종근린생활","25m미만","272","495.00","97,000","null","202004","20"," ","2020",""
"부산광역시 강서구 대저1동","일반","3**","대저중앙로394번길","제1종일반주거","제1종근린생활","8m미만","230.64","433.00","68,117","null","202005","5"," ","2020",""
"부산광역시 강서구 대저1동","일반","3**","-","제1종일반주거","제2종근린생활","8m미만","377.81","556.00","99,800","null","202005","7"," ","2014",""
"부산광역시 강서구 대저1동","일반","2***","체육공원로6번길","제1종일반주거","제2종근린생활","8m미만","99","330.00","67,000","null","202005","11"," ","2018","20200604"
"부산광역시 강서구 대저1동","일반","1***","대저로155번길","제1종일반주거","교육연구","12m미만","462.83","881.00","190,000","null","202005","12"," ","2016",""
"부산광역시 강서구 대저1동","일반","1***","대저로","제1종일반주거","제2종근린생활","25m미만","362.68","650.00","127,500","null","202005","19"," ","1996",""
"부산광역시 강서구 대저1동","일반","2***","체육공원로6번길","제1종일반주거","제2종근린생활","8m미만","99","337.00","67,300","null","202005","20"," ","2018","20200604"
"부산광역시 강서구 대저1동","일반","2***","체육공원로6번길","제1종일반주거","제2종근린생활","8m미만","99","330.00","67,000","null","202005","20"," ","2018",""
"부산광역시 강서구 대저1동","일반","3**","대저중앙로394번길","제1종일반주거","제1종근린생활","8m미만","230.64","416.00","64,500","null","202005","20"," ","2020",""
"부산광역시 강서구 대저1동","일반","6**","대저로235번길","제1종일반주거","제1종근린생활","8m미만","750","1294.00","138,171","null","202005","22"," ","1997",""
"부산광역시 강서구 대저1동","일반","3***","평강로171번길","제1종일반주거","제2종근린생활","8m미만","191.54","353.00","63,322","null","202006","2"," ","2013",""
"부산광역시 강서구 대저1동","일반","1***","평강로","제1종일반주거","제1종근린생활","25m미만","379.61","647.00","125,420","null","202006","3"," ","2020",""
"부산광역시 강서구 대저1동","일반","3**","대저중앙로357번길","제1종일반주거","제2종근린생활","12m미만","311.21","412.00","69,628","null","202006","11"," ","2020",""
"부산광역시 강서구 대저1동","일반","3**","대저중앙로394번길","제1종일반주거","제1종근린생활","8m미만","230.64","404.00","62,986","null","202006","12"," ","2020",""
"부산광역시 강서구 대저1동","일반","3**","대저중앙로394번길","제1종일반주거","제1종근린생활","8m미만","226.92","380.00","59,432","null","202006","15"," ","2020",""
"부산광역시 강서구 대저1동","일반","3**","대저중앙로394번길","제1종일반주거","제1종근린생활","8m미만","230.64","392.00","61,279","null","202006","15"," ","2020",""
"부산광역시 강서구 대저1동","일반","5**","대저중앙로309번길","제1종일반주거","제1종근린생활","8m미만","256.06","331.00","53,500","null","202006","19"," ","2016",""
"부산광역시 강서구 대저1동","일반","1***","대저로89번가길","제1종일반주거","제1종근린생활","8m미만","280.8","475.00","76,750","null","202006","20"," ","2020",""
"부산광역시 강서구 대저1동","일반","1***","대저로89번가길","제1종일반주거","제1종근린생활","8m미만","280.8","574.00","89,700","null","202006","20"," ","2020","20200708"
"부산광역시 강서구 대저1동","일반","2***","체육공원로6번길","제1종일반주거","제2종근린생활","25m이상","647.46","442.00","138,000","null","202006","29"," ","2013",""
"부산광역시 강서구 대저1동","일반","6**","대저로221번길","제1종일반주거","제1종근린생활","8m미만","220","371.00","55,870","null","202006","30"," ","2015",""
"부산광역시 강서구 대저1동","일반","2***","대저로","제2종일반주거","기타","25m미만","187.25","264.00","130,000","null","202007","9"," ","1989",""
"부산광역시 강서구 대저1동","일반","4**","-","제1종일반주거","제1종근린생활","8m미만","455.1","460.50","76,500","null","202007","10"," ","2019",""
"부산광역시 강서구 대저1동","일반","3**","공항로1347번길","제1종일반주거","제2종근린생활","8m미만","324","687.50","107,000","null","202007","13"," ","2018",""
"부산광역시 강서구 대저1동","일반","2**","대저중앙로357번길","제1종일반주거","제1종근린생활","8m미만","287.5","557.00","90,300","null","202007","17"," ","2017",""
"부산광역시 강서구 대저1동","일반","1***","평강로","제1종일반주거","제1종근린생활","25m미만","330","659.00","112,800","null","202007","24"," ","2016","20201102"
"부산광역시 강서구 대저1동","일반","3**","대저중앙로357번길","제1종일반주거","제2종근린생활","8m미만","322.96","569.00","105,015","null","202008","3"," ","2017",""
"부산광역시 강서구 대저1동","일반","6**","대저로221번나길","제1종일반주거","제1종근린생활","8m미만","342","595.00","101,400","null","202008","10"," ","2019",""
"부산광역시 강서구 대저1동","일반","3**","대저중앙로375번길","제1종일반주거","제2종근린생활","8m미만","475.46","858.09","159,000","null","202008","13"," ","2021",""
"부산광역시 강서구 대저1동","일반","3**","대저중앙로357번길","제1종일반주거","제2종근린생활","12m미만","361.8","633.00","110,480","null","202008","13"," ","2018",""
"부산광역시 강서구 대저1동","일반","1***","평강로385번길","제1종일반주거","제1종근린생활","8m미만","236.25","434.00","57,350","null","202008","19"," ","2017",""
"부산광역시 강서구 대저1동","일반","1***","대저로155번가길","제1종일반주거","제1종근린생활","8m미만","335","635.00","104,000","null","202008","20"," ","2019","20200907"
"부산광역시 강서구 대저1동","일반","1***","대저로155번가길","제1종일반주거","제1종근린생활","8m미만","335","635.00","104,000","null","202008","20"," ","2019","20200907"
"부산광역시 강서구 대저1동","일반","1***","대저로155번가길","제1종일반주거","제1종근린생활","8m미만","335","635.00","104,000","null","202008","20"," ","2019",""
"부산광역시 강서구 대저1동","일반","3**","대저중앙로375번길","제1종일반주거","제2종근린생활","8m미만","436.45","596.18","111,800","null","202008","24"," ","2021",""
"부산광역시 강서구 대저1동","일반","1***","대저로89번가길","제1종일반주거","제1종근린생활","12m미만","225.9","474.00","91,533","null","202008","25"," ","2017",""
"부산광역시 강서구 대저1동","일반","3**","대저중앙로348번길","제1종일반주거","제2종근린생활","8m미만","308","621.00","111,000","null","202008","27"," ","2015",""
"부산광역시 강서구 대저1동","집합","2***","대저로273번길","준주거","제2종근린생활","8m미만","54.06"," ","39,600","1","202009","1"," ","2019",""
