"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"부산광역시 강서구 녹산동","546-40","0546","0040","삼성빌라","64.33","39.75","202004","15","15,000","2","2016","낙동남로582번길 11-2",""
"부산광역시 강서구 눌차동","218-11","0218","0011","(218-11)","27.8115","25.33","202012","28","9,000","1","2017","동선새바지길 583",""
"부산광역시 강서구 대저1동","1600","1600","0000","삼익빌리지","69.7963","53.06","202005","12","21,500","3","2017","대저로29번길 17",""
"부산광역시 강서구 대저1동","1600","1600","0000","삼익빌리지","69.7963","53.06","202007","10","21,000","3","2017","대저로29번길 17",""
"부산광역시 강서구 대저1동","1600","1600","0000","삼익빌리지","69.7963","53.06","202008","15","21,000","4","2017","대저로29번길 17",""
"부산광역시 강서구 대저1동","1600","1600","0000","삼익빌리지","69.7963","53.06","202009","17","20,500","3","2017","대저로29번길 17",""
"부산광역시 강서구 대저1동","1600","1600","0000","삼익빌리지","69.7963","53.06","202011","10","20,000","3","2017","대저로29번길 17",""
"부산광역시 강서구 대저1동","410-8","0410","0008","송훈하이츠빌103동104동","64.605","55.69","202008","15","24,000","4","2020","공항로1309번길 64",""
"부산광역시 강서구 대저1동","410-8","0410","0008","송훈하이츠빌103동104동","64.605","55.69","202008","25","22,200","4","2020","공항로1309번길 64",""
"부산광역시 강서구 대저1동","410-8","0410","0008","송훈하이츠빌103동104동","64.605","55.69","202008","25","24,000","5","2020","공항로1309번길 64",""
"부산광역시 강서구 대저1동","410-8","0410","0008","송훈하이츠빌103동104동","64.605","55.69","202009","10","24,000","5","2020","공항로1309번길 64",""
"부산광역시 강서구 대저1동","410-4","0410","0004","송훈하이츠빌105동","63.99","77.5","202101","2","22,500","5","2020","공항로1309번길 62",""
"부산광역시 강서구 대저1동","411-1","0411","0001","승훈하이츠빌라(101,102동)","64.605","77.5","202008","25","20,500","2","2019","공항로1309번길 68",""
