"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"부산광역시 강서구 녹산동","546-40","0546","0040","삼성빌라","월세","64.33","202005","2","1,000","40","2","2016","낙동남로582번길 11-2"
"부산광역시 강서구 녹산동","546-40","0546","0040","삼성빌라","월세","64.33","202006","24","1,300","30","5","2016","낙동남로582번길 11-2"
"부산광역시 강서구 녹산동","546-40","0546","0040","삼성빌라","월세","64.33","202102","19","1,000","40","3","2016","낙동남로582번길 11-2"
"부산광역시 강서구 녹산동","546-17","0546","0017","에코시티","월세","62.79","202011","14","3,000","25","3","2016","낙동남로582번길 14"
"부산광역시 강서구 녹산동","546-17","0546","0017","에코시티","월세","62.2","202011","20","5,000","15","3","2016","낙동남로582번길 14"
"부산광역시 강서구 녹산동","546-17","0546","0017","에코시티","월세","62.79","202012","3","1,500","40","4","2016","낙동남로582번길 14"
"부산광역시 강서구 대저1동","410-8","0410","0008","송훈하이츠빌103동104동","전세","64.605","202007","20","17,000","0","3","2020","공항로1309번길 64"
"부산광역시 강서구 대저1동","410-8","0410","0008","송훈하이츠빌103동104동","월세","64.605","202007","29","2,000","50","3","2020","공항로1309번길 64"
"부산광역시 강서구 대저1동","410-8","0410","0008","송훈하이츠빌103동104동","월세","64.605","202008","8","2,000","50","2","2020","공항로1309번길 64"
"부산광역시 강서구 대저1동","410-8","0410","0008","송훈하이츠빌103동104동","월세","64.605","202009","15","2,000","50","2","2020","공항로1309번길 64"
"부산광역시 강서구 대저1동","410-8","0410","0008","송훈하이츠빌103동104동","월세","64.605","202101","12","5,000","40","2","2020","공항로1309번길 64"
"부산광역시 강서구 대저1동","410-4","0410","0004","송훈하이츠빌105동","전세","63.99","202006","20","20,000","0","2","2020","공항로1309번길 62"
"부산광역시 강서구 대저1동","410-4","0410","0004","송훈하이츠빌105동","전세","63.99","202006","20","20,000","0","2","2020","공항로1309번길 62"
"부산광역시 강서구 대저1동","411-1","0411","0001","승훈하이츠빌라(101,102동)","월세","64.605","202101","5","2,000","53","3","2019","공항로1309번길 68"
"부산광역시 강서구 대저1동","2304","2304","0000","투엑스원룸","월세","24.42","202102","15","5,000","15","4","2013","체육공원로26번길 152"
"부산광역시 강서구 대저1동","384-17","0384","0017","한라빌101동","전세","64.6175","202011","2","15,000","0","3","2017","공항로1309번길 80-15"
"부산광역시 강서구 대항동","9-5","0009","0005","파도소리 빌라","전세","43.68","202012","2","6,000","0","2","2016","가덕해안로1169번길 62-49"
"부산광역시 강서구 동선동","245-2","0245","0002","팰리스","전세","52.5","202009","5","5,000","0","2","2015","동선길 57-25"
"부산광역시 강서구 명지동","1341-6","1341","0006","(1341-6)","전세","29.9","202009","6","8,000","0","3","2019","영강길17번길 64"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.469","202003","3","20,700","0","3","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.469","202003","6","20,700","0","3","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.469","202003","6","20,700","0","3","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.469","202003","9","20,700","0","3","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.469","202003","9","20,700","0","3","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.469","202003","9","20,700","0","3","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.469","202003","9","20,700","0","3","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.469","202003","10","20,700","0","3","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.469","202003","11","20,700","0","3","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.469","202003","12","20,700","0","3","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.469","202003","14","20,700","0","3","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.469","202003","14","20,700","0","3","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.469","202003","14","20,700","0","3","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.469","202003","16","20,700","0","3","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.469","202003","19","21,400","0","3","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.469","202003","24","20,700","0","3","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.469","202003","27","20,700","0","3","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.4654","202004","3","23,800","0","4","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.469","202007","29","23,000","0","3","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.1532","202008","13","21,000","0","1","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.8856","202008","26","20,700","0","1","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.4654","202011","2","30,000","0","4","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.4654","202011","2","30,000","0","4","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3478-4","3478","0004","부산명지중흥S-클래스더테라스","전세","84.895","202101","23","34,000","0","2","2019","명지국제13로38번길 11"
"부산광역시 강서구 명지동","3214-3","3214","0003","월드빌","전세","56.545","202008","25","1,000","0","4","2003","명지새동네길14번길 7"
"부산광역시 강서구 명지동","3208-1","3208","0001","유성빌라","전세","75.96","202005","17","9,000","0","5","2004","명지새동네길1번길 76"
"부산광역시 강서구 성북동","102-5","0102","0005","(102-5)","월세","26.23","202004","7","300","20","2","2015","선창길 80"
"부산광역시 강서구 천성동","1369-2","1369","0002","1369-2","월세","34.4","202008","14","500","30","2","2016","가덕해안로 693-7"
"부산광역시 금정구 구서동","471-4","0471","0004","(471-4)","월세","31.9365","202005","7","1,000","40","2","2012","금강로 395-1"
"부산광역시 금정구 구서동","485-1","0485","0001","(485-1)","전세","57.3246","202008","4","8,386","0","3","2013","체육공원로19번길 62"
"부산광역시 금정구 구서동","87-9","0087","0009","(87-9)","월세","77.49","202003","24","8,000","20","5","1981","구서로 12"
"부산광역시 금정구 구서동","87-9","0087","0009","(87-9)","전세","77.49","202006","11","16,000","0","5","1981","구서로 12"
"부산광역시 금정구 구서동","87-9","0087","0009","(87-9)","전세","84.89","202006","29","1,000","0","4","1981","구서로 12"
"부산광역시 금정구 구서동","87-9","0087","0009","(87-9)","전세","84.89","202008","27","15,000","0","4","1981","구서로 12"
"부산광역시 금정구 구서동","86-40","0086","0040","강한베스트빌","월세","67.44","202007","8","6,000","30","4","2002","금정로233번길 61-10"
"부산광역시 금정구 구서동","445-25","0445","0025","골드빌리지","월세","17.63","202102","17","500","35","3","2012","금정로219번길 10-22"
"부산광역시 금정구 구서동","164-32","0164","0032","광이빌라","전세","74.22","202009","26","14,000","0","3","2003","두실로15번길 43"
"부산광역시 금정구 구서동","87-49","0087","0049","구서드림빌","전세","22.35","202009","19","5,000","0","2","2003","금강로446번길 24"
"부산광역시 금정구 구서동","471-14","0471","0014","구서원룸","월세","17.89","202009","1","300","32","4","2011","금강로 399"
"부산광역시 금정구 구서동","158-11","0158","0011","금수주택","전세","58.98","202007","27","2,000","0","1","1978","금강로 586"
"부산광역시 금정구 구서동","463-31","0463","0031","금정파크빌라(2동)","월세","75.22","202003","14","7,000","20","4","2000","수림로50번길 99"
"부산광역시 금정구 구서동","184-31","0184","0031","금홍빌","전세","30.0075","202006","10","8,000","0","2","2012","구서중앙로 4-8"
"부산광역시 금정구 구서동","184-31","0184","0031","금홍빌","전세","30.0075","202006","10","8,000","0","2","2012","구서중앙로 4-8"
