"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"부산광역시 강서구 녹산동","287","287","0","1동","78.07","202003","13","22,500","12","2017","화전산업대로 272-11",""
"부산광역시 강서구 녹산동","287","287","0","1동","78.07","202006","12","19,000","12","2017","화전산업대로 272-11",""
"부산광역시 강서구 대저1동","2338-2","2338","2","태원더블루원","67.62","202007","27","18,000","9","2017","대저로 286",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","29.44","202012","28","13,811","23","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","29.44","202102","17","13,646","24","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","41.74","202102","24","17,908","17","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","93.91","202102","25","22,649","12","2020","명지국제7로 37",""
"부산광역시 강서구 명지동","3594","3594","0","더샵 명지퍼스트월드 2단지","93.91","202102","25","22,648","12","2020","명지국제7로 37","20210323"
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","36.18","202004","24","13,000","18","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202004","27","7,400","10","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","36.18","202005","23","13,500","16","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202006","13","7,050","13","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202006","30","7,000","7","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202009","1","7,100","14","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202009","11","7,000","18","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202009","12","6,300","6","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202009","18","6,170","6","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202009","19","6,000","8","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202009","19","6,200","11","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202010","5","8,900","12","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","36.18","202011","18","13,500","14","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202011","19","6,500","15","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202012","1","6,000","19","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202012","26","5,800","19","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202012","30","5,500","18","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","23.62","202102","16","6,100","19","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3229-26","3229","26","명지 삼정그린코아 웨스트","36.18","202102","27","13,300","18","2015","명지오션시티9로 50",""
"부산광역시 강서구 명지동","3240-7","3240","7","명지 청산오션타워","29","202003","5","8,000","10","2014","명지오션시티1로 173",""
"부산광역시 강서구 명지동","3240-7","3240","7","명지 청산오션타워","47.59","202010","22","13,500","8","2014","명지오션시티1로 173",""
"부산광역시 강서구 명지동","3599-3","3599","3","명지국제신도시 삼정그린코아 더베스트","58.4","202004","1","22,990","28","2019"," ","20200401"
"부산광역시 강서구 명지동","3599-3","3599","3","명지국제신도시 삼정그린코아 더베스트","56.06","202005","15","21,000","24","2019"," ",""
"부산광역시 강서구 명지동","3599-3","3599","3","명지국제신도시 삼정그린코아 더베스트","29.25","202008","18","12,000","24","2019"," ",""
"부산광역시 강서구 명지동","3599-3","3599","3","명지국제신도시 삼정그린코아 더베스트","29.13","202102","8","8,900","13","2019"," ",""
"부산광역시 강서구 명지동","3239-6","3239","6","명지롯데프라자","27.27","202010","8","7,000","7","2014","명지오션시티4로 73",""
