"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"부산광역시 강서구 녹산동","262-1","0262","0001","1동","전세","29.25","202003","18","6,000","0","6","2017"," "
"부산광역시 강서구 녹산동","262-1","0262","0001","1동","전세","29.25","202003","25","6,000","0","8","2017"," "
"부산광역시 강서구 녹산동","262-1","0262","0001","1동","전세","29.25","202004","17","6,000","0","9","2017"," "
"부산광역시 강서구 녹산동","287","0287","0000","1동","전세","29.25","202003","23","6,000","0","8","2017","화전산업대로 272-11"
"부산광역시 강서구 녹산동","287","0287","0000","1동","전세","29.25","202003","31","6,000","0","7","2017","화전산업대로 272-11"
"부산광역시 강서구 녹산동","287","0287","0000","1동","전세","29.25","202010","15","5,500","0","11","2017","화전산업대로 272-11"
"부산광역시 강서구 대저1동","1728-1","1728","0001","우창팰리스","전세","84.26","202008","4","15,000","0","2","null"," "
"부산광역시 강서구 대저1동","1728-1","1728","0001","우창팰리스","전세","84.26","202011","4","18,000","0","2","null"," "
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","전세","29.44","202005","23","8,500","0","23","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","전세","29.44","202008","10","9,000","0","17","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","월세","41.74","202009","1","500","60","24","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","전세","29.44","202009","5","12,000","0","17","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","월세","29.44","202009","17","1,000","40","26","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","전세","93.91","202009","19","25,000","0","7","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","전세","29.44","202009","24","12,500","0","24","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","월세","93.91","202009","24","1,000","83","11","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","전세","29.44","202009","25","12,000","0","25","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","전세","50.71","202010","5","18,000","0","17","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","월세","41.74","202010","13","3,000","40","16","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","전세","29.44","202010","23","13,000","0","15","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","전세","29.44","202010","30","13,000","0","22","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","월세","29.44","202010","30","500","45","22","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","월세","29.44","202011","2","500","45","15","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","전세","29.44","202011","6","13,000","0","20","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","전세","50.71","202011","11","19,000","0","15","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","월세","29.44","202011","26","500","45","26","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","월세","41.74","202012","12","500","55","19","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","월세","29.44","202012","18","500","43","20","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","월세","29.44","202101","15","500","45","22","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3594","3594","0000","더샵 명지퍼스트월드 2단지","월세","29.44","202102","6","500","50","21","2020","명지국제7로 37"
"부산광역시 강서구 명지동","3229-26","3229","0026","명지 삼정그린코아 웨스트","전세","23.62","202003","1","6,500","0","15","2015","명지오션시티9로 50"
"부산광역시 강서구 명지동","3229-26","3229","0026","명지 삼정그린코아 웨스트","월세","23.62","202003","1","300","30","15","2015","명지오션시티9로 50"
"부산광역시 강서구 명지동","3229-26","3229","0026","명지 삼정그린코아 웨스트","월세","23.62","202003","2","300","30","2","2015","명지오션시티9로 50"
"부산광역시 강서구 명지동","3229-26","3229","0026","명지 삼정그린코아 웨스트","월세","23.62","202003","2","500","21","2","2015","명지오션시티9로 50"
"부산광역시 강서구 명지동","3229-26","3229","0026","명지 삼정그린코아 웨스트","월세","23.62","202003","4","500","35","9","2015","명지오션시티9로 50"
"부산광역시 강서구 명지동","3229-26","3229","0026","명지 삼정그린코아 웨스트","전세","23.62","202003","6","6,000","0","4","2015","명지오션시티9로 50"
"부산광역시 강서구 명지동","3229-26","3229","0026","명지 삼정그린코아 웨스트","월세","23.62","202003","7","500","30","14","2015","명지오션시티9로 50"
"부산광역시 강서구 명지동","3229-26","3229","0026","명지 삼정그린코아 웨스트","월세","23.62","202003","13","500","30","3","2015","명지오션시티9로 50"
"부산광역시 강서구 명지동","3229-26","3229","0026","명지 삼정그린코아 웨스트","월세","23.62","202003","16","300","30","3","2015","명지오션시티9로 50"
"부산광역시 강서구 명지동","3229-26","3229","0026","명지 삼정그린코아 웨스트","월세","23.62","202003","17","300","30","16","2015","명지오션시티9로 50"
"부산광역시 강서구 명지동","3229-26","3229","0026","명지 삼정그린코아 웨스트","월세","23.62","202003","18","500","30","19","2015","명지오션시티9로 50"
"부산광역시 강서구 명지동","3229-26","3229","0026","명지 삼정그린코아 웨스트","월세","23.62","202003","19","500","30","14","2015","명지오션시티9로 50"
"부산광역시 강서구 명지동","3229-26","3229","0026","명지 삼정그린코아 웨스트","월세","23.62","202003","23","500","30","13","2015","명지오션시티9로 50"
"부산광역시 강서구 명지동","3229-26","3229","0026","명지 삼정그린코아 웨스트","전세","23.62","202003","24","7,500","0","16","2015","명지오션시티9로 50"
