"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분","해제사유발생일"
"부산광역시 사하구 신평동","1*","도로","제2종일반주거지역","25m미만","202002","29","38","100","지분",""
"부산광역시 사상구 모라동","9**","대","준주거지역","8m미만","202002","29","53","11,850"," ",""
"부산광역시 강서구 봉림동","8**","답","개발제한구역","8m미만","202002","29","1500","26,330"," ",""
"부산광역시 동구 수정동","2**","대","일반상업지역","8m미만","202002","29","35.88","3,500","지분",""
"부산광역시 수영구 망미동","5**","도로","제2종일반주거지역","8m미만","202002","29","49","375","지분",""
"부산광역시 남구 감만동","1**","도로","제3종일반주거지역","8m미만","202002","29","69","6,000"," ",""
"부산광역시 사하구 감천동","2**","전","제3종일반주거지역","12m미만","202002","29","86","7,800"," ",""
"부산광역시 기장군 철마면 고촌리","산3*","임야","자연녹지지역","-","202003","1","827","15,000","지분",""
"부산광역시 사하구 감천동","2*","대","제2종일반주거지역","8m미만","202003","1","144","6,500"," ",""
"부산광역시 기장군 장안읍 반룡리","8**","공장용지","일반공업지역","25m미만","202003","2","39263.5","1,365,879"," ","20200326"
"부산광역시 서구 서대신동3가","산6*","임야","자연녹지지역","-","202003","2","702.5","14,840","지분",""
"부산광역시 강서구 송정동","4**","답","자연녹지지역","8m미만","202003","2","992","19,500","지분",""
"부산광역시 부산진구 전포동","5**","전","제2종일반주거지역","8m미만","202003","2","13.01","2,000","지분",""
"부산광역시 동구 수정동","7**","대","제3종일반주거지역","8m미만","202003","2","36","2,100"," ",""
"부산광역시 기장군 일광면 용천리","6**","임야","자연녹지지역","-","202003","2","202","3,000"," ",""
"부산광역시 기장군 기장읍 석산리","산1*","임야","개발제한구역","-","202003","2","230","3,000"," ",""
"부산광역시 강서구 명지동","3***","대","일반상업지역","25m이상","202003","2","10.16","3,000","지분",""
"부산광역시 부산진구 개금동","2**","도로","준주거지역","-","202003","2","8","360"," ",""
"부산광역시 강서구 대항동","1**","답","자연녹지지역","-","202003","2","119","4,200","지분",""
"부산광역시 기장군 기장읍 교리","2**","주차장","제3종일반주거지역","12m미만","202003","2","290","54,252"," ",""
"부산광역시 기장군 기장읍 교리","2**","주차장","제3종일반주거지역","12m미만","202003","2","298","55,748"," ",""
"부산광역시 해운대구 우동","6**","잡종지","일반상업지역","25m미만","202003","2","1388","577,606"," ",""
"부산광역시 기장군 기장읍 석산리","1**","대","개발제한구역","-","202003","2","202","6,000"," ",""
"부산광역시 사하구 장림동","7**","도로","제3종일반주거지역","-","202003","2","5.11","654","지분",""
"부산광역시 강서구 대항동","1**","전","자연녹지지역","-","202003","2","205","7,250","지분",""
"부산광역시 기장군 일광면 용천리","6**","도로","자연녹지지역","-","202003","2","139","800"," ",""
"부산광역시 강서구 미음동","산7*","임야","자연녹지지역","-","202003","3","165","1,350","지분",""
"부산광역시 서구 초장동","8*","대","제2종일반주거지역","8m미만","202003","3","131.6","10,000"," ",""
"부산광역시 영도구 영선동4가","1**","대","제3종일반주거지역","8m미만","202003","3","68.8","13,500"," ",""
"부산광역시 기장군 일광면 동백리","2**","전","제1종일반주거지역","8m미만","202003","3","166","14,000"," ",""
"부산광역시 강서구 죽동동","4**","답","개발제한구역","-","202003","3","1180","17,850"," ",""
"부산광역시 사상구 괘법동","4**","답","제2종일반주거지역","12m미만","202003","3","145","26,250"," ",""
"부산광역시 해운대구 송정동","2**","임야","일반상업지역","8m미만","202003","3","20","3,500","지분",""
"부산광역시 동구 범일동","1***","대","제2종일반주거지역","8m미만","202003","3","38","3,781"," ",""
"부산광역시 기장군 일광면 동백리","2**","임야","제1종일반주거지역","8m미만","202003","3","502","40,000"," ",""
"부산광역시 사하구 감천동","3**","도로","제3종일반주거지역","-","202003","3","70","5,000"," ",""
