"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"서울특별시 강남구 개포동","1***","다가구","8m미만","415.33","180","202003","13","260,000","1991","논현로18길",""
"서울특별시 강남구 개포동","1***","다가구","12m미만","477.74","219.6","202011","21","385,000","2003","논현로8길",""
"서울특별시 강남구 개포동","1***","단독","8m미만","435.09","168.8","202007","16","265,000","1991","논현로6길",""
"서울특별시 강남구 개포동","1***","단독","12m미만","467.38","168.9","202007","10","250,000","1990","논현로4길",""
"서울특별시 강남구 개포동","1***","단독","8m미만","290.81","214.2","202004","2","230,000","1989","논현로8길",""
"서울특별시 강남구 개포동","1***","단독","8m미만","290.81","214.2","202008","10","250,000","1989","null","20200922"
"서울특별시 강남구 개포동","1**","단독","8m미만","523.68","239.1","202011","19","504,000","1987","선릉로6길",""
"서울특별시 강남구 개포동","1***","단독","8m미만","645.76","247.7","202009","21","307,000","1993","논현로12길",""
"서울특별시 강남구 개포동","1***","단독","8m미만","320.46","249.6","202004","27","297,000","1988","논현로2길",""
"서울특별시 강남구 개포동","1***","단독","12m미만","780.02","264.5","202004","13","430,000","1991","논현로8길",""
"서울특별시 강남구 개포동","1***","단독","12m미만","785.26","271","202012","15","348,000","1989","논현로4길",""
"서울특별시 강남구 개포동","1***","단독","25m미만","753.46","281.3","202004","21","410,000","1987","논현로16길",""
"서울특별시 강남구 개포동","1***","단독","25m미만","735.42","288.1","202006","18","443,000","2009","개포로22길",""
"서울특별시 강남구 개포동","1***","단독","8m미만","1107.83","339","202008","29","550,000","1992","개포로26길",""
"서울특별시 강남구 개포동","1***","단독","8m미만","498.42","540.1","202101","7","820,000","1997","개포로31길",""
"서울특별시 강남구 논현동","1**","다가구","8m미만","419.72","180.3","202012","9","265,000","1997","학동로41길",""
"서울특별시 강남구 논현동","1**","다가구","8m미만","382.84","180.5","202006","29","240,000","1997","강남대로126길",""
"서울특별시 강남구 논현동","1**","다가구","8m미만","406.89","182.9","202006","2","280,000","1993","강남대로114길","20200717"
"서울특별시 강남구 논현동","1**","다가구","8m미만","406.89","182.9","202006","2","280,000","1993","강남대로114길",""
"서울특별시 강남구 논현동","1**","다가구","8m미만","419.52","186.1","202101","19","300,000","1995","논현로123길",""
"서울특별시 강남구 논현동","7*","다가구","8m미만","399.16","190.6","202011","28","460,000","1991","논현로142길",""
"서울특별시 강남구 논현동","1**","다가구","25m미만","469.73","195.1","202007","22","445,000","1992","학동로6길",""
"서울특별시 강남구 논현동","1**","다가구","8m미만","458.14","205.7","202012","28","149,500","1996","논현로111길",""
"서울특별시 강남구 논현동","5*","다가구","8m미만","488.36","209.4","202011","30","550,000","1996","학동로19길",""
"서울특별시 강남구 논현동","1**","다가구","8m미만","492.8","210.4","202005","14","320,000","1996","논현로111길",""
"서울특별시 강남구 논현동","5*","다가구","8m미만","523.5","212.2","202005","13","564,000","2002","논현로131길",""
"서울특별시 강남구 논현동","1**","다가구","8m미만","480.32","212.9","202008","13","350,000","1993","학동로12길",""
"서울특별시 강남구 논현동","1**","다가구","8m미만","451.26","216.8","202012","23","330,000","1991","논현로121길",""
"서울특별시 강남구 논현동","1**","다가구","8m미만","452.7","220.7","202007","15","290,000","1994","학동로20길",""
"서울특별시 강남구 논현동","2**","다가구","8m미만","671.31","226.4","202102","3","685,000","2000","봉은사로33길",""
"서울특별시 강남구 논현동","1**","다가구","8m미만","653.66","227.8","202006","10","350,000","2002","봉은사로25길",""
"서울특별시 강남구 논현동","1**","다가구","8m미만","568.45","234.6","202012","3","629,000","2002","학동로53길","20201230"
"서울특별시 강남구 논현동","1**","다가구","8m미만","568.45","234.6","202012","3","629,000","2002","학동로53길","20210308"
