"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분","해제사유발생일"
"서울특별시 강남구 개포동","656","개포래미안포레스트","59.92","180,200","2","202010","24","입",""
"서울특별시 강남구 개포동","656","개포래미안포레스트","59.92","198,500","18","202011","19","입",""
"서울특별시 강남구 개포동","656","개포래미안포레스트","59.92","190,000","18","202011","21","입",""
"서울특별시 강남구 개포동","656","개포래미안포레스트","59.92","195,000","17","202011","26","입",""
"서울특별시 강남구 개포동","656","개포래미안포레스트","49.92","180,000","7","202101","7","입",""
"서울특별시 강남구 개포동","656","개포래미안포레스트","74.66","240,000","12","202101","18","입",""
"서울특별시 강남구 개포동","189","개포프레지던스자이","102.7636","310,298","30","202007","6","입",""
"서울특별시 강남구 개포동","189","개포프레지던스자이","59.9751","177,000","9","202008","13","입",""
"서울특별시 강남구 개포동","189","개포프레지던스자이","84.5978","282,000","26","202101","20","입",""
"서울특별시 강남구 개포동","660-1","디에이치 퍼스티어 아이파크","84.9642","210,464","1","202008","22","입",""
"서울특별시 강남구 개포동","660-1","디에이치 퍼스티어 아이파크","84.9956","264,446","24","202009","3","입",""
"서울특별시 강남구 개포동","660-1","디에이치 퍼스티어 아이파크","84.9956","233,090","4","202010","18","입",""
"서울특별시 강남구 개포동","660-1","디에이치 퍼스티어 아이파크","84.996","221,377","2","202010","26","입",""
"서울특별시 강남구 개포동","660-1","디에이치 퍼스티어 아이파크","84.9956","224,018","10","202010","27","입",""
"서울특별시 강남구 개포동","660-1","디에이치 퍼스티어 아이파크","84.9956","255,795","8","202011","7","입",""
"서울특별시 강남구 개포동","660-1","디에이치 퍼스티어 아이파크","84.9469","235,845","3","202011","12","입",""
"서울특별시 강남구 개포동","660-1","디에이치 퍼스티어 아이파크","84.9914","256,536","24","202011","14","입",""
"서울특별시 강남구 개포동","660-1","디에이치 퍼스티어 아이파크","59.9742","196,667","17","202011","16","입",""
"서울특별시 강남구 개포동","660-1","디에이치 퍼스티어 아이파크","96.9555","284,298","11","202012","9","입",""
"서울특별시 강남구 개포동","660-1","디에이치 퍼스티어 아이파크","84.9956","246,000","8","202012","9","입",""
"서울특별시 강남구 개포동","660-1","디에이치 퍼스티어 아이파크","96.9414","303,110","24","202012","12","입",""
"서울특별시 강남구 개포동","660-1","디에이치 퍼스티어 아이파크","96.9555","310,841","19","202012","24","입",""
