"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"서울특별시 강남구 개포동","집합","6**","언주로","제3종일반주거","제1종근린생활","25m이상","9.5"," ","15,000","null","202003","20"," ","1984",""
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","교육연구","25m미만","88.51"," ","67,000","null","202004","16"," ","1984",""
"서울특별시 강남구 개포동","일반","1***","논현로","준주거","제1종근린생활","25m이상","1830.39","365.60","1,088,500","null","202004","24"," ","2004",""
"서울특별시 강남구 개포동","일반","1***","논현로","준주거","제1종근린생활","25m이상","1830.39","365.60","1,088,500","null","202004","24"," ","2004",""
"서울특별시 강남구 개포동","일반","1***","논현로4길","제2종일반주거","제1종근린생활","12m미만","247.5","169.10","200,000","null","202005","1"," ","1988",""
"서울특별시 강남구 개포동","집합","1**","삼성로","일반상업","제1종근린생활","25m이상","16.25"," ","3,250","null","202005","13"," ","1984",""
"서울특별시 강남구 개포동","집합","1**","삼성로","일반상업","제1종근린생활","25m이상","19.03"," ","3,750","null","202005","13"," ","1984",""
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","16.99"," ","15,000","4","202005","13"," ","1997",""
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","판매","25m미만","7.8"," ","3,568","null","202005","15"," ","1998",""
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","판매","25m미만","20.75"," ","15,158","null","202005","28"," ","1984",""
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","제1종근린생활","25m이상","10.08"," ","6,350","2","202005","29"," ","1997",""
"서울특별시 강남구 개포동","집합","1**","삼성로","일반상업","제1종근린생활","25m이상","15.52"," ","4,400","null","202006","5"," ","1984",""
"서울특별시 강남구 개포동","집합","6**","개포로","제2종일반주거","판매","25m이상","55.49"," ","120,068","1","202006","19"," ","1984",""
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","제2종근린생활","25m미만","13.52"," ","9,000","5","202006","23"," ","1998",""
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","제2종근린생활","25m미만","15.6"," ","7,000","null","202006","24"," ","1998",""
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","판매","25m미만","11.7"," ","8,548","null","202006","24"," ","1984",""
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","제2종근린생활","25m미만","15.6"," ","7,000","null","202006","24"," ","1998",""
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","판매","25m미만","7.18"," ","17,700","null","202006","27"," ","1998",""
"서울특별시 강남구 개포동","일반","1**","선릉로12길","제3종일반주거","제2종근린생활","8m미만","480.84","188.60","395,000","null","202006","29"," ","1989",""
"서울특별시 강남구 개포동","집합","6**","개포로","제3종일반주거","제2종근린생활","25m미만","39"," ","88,000","null","202006","30"," ","1984",""
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","32.44"," ","21,000","24","202006","30"," ","1997",""
"서울특별시 강남구 개포동","집합","1**","삼성로","일반상업","제2종근린생활","25m이상","11.51"," ","3,000","null","202006","30"," ","1984",""
"서울특별시 강남구 개포동","집합","6**","개포로","제3종일반주거","제2종근린생활","25m미만","19.36"," ","44,500","20","202007","4"," ","1984",""
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","제2종근린생활","25m미만","69.57"," ","58,000","4","202007","6"," ","1984",""
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","제1종근린생활","25m미만","100.8"," ","111,000","4","202007","7"," ","1984",""
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","제2종근린생활","25m미만","88.51"," ","33,000","null","202007","9"," ","1984",""
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","32.44"," ","23,000","6","202007","9"," ","1997","20200715"
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","32.44"," ","23,000","6","202007","10"," ","1997",""
"서울특별시 강남구 개포동","집합","1**","개포로88길","제3종일반주거","제1종근린생활","25m이상","11.59"," ","34,800","null","202007","15"," ","1983",""
"서울특별시 강남구 개포동","집합","1**","개포로88길","제3종일반주거","제1종근린생활","25m이상","11.59"," ","34,800","null","202007","15"," ","1983","20200717"
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","제2종근린생활","25m미만","88.01"," ","31,000","null","202007","20"," ","1984","20200825"
"서울특별시 강남구 개포동","일반","1***","논현로16길","제2종일반주거","제1종근린생활","8m미만","703.48","281.50","420,000","null","202007","24"," ","1992",""
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","32.44"," ","20,000","18","202007","25"," ","1997",""
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","제2종근린생활","25m미만","54.6"," ","62,000","4","202007","28"," ","1984",""
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","제2종근린생활","25m미만","140.4"," ","124,000","4","202007","28"," ","1984",""
"서울특별시 강남구 개포동","일반","1***","논현로12길","제2종일반주거","제1종근린생활","25m미만","603.55","314.30","595,000","null","202007","29"," ","1997",""
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","32.44"," ","22,300","9","202007","31"," ","1997",""
"서울특별시 강남구 개포동","일반","1***","논현로","제3종일반주거","제1종근린생활","25m이상","1109.59","270.90","635,000","null","202008","12"," ","2003",""
"서울특별시 강남구 개포동","집합","1**","삼성로","일반상업","제1종근린생활","25m이상","20.23"," ","4,000","null","202008","12"," ","1984",""
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","제1종근린생활","25m미만","48.15"," ","54,250","3","202008","14"," ","1984",""
"서울특별시 강남구 개포동","집합","1***","논현로16길","제2종일반주거","제2종근린생활","8m미만","36.68"," ","23,500","1","202008","17"," ","2019",""
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","17.64"," ","43,000","1","202008","24"," ","1997",""
"서울특별시 강남구 개포동","집합","1***","선릉로","제2종일반주거","제2종근린생활","25m이상","11.64"," ","31,000","null","202008","24"," ","2019",""
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","제2종근린생활","25m미만","88.01"," ","31,000","null","202008","25"," ","1984",""
"서울특별시 강남구 개포동","일반","1***","논현로16길","제2종일반주거","제2종근린생활","12m미만","544.4","228.30","395,000","null","202008","28"," ","1991",""
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","판매","25m미만","7.18"," ","17,000","1","202008","29"," ","1998",""
"서울특별시 강남구 개포동","집합","1**","개포로","제3종일반주거","제2종근린생활","25m이상","19.78"," ","132,000","null","202009","3"," ","1983",""
"서울특별시 강남구 개포동","집합","1**","개포로","제3종일반주거","제2종근린생활","25m이상","14.08"," ","20,000","2","202009","4"," ","1983",""
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","제2종근린생활","25m미만","98.08"," ","81,000","6","202009","8"," ","1984",""
"서울특별시 강남구 개포동","일반","1***","논현로20길","준주거","제2종근린생활","12m미만","712","233.70","325,000","null","202009","9"," ","1990",""
"서울특별시 강남구 개포동","집합","1***","삼성로","제2종일반주거","제2종근린생활","-","23.55"," ","109,800","null","202009","11"," ","2019",""
"서울특별시 강남구 개포동","일반","1***","논현로","제3종일반주거","제2종근린생활","25m이상","275.33","313.80","484,500","null","202009","16"," ","1992",""
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","제2종근린생활","25m이상","13.04"," ","9,750","null","202009","25"," ","1997",""
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","제2종근린생활","25m이상","12.87"," ","9,750","null","202009","25"," ","1997",""
"서울특별시 강남구 개포동","집합","6**","개포로","제3종일반주거","제2종근린생활","25m미만","7.62"," ","5,000","null","202009","25"," ","1991",""
"서울특별시 강남구 개포동","집합","1**","개포로88길","제3종일반주거","제2종근린생활","25m이상","33.12"," ","190,000","null","202010","6"," ","1983",""
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","34.39"," ","21,000","11","202010","8"," ","1997",""
"서울특별시 강남구 개포동","집합","6**","언주로","제3종일반주거","제1종근린생활","25m이상","58.73"," ","128,000","null","202010","8"," ","1984",""
"서울특별시 강남구 개포동","집합","6**","개포로","제3종일반주거","제2종근린생활","25m미만","27.42"," ","14,700","20","202010","9"," ","1991",""
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","16.22"," ","10,000","5","202010","12"," ","1997",""
"서울특별시 강남구 개포동","집합","6**","언주로","제3종일반주거","제1종근린생활","25m이상","10.6"," ","16,000","null","202010","16"," ","1986",""
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","제1종근린생활","25m미만","42.66"," ","135,000","null","202010","19"," ","1984",""
"서울특별시 강남구 개포동","집합","1**","개포로82길","일반상업","제2종근린생활","12m미만","83.03"," ","49,500","null","202010","31"," ","1984",""
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","32.44"," ","22,000","7","202011","13"," ","1997",""
"서울특별시 강남구 개포동","일반","1***","논현로12길","제2종일반주거","제2종근린생활","8m미만","654.53","250.30","410,000","null","202011","16"," ","1992",""
"서울특별시 강남구 개포동","집합","1**","개포로82길","일반상업","제1종근린생활","8m미만","227.3"," ","70,000","null","202011","18"," ","1984",""
"서울특별시 강남구 개포동","집합","1**","개포로82길","일반상업","제2종근린생활","8m미만","87.7"," ","30,000","null","202011","18"," ","1984",""
"서울특별시 강남구 개포동","집합","1**","개포로82길","일반상업","제2종근린생활","8m미만","87.7"," ","20,000","null","202011","18"," ","1984",""
"서울특별시 강남구 개포동","집합","1**","개포로82길","일반상업","제2종근린생활","8m미만","227.3"," ","80,000","null","202011","18"," ","1984",""
"서울특별시 강남구 개포동","집합","1**","개포로","제2종일반주거","제2종근린생활","25m미만","9.1"," ","15,000","null","202011","19"," ","1986","20201211"
"서울특별시 강남구 개포동","집합","6**","언주로","제3종일반주거","판매","25m이상","52.63"," ","195,000","null","202011","25"," ","1984",""
"서울특별시 강남구 개포동","집합","1**","개포로","제3종일반주거","제2종근린생활","25m이상","14.4"," ","16,200","2","202011","26"," ","1983",""
"서울특별시 강남구 개포동","집합","1**","개포로82길","일반상업","제1종근린생활","12m미만","52.7"," ","60,000","2","202012","5"," ","1984",""
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","제2종근린생활","25m미만","36.99"," ","31,000","6","202012","7"," ","1984",""
"서울특별시 강남구 개포동","집합","1**","삼성로","일반상업","제2종근린생활","25m이상","8.11"," ","2,500","null","202012","9"," ","1984",""
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","교육연구","25m미만","48.3"," ","73,000","null","202012","9"," ","1984",""
"서울특별시 강남구 개포동","집합","1**","개포로82길","일반상업","제2종근린생활","12m미만","107.13"," ","68,000","3","202012","10"," ","1984",""
"서울특별시 강남구 개포동","집합","1**","개포로","제2종일반주거","제2종근린생활","25m미만","9.1"," ","15,000","null","202012","11"," ","1986",""
"서울특별시 강남구 개포동","집합","1**","개포로82길","일반상업","제2종근린생활","12m미만","31.8"," ","9,000","null","202012","18"," ","1984",""
"서울특별시 강남구 개포동","집합","1***","논현로","준주거","제1종근린생활","25m이상","71.06"," ","172,500","1","202012","24"," ","2019",""
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","32.44"," ","20,000","14","202012","26"," ","1997",""
"서울특별시 강남구 개포동","일반","1***","논현로12길","제2종일반주거","제2종근린생활","8m미만","654.53","250.30","410,000","null","202012","28"," ","1992",""
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","31.91"," ","21,500","22","202101","8"," ","1997",""
"서울특별시 강남구 개포동","집합","1***","삼성로","제2종일반주거","제2종근린생활","-","56.25"," ","150,000","null","202101","15"," ","2019",""
"서울특별시 강남구 개포동","집합","1*","개포로109길","제3종일반주거","제1종근린생활","25m이상","103.88"," ","34,000","2","202101","29"," ","2011",""
"서울특별시 강남구 개포동","집합","1**","개포로","일반상업","판매","25m미만","17.68"," ","10,777","null","202101","30"," ","1984",""
"서울특별시 강남구 개포동","집합","1**","선릉로10길","준주거","제1종근린생활","8m미만","73.18"," ","35,000","3","202102","3"," ","2002",""
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","32.44"," ","22,800","19","202102","8"," ","1997",""
"서울특별시 강남구 개포동","집합","1*","개포로","일반상업","업무","25m이상","32.44"," ","20,000","9","202102","25"," ","1997",""
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","제2종근린생활","25m미만","20.66"," ","12,915","4","202102","26"," ","1998",""
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","제2종근린생활","25m미만","14.65"," ","9,135","4","202102","26"," ","1998",""
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","제2종근린생활","25m미만","23.03"," ","14,400","4","202102","26"," ","1998",""
"서울특별시 강남구 개포동","집합","1*","개포로109길","일반상업","제2종근린생활","25m미만","13.69"," ","8,550","4","202102","26"," ","1998",""
"서울특별시 강남구 논현동","일반","1**","학동로","일반상업","제2종근린생활","25m이상","2411.09","340.70","2,200,000","null","202003","4"," ","2018",""
"서울특별시 강남구 논현동","일반","1**","강남대로122길","제2종일반주거","제1종근린생활","12m미만","1488.69","319.90","833,000","null","202003","9"," ","1997",""
"서울특별시 강남구 논현동","일반","1**","학동로4길","제3종일반주거","제1종근린생활","12m미만","2126.82","913.40","2,048,000","null","202003","10"," ","1980",""
"서울특별시 강남구 논현동","일반","1**","강남대로114길","제2종일반주거","제2종근린생활","8m미만","709.56","246.50","480,000","null","202003","16"," ","1992",""
"서울특별시 강남구 논현동","일반","*","도산대로16길","제3종일반주거","제2종근린생활","8m미만","890.24","371.30","1,000,000","null","202003","23"," ","1989",""
"서울특별시 강남구 논현동","집합","2**","봉은사로","일반상업","업무","25m이상","30.03"," ","19,500","10","202004","13"," ","2003",""
"서울특별시 강남구 논현동","집합","2**","봉은사로33길","제2종일반주거","제2종근린생활","8m미만","21.85"," ","25,000","null","202004","23"," ","1978",""
"서울특별시 강남구 논현동","일반","2**","선릉로","제3종일반주거","제2종근린생활","25m이상","1825.4","811.60","2,190,000","null","202004","24"," ","1980",""
"서울특별시 강남구 논현동","일반","1**","학동로","제3종일반주거","기타","25m이상","1566.8","629.00","1,820,000","null","202004","24"," ","1982",""
"서울특별시 강남구 논현동","집합","2**","선릉로129길","일반상업","제1종근린생활","8m미만","204.94"," ","86,900","null","202004","27"," ","2000",""
"서울특별시 강남구 논현동","일반","1**","언주로","일반상업","업무","25m이상","12302","3252.80","15,200,000","null","202004","27"," ","1985",""
"서울특별시 강남구 논현동","일반","2*","학동로3길","제3종일반주거","제2종근린생활","8m미만","1180.58","327.30","930,000","null","202004","29"," ","2011",""
