"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강남구 개포동","13-3","13","3","대청타워","32.44","202003","14","19,500","7","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","32.44","202003","14","22,000","20","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","34.39","202003","18","22,000","16","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","31.91","202003","26","22,000","14","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","32.44","202004","6","22,000","16","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","31.91","202004","7","21,300","17","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","32.44","202005","12","21,900","19","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","32.44","202005","14","22,000","10","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","32.86","202006","2","21,800","22","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","31.91","202006","13","22,500","8","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","32.44","202006","19","21,800","25","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","32.44","202007","4","21,500","6","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","31.91","202007","18","20,000","10","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","31.91","202007","18","23,500","19","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","32.44","202007","29","22,500","7","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","31.91","202007","30","22,500","19","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","32.44","202007","30","22,000","21","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","32.44","202008","12","23,500","25","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","31.91","202008","14","23,500","23","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","31.91","202010","7","22,500","15","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","31.91","202010","16","20,800","5","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","32.44","202010","16","22,000","12","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","32.44","202011","6","20,000","21","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","31.91","202012","21","20,000","11","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","32.44","202012","29","21,000","6","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","31.91","202101","13","23,500","14","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","31.91","202101","14","21,500","15","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","31.91","202102","3","22,000","18","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","31.91","202102","5","19,000","13","1997","개포로 623",""
"서울특별시 강남구 개포동","13-3","13","3","대청타워","31.91","202102","15","20,000","5","1997","개포로 623","20210324"
"서울특별시 강남구 개포동","13-3","13","3","대청타워","31.91","202102","15","20,000","5","1997","개포로 623",""
"서울특별시 강남구 개포동","186-13","186","13","메트하임","22","202011","21","35,100","9","2018","개포로 504",""
"서울특별시 강남구 개포동","186-13","186","13","메트하임","22","202012","1","37,000","13","2018","개포로 504",""
"서울특별시 강남구 개포동","186-13","186","13","메트하임","22","202101","6","34,800","15","2018","개포로 504",""
"서울특별시 강남구 논현동","96","96","0","	(96)	","22.05","202005","13","15,300","8","1987","도산대로46길 11",""
"서울특별시 강남구 논현동","96","96","0","	(96)	","22.05","202006","2","13,500","4","1987","도산대로46길 11",""
"서울특별시 강남구 논현동","96","96","0","	(96)	","22.05","202007","20","13,000","5","1987","도산대로46길 11",""
"서울특별시 강남구 논현동","96","96","0","	(96)	","22.05","202009","22","16,000","3","1987","도산대로46길 11",""
"서울특별시 강남구 논현동","96","96","0","	(96)	","22.05","202012","21","14,500","8","1987","도산대로46길 11",""
"서울특별시 강남구 논현동","96","96","0","	(96)	","22.05","202012","21","14,500","8","1987","도산대로46길 11",""
"서울특별시 강남구 논현동","96","96","0","	(96)	","22.05","202101","6","15,500","6","1987","도산대로46길 11",""
"서울특별시 강남구 논현동","96","96","0","	(96)	","22.05","202102","1","15,900","4","1987","도산대로46길 11",""
"서울특별시 강남구 논현동","241-3","241","3","강남구청역 에스케이 허브 블루","52.24","202003","16","49,000","12","2005","학동로 342",""
"서울특별시 강남구 논현동","241-3","241","3","강남구청역 에스케이 허브 블루","38.75","202004","12","35,000","10","2005","학동로 342",""
"서울특별시 강남구 논현동","241-3","241","3","강남구청역 에스케이 허브 블루","38.75","202005","15","34,000","8","2005","학동로 342",""
"서울특별시 강남구 논현동","241-3","241","3","강남구청역 에스케이 허브 블루","38.75","202006","16","32,000","5","2005","학동로 342",""
"서울특별시 강남구 논현동","241-3","241","3","강남구청역 에스케이 허브 블루","38.75","202006","16","36,000","14","2005","학동로 342",""
"서울특별시 강남구 논현동","241-3","241","3","강남구청역 에스케이 허브 블루","69.32","202006","22","68,000","15","2005","학동로 342",""
"서울특별시 강남구 논현동","241-3","241","3","강남구청역 에스케이 허브 블루","69.32","202007","22","69,000","13","2005","학동로 342",""
"서울특별시 강남구 논현동","241-3","241","3","강남구청역 에스케이 허브 블루","38.75","202008","7","36,000","12","2005","학동로 342",""
"서울특별시 강남구 논현동","241-3","241","3","강남구청역 에스케이 허브 블루","34.57","202008","25","34,000","7","2005","학동로 342",""
"서울특별시 강남구 논현동","241-3","241","3","강남구청역 에스케이 허브 블루","69.32","202008","27","70,000","15","2005","학동로 342",""
"서울특별시 강남구 논현동","241-3","241","3","강남구청역 에스케이 허브 블루","38.75","202010","7","33,700","6","2005","학동로 342",""
"서울특별시 강남구 논현동","241-3","241","3","강남구청역 에스케이 허브 블루","34.57","202010","29","33,000","5","2005","학동로 342",""
"서울특별시 강남구 논현동","241-3","241","3","강남구청역 에스케이 허브 블루","34.57","202011","18","35,000","5","2005","학동로 342",""
"서울특별시 강남구 논현동","241-3","241","3","강남구청역 에스케이 허브 블루","69.32","202012","8","64,100","12","2005","학동로 342",""
"서울특별시 강남구 논현동","241-3","241","3","강남구청역 에스케이 허브 블루","38.75","202012","22","33,000","11","2005","학동로 342",""
"서울특별시 강남구 논현동","241-3","241","3","강남구청역 에스케이 허브 블루","40.18","202101","13","35,800","5","2005","학동로 342",""
"서울특별시 강남구 논현동","241-3","241","3","강남구청역 에스케이 허브 블루","78.05","202101","19","70,000","13","2005","학동로 342",""
"서울특별시 강남구 논현동","241-1","241","1","강남파라곤","55.21","202003","13","74,000","17","2007","학동로 338",""
"서울특별시 강남구 논현동","241-1","241","1","강남파라곤","58.28","202007","7","77,500","13","2007","학동로 338",""
"서울특별시 강남구 논현동","241-1","241","1","강남파라곤","55.21","202008","4","54,000","11","2007","학동로 338","20200811"
"서울특별시 강남구 논현동","241-1","241","1","강남파라곤","55.21","202008","13","54,000","11","2007","학동로 338",""
"서울특별시 강남구 논현동","241-1","241","1","강남파라곤","75.94","202009","28","98,000","13","2007","학동로 338",""
"서울특별시 강남구 논현동","203-1","203","1","거평타운오피스텔","32.8","202003","17","15,500","7","1991","봉은사로 129",""
"서울특별시 강남구 논현동","203-1","203","1","거평타운오피스텔","65.6","202005","12","32,000","4","1991","봉은사로 129",""
"서울특별시 강남구 논현동","203-1","203","1","거평타운오피스텔","64.78","202005","14","36,000","3","1991","봉은사로 129",""
"서울특별시 강남구 논현동","203-1","203","1","거평타운오피스텔","32.8","202005","18","15,800","15","1991","봉은사로 129",""
"서울특별시 강남구 논현동","203-1","203","1","거평타운오피스텔","40.8","202005","27","19,700","12","1991","봉은사로 129",""
"서울특별시 강남구 논현동","203-1","203","1","거평타운오피스텔","40.8","202006","17","22,200","18","1991","봉은사로 129",""
"서울특별시 강남구 논현동","203-1","203","1","거평타운오피스텔","32.8","202006","30","16,100","6","1991","봉은사로 129",""
"서울특별시 강남구 논현동","203-1","203","1","거평타운오피스텔","32.8","202008","21","16,300","6","1991","봉은사로 129",""
