"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분","해제사유발생일"
"서울특별시 성북구 성북동","2**","대","자연녹지지역","8m미만","202002","29","8","1,800"," ",""
"서울특별시 성북구 성북동","2**","대","자연녹지지역","8m미만","202002","29","12","2,660"," ",""
"서울특별시 마포구 노고산동","1*","대","제2종일반주거지역","12m미만","202002","29","75.04","30,000","지분",""
"서울특별시 성북구 정릉동","7**","임야","제1종일반주거지역","8m미만","202002","29","147","39,000"," ",""
"서울특별시 관악구 봉천동","1***","도로","제2종일반주거지역","-","202002","29","8","5,000"," ",""
"서울특별시 강남구 율현동","9*","잡종지","자연녹지지역","25m미만","202002","29","144","57,000"," ",""
"서울특별시 성북구 성북동","2**","도로","자연녹지지역","-","202002","29","8","605","지분",""
"서울특별시 강동구 천호동","5**","도로","일반상업지역","-","202002","29","63","68,000"," ",""
"서울특별시 용산구 청파동1가","1**","대","제2종일반주거지역","-","202003","1","10.71","13,572","지분",""
"서울특별시 영등포구 신길동","2**","대","제2종일반주거지역","-","202003","1","10","3,000"," ",""
"서울특별시 중랑구 면목동","6**","대","준주거지역","25m이상","202003","1","22.9","47,000"," ",""
"서울특별시 강서구 화곡동","2*","대","일반상업지역","8m미만","202003","1","1.62","5,631","지분",""
"서울특별시 강서구 화곡동","2*","대","일반상업지역","25m이상","202003","1","1.86","6,452","지분",""
"서울특별시 성동구 행당동","1**","대","제3종일반주거지역","-","202003","2","6.61","10,000","지분",""
"서울특별시 구로구 항동","산*","임야","제2종일반주거지역","-","202003","2","6.28","100","지분",""
"서울특별시 구로구 항동","산*","임야","개발제한구역","12m미만","202003","2","4.72","100","지분",""
"서울특별시 노원구 상계동","1***","대","준주거지역","8m미만","202003","2","21","12,000"," ",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","2","52.5","13,755"," ",""
"서울특별시 노원구 공릉동","6**","대","일반상업지역","25m미만","202003","2","169.2","130,000"," ",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","2","60.6","14,483"," ",""
"서울특별시 중랑구 신내동","5**","대","제3종일반주거지역","8m미만","202003","2","50","15,900"," ",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","2","64","17,088"," ",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","2","66.3","17,570"," ",""
"서울특별시 노원구 상계동","1***","대","준주거지역","8m미만","202003","2","5","3,000"," ",""
"서울특별시 노원구 상계동","1***","대","준주거지역","8m미만","202003","2","60","36,000"," ",""
"서울특별시 구로구 항동","산*","임야","제2종일반주거지역","-","202003","2","1.8","50","지분",""
"서울특별시 동대문구 답십리동","1*","대","제2종일반주거지역","25m미만","202003","2","57","67,760"," ",""
"서울특별시 서초구 내곡동","2**","답","개발제한구역","25m이상","202003","2","290","68,000"," ",""
"서울특별시 용산구 이태원동","2**","대","제2종일반주거지역","8m미만","202003","2","129","87,500"," ",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","2","35","9,065"," ",""
"서울특별시 광진구 자양동","2**","대","제3종일반주거지역","8m미만","202003","3","3","1,559"," ",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","3","39.2","10,153"," ",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","3","42.6","10,437"," ",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","3","45.3","11,552"," ",""
"서울특별시 강북구 미아동","4**","도로","제1종일반주거지역","8m미만","202003","3","48","12,000","지분",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","3","54.2","14,851"," ",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","3","65","15,470"," ",""
"서울특별시 마포구 신수동","9*","대","제2종일반주거지역","25m미만","202003","3","77.7","17,000","지분",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","3","74.5","17,806"," ",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","3","68.4","18,126"," ",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","3","89.8","24,066"," ",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","3","160.1","41,146"," ",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","3","165","42,405"," ",""
"서울특별시 강서구 화곡동","2*","대","일반상업지역","8m미만","202003","3","2.34","5,098","지분",""
"서울특별시 강동구 명일동","산5*","임야","개발제한구역","8m미만","202003","3","66","5,292","지분",""
"서울특별시 강서구 화곡동","2*","대","일반상업지역","25m이상","202003","3","2.68","5,841","지분",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","3","28.3","6,934"," ",""
"서울특별시 은평구 증산동","2**","대","제2종일반주거지역","8m미만","202003","3","58.2","83,609","지분",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","3","43","9,847"," ",""
"서울특별시 구로구 궁동","산*","임야","개발제한구역","-","202003","4","166","1,522","지분",""
"서울특별시 은평구 불광동","3*","답","개발제한구역","8m미만","202003","4","66.12","1,778","지분",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","4","49.6","13,516"," ",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","4","52.5","13,913"," ",""
"서울특별시 노원구 월계동","산1**","임야","자연녹지지역","8m미만","202003","4","24.11","150","지분",""
"서울특별시 노원구 상계동","6***","대","제2종일반주거지역","-","202003","4","85.4","19,898"," ",""
"서울특별시 은평구 불광동","3*","답","개발제한구역","8m미만","202003","4","82.65","2,222","지분",""
"서울특별시 구로구 궁동","산*","임야","개발제한구역","8m미만","202003","4","132.23","2,396","지분",""
"서울특별시 동작구 상도동","2**","도로","제2종일반주거지역","-","202003","4","99.2","3,850","지분",""
"서울특별시 중랑구 면목동","3**","대","제2종일반주거지역","-","202003","4","107.8","41,352"," ",""
