"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 세종특별자치시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"세종특별자치시 고운동","8**","단독","12m미만","185.01","256.5","202007","24","77,822","2020","고운마을3길",""
"세종특별자치시 고운동","1***","단독","12m미만","146.15","331","202005","23","72,500","2020","만남1북로",""
"세종특별자치시 고운동","1***","단독","25m미만","256.64","332","202101","9","133,000","2021","고운서4길",""
"세종특별자치시 고운동","1***","단독","12m미만","249.97","341","202011","19","124,000","2015","만남1북로","20210104"
"세종특별자치시 금남면 금천리","2**","단독","8m미만","76.08","440","202012","24","20,000","1944","금천1길",""
"세종특별자치시 금남면 금천리","2**","단독","8m미만","160.66","465","202006","13","34,000","2005","금천1길",""
"세종특별자치시 금남면 금천리","2**","단독","8m미만","80","1253","202010","5","39,560","2010","금천1길",""
"세종특별자치시 금남면 남곡리","1**","단독","8m미만","87.15","461","202007","3","54,000","1954","남곡1길",""
"세종특별자치시 금남면 달전리","1**","단독","8m미만","22.5","403","202008","26","27,500","2017","원당2길",""
"세종특별자치시 금남면 달전리","3**","단독","8m미만","99.27","459","202101","16","32,500","1999","문절사길",""
"세종특별자치시 금남면 달전리","3**","단독","8m미만","72.3","551","202007","31","33,000","1925","null","20200915"
"세종특별자치시 금남면 대박리","1**","단독","8m미만","114.03","330","202004","9","37,000","2007","대박안길",""
"세종특별자치시 금남면 대박리","3**","단독","8m미만","157.05","362","202011","5","41,700","2015","청운가길",""
"세종특별자치시 금남면 대박리","3**","단독","8m미만","157.05","362","202011","5","41,700","2015","청운가길","20210128"
"세종특별자치시 금남면 대박리","3**","단독","8m미만","157.05","362","202004","13","42,441","2015","청운가길",""
"세종특별자치시 금남면 대박리","3**","단독","8m미만","176.81","375","202006","24","40,000","1990","청운가길",""
"세종특별자치시 금남면 대박리","3**","단독","8m미만","157.05","395","202009","12","41,700","2015","청운가길",""
"세종특별자치시 금남면 대박리","3**","단독","8m미만","121.63","521","202012","28","52,000","2015","청운가길",""
"세종특별자치시 금남면 도남리","1**","단독","8m미만","198.82","532","202003","7","32,000","1980","도남2길",""
"세종특별자치시 금남면 도남리","2**","단독","8m미만","180.13","551","202012","24","67,100","2004","도남1길",""
"세종특별자치시 금남면 도남리","2**","단독","8m미만","69.9","694","202006","26","43,800","2012","도남1길",""
"세종특별자치시 금남면 도남리","2**","단독","8m미만","69.9","694","202006","26","43,800","2012","null","20200901"
"세종특별자치시 금남면 도암리","2**","단독","8m미만","74.5","495","202004","18","28,000","1999","도암영곡길",""
"세종특별자치시 금남면 두만리","3**","단독","8m미만","114.37","397","202011","2","30,000","2004","두만길",""
"세종특별자치시 금남면 발산리","1**","단독","12m미만","131.64","330","202011","17","56,000","2010","발산3길",""
"세종특별자치시 금남면 봉암리","1**","단독","8m미만","99.98","242","202101","30","26,000","2002","진동길",""
"세종특별자치시 금남면 봉암리","8*","단독","8m미만","54.51","253","202008","24","15,900","1910","진동길","20200926"
"세종특별자치시 금남면 봉암리","8*","단독","8m미만","54.51","253","202009","28","15,900","1910","진동길",""
"세종특별자치시 금남면 부용리","5**","단독","8m미만","63.9","533","202006","19","35,000","2005","초오개길",""
"세종특별자치시 금남면 성강리","4**","단독","8m미만","65.18","443","202009","10","14,930","1999","null",""
"세종특별자치시 금남면 성덕리","3**","단독","8m미만","140.13","554","202012","14","30,700","1985","성덕2길",""
"세종특별자치시 금남면 성덕리","2**","단독","8m미만","62.81","559","202011","16","22,800","1928","성덕도암길","20210319"
