"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 세종특별자치시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명"
"세종특별자치시 고운동","1**","-","84.9","월세","202008","13","5,000","111","null","null"
"세종특별자치시 고운동","1**","-","84.9","전세","202005","28","25,000","0","null","만남로"
"세종특별자치시 고운동","2***","-","84.94","월세","202102","3","30,000","35","null","만남로"
"세종특별자치시 고운동","1**","-","84.94","월세","202010","5","10,000","96","null","만남로"
"세종특별자치시 고운동","2***","-","84.94","월세","202101","8","25,000","48","null","만남로"
"세종특별자치시 고운동","1**","-","84.94","월세","202003","26","30,000","32","null","만남로"
"세종특별자치시 고운동","2***","-","84.94","월세","202012","28","30,000","35","null","만남로"
"세종특별자치시 고운동","1**","-","84.94","전세","202003","31","10,000","0","null","만남로"
"세종특별자치시 고운동","8**","-","186.83","전세","202008","25","55,000","0","null","null"
"세종특별자치시 고운동","1***","25m미만","249.78","전세","202005","18","33,075","0","2015","고운북6길"
"세종특별자치시 금남면 감성리","*","8m미만","66.79","월세","202006","14","2,000","30","1973","감성길"
"세종특별자치시 금남면 감성리","*","8m미만","66.79","월세","202007","15","2,000","30","1973","감성길"
"세종특별자치시 금남면 감성리","1**","8m미만","106.59","월세","202101","6","2,000","60","2013","감성길"
"세종특별자치시 금남면 달전리","1**","8m미만","45.94","전세","202006","5","7,000","0","1949","원당4길"
"세종특별자치시 금남면 달전리","1**","8m미만","96.03","전세","202009","2","10,000","0","2020","성동길"
"세종특별자치시 금남면 대박리","3**","8m미만","91.62","전세","202003","4","22,000","0","null","금남구즉로"
"세종특별자치시 금남면 대박리","3**","8m미만","91.62","전세","202003","4","22,000","0","2019","금남구즉로"
"세종특별자치시 금남면 도남리","2**","8m미만","84.33","전세","202009","21","10,000","0","2012","도남1길"
"세종특별자치시 금남면 도남리","2**","8m미만","84.33","전세","202009","28","10,000","0","2012","도남1길"
"세종특별자치시 금남면 도남리","1**","8m미만","86.16","전세","202007","13","10,000","0","2013","도남1길"
"세종특별자치시 금남면 도남리","1**","8m미만","194.85","전세","202006","29","15,000","0","null","도남2길"
"세종특별자치시 금남면 도암리","5**","8m미만","91.72","월세","202003","31","2,000","20","2008","성덕도암길"
"세종특별자치시 금남면 도암리","2**","8m미만","99.17","월세","202010","22","200","30","null","도암1길"
"세종특별자치시 금남면 성덕리","1**","8m미만","69.12","월세","202009","3","2,000","10","1986","성덕도암길"
"세종특별자치시 금남면 성덕리","3**","8m미만","147.84","월세","202007","20","500","25","2003","성덕2길"
"세종특별자치시 금남면 신촌리","8*","8m미만","46.86","월세","202011","5","500","50","1949","신촌1길"
"세종특별자치시 금남면 영곡리","5**","-","64.26","전세","202007","1","7,000","0","1998","null"
"세종특별자치시 금남면 영대리","7**","8m미만","113.8","월세","202012","12","1,000","30","2000","청룡안길"
"세종특별자치시 금남면 용담리","1**","-","69.91","전세","202011","27","5,000","0","1944","null"
"세종특별자치시 금남면 용담리","1**","-","114.28","전세","202010","10","25,000","0","1993","null"
"세종특별자치시 금남면 용포리","5*","8m미만","16.53","월세","202002","29","100","30","2012","용포쑥티2길"
"세종특별자치시 금남면 용포리","1**","8m미만","16.53","전세","202009","5","3,800","0","2013","용포느티나무길"
"세종특별자치시 금남면 용포리","1**","8m미만","16.53","전세","202012","16","5,500","0","2013","용포느티나무길"
"세종특별자치시 금남면 용포리","2**","25m미만","18","월세","202101","18","100","30","2012","용포로"
"세종특별자치시 금남면 용포리","1**","8m미만","19.83","전세","202101","5","4,500","0","2013","용포느티나무길"
"세종특별자치시 금남면 용포리","8*","12m미만","20","월세","202005","11","200","37","2013","용포2길"
"세종특별자치시 금남면 용포리","8*","8m미만","20","월세","202008","24","200","37","2014","용포2길"
"세종특별자치시 금남면 용포리","1**","12m미만","21","월세","202012","5","100","35","2012","용포이암길"
"세종특별자치시 금남면 용포리","2**","8m미만","21","월세","202102","9","150","35","null","용포로"
"세종특별자치시 금남면 용포리","1**","12m미만","21","월세","202009","18","200","45","2013","용포외곽길"
"세종특별자치시 금남면 용포리","1**","12m미만","22","월세","202102","6","100","38","null","용포이암길"
"세종특별자치시 금남면 용포리","1**","-","22","월세","202010","9","100","39","2012","null"
"세종특별자치시 금남면 용포리","1**","8m미만","22","전세","202012","1","3,500","0","2013","용포중앙2길"
"세종특별자치시 금남면 용포리","1**","8m미만","22","전세","202004","2","3,500","0","2013","용포중앙2길"
"세종특별자치시 금남면 용포리","1**","-","22","전세","202004","6","4,000","0","2013","null"
"세종특별자치시 금남면 용포리","1**","8m미만","22","전세","202009","15","3,500","0","2013","용포중앙2길"
"세종특별자치시 금남면 용포리","1**","8m미만","22","전세","202003","21","3,500","0","2013","용포중앙2길"
"세종특별자치시 금남면 용포리","1**","8m미만","22","전세","202006","27","3,500","0","2013","용포중앙2길"
"세종특별자치시 금남면 용포리","1**","8m미만","22","전세","202009","28","4,000","0","2013","용포느티나무길"
